# w_um p
 51.5003 0.00000
 52.5003 0.00001
 53.5003 0.00000
 54.5003 0.00000
 55.5003 0.00004
 56.5003 0.00009
 57.5003 0.00005
 58.5003 0.00028
 59.5003 0.00020
 60.5003 0.00019
 61.5003 0.00019
 62.5003 0.00033
 63.5003 0.00027
 64.5003 0.00054
 65.5003 0.00044
 66.5003 0.00025
 67.5003 0.00007
 68.5003 0.00007
 69.5003 0.00064
 70.5003 0.00021
 71.5003 0.00115
 72.5003 0.00026
 73.5003 0.00009
 74.5003 0.00023
 75.5003 0.00022
 76.5003 0.00053
 77.5003 0.00128
 78.5003 0.00291
 79.5003 0.00799
 80.5003 0.01770
 81.5003 0.04436
 82.5003 0.09810
 83.5003 0.19402
 84.5003 0.27485
 85.5003 0.35683
 86.5003 0.41582
 87.5003 0.41795
 88.5003 0.40661
 89.5003 0.39311
 90.5003 0.39774
 91.5003 0.44323
 92.5003 0.49262
 93.5003 0.53459
 94.5003 0.55127
 95.5003 0.55908
 96.5003 0.56232
 97.5003 0.56246
 98.5003 0.56065
 99.5003 0.53956
100.5003 0.51752
101.5003 0.49687
102.5003 0.48533
103.5003 0.47678
104.5003 0.45630
105.5003 0.42853
106.5003 0.41461
107.5003 0.41958
108.5003 0.41594
109.5003 0.41018
110.5003 0.40585
111.5003 0.40205
112.5003 0.39718
113.5003 0.38917
114.5003 0.37809
115.5003 0.36636
116.5003 0.35242
117.5003 0.33810
118.5003 0.31890
119.5003 0.29477
120.5003 0.26446
121.5003 0.22976
122.5003 0.19149
123.5003 0.15127
124.5003 0.11238
125.5003 0.07787
126.5003 0.05016
127.5003 0.03045
128.5003 0.01708
129.5003 0.00929
130.5003 0.00605
131.5003 0.00527
132.5003 0.00528
133.5003 0.00550
134.5003 0.00525
135.5003 0.00458
136.5003 0.00394
137.5003 0.00318
138.5003 0.00238
139.5003 0.00178
140.5003 0.00125
141.5003 0.00082
142.5003 0.00052
143.5003 0.00034
144.5003 0.00022
145.5003 0.00014
146.5003 0.00009
147.5003 0.00006
148.5003 0.00003
149.5003 0.00002
150.5003 0.00002
151.5003 0.00001
152.5003 0.00001
153.5003 0.00001
154.5003 0.00000
