# w_um p
166.6666 0.00016
166.9449 0.00013
167.2240 0.00009
167.4761 0.00005
167.7570 0.00001
168.0389 0.00000
169.1474 0.00000
169.4340 0.00004
169.7216 0.00009
169.9813 0.00015
170.2707 0.00021
170.5611 0.00021
170.8525 0.00021
171.1449 0.00022
171.4089 0.00023
171.7032 0.00025
171.9986 0.00030
172.2949 0.00037
172.5625 0.00041
172.8608 0.00035
173.1601 0.00028
173.4605 0.00021
173.7619 0.00014
174.0341 0.00006
174.3375 0.00006
174.6419 0.00006
174.9475 0.00007
175.2541 0.00010
175.5309 0.00013
175.8396 0.00011
176.1493 0.00008
176.4602 0.00006
176.7408 0.00004
177.0538 0.00002
177.3678 0.00011
177.6830 0.00024
177.9992 0.00035
178.2848 0.00038
178.6033 0.00042
178.9228 0.00033
179.2435 0.00014
179.5654 0.00000
179.8561 0.00000
180.1801 0.00000
180.5054 0.00007
180.8318 0.00032
181.1266 0.00058
181.4552 0.00064
181.7851 0.00068
182.1161 0.00066
182.4484 0.00050
182.7485 0.00034
183.0831 0.00033
183.4189 0.00039
183.7559 0.00045
184.0942 0.00055
184.3997 0.00066
184.7404 0.00077
185.0823 0.00089
185.4255 0.00102
185.7355 0.00120
186.0811 0.00139
186.4280 0.00147
186.7762 0.00142
187.1257 0.00137
187.4414 0.00129
187.7934 0.00122
188.1467 0.00118
188.5014 0.00129
188.8574 0.00139
189.1789 0.00149
189.5375 0.00157
189.8974 0.00165
190.2587 0.00162
190.5850 0.00159
190.9490 0.00153
191.3143 0.00144
191.6810 0.00134
192.0491 0.00148
192.3816 0.00163
192.7525 0.00182
193.1247 0.00206
193.4984 0.00230
193.8360 0.00246
194.2124 0.00259
194.5903 0.00273
194.9697 0.00295
195.3506 0.00318
195.6947 0.00354
196.0784 0.00397
196.4636 0.00438
196.8503 0.00464
197.2386 0.00490
197.5894 0.00523
197.9805 0.00564
198.3733 0.00605
198.7676 0.00673
199.1238 0.00743
199.5211 0.00820
199.9200 0.00908
200.3205 0.00998
200.7226 0.01126
201.0858 0.01267
201.4910 0.01418
201.8978 0.01620
202.3062 0.01828
202.7163 0.02067
203.0869 0.02316
203.5002 0.02572
203.9151 0.02981
204.3318 0.03390
204.7082 0.03848
205.1282 0.04376
205.5498 0.04919
205.9732 0.05668
206.3983 0.06432
206.7824 0.07342
207.2109 0.08546
207.6411 0.09733
208.0732 0.10992
208.5070 0.12325
208.8991 0.13641
209.3364 0.14812
209.7755 0.15985
210.2165 0.17381
210.6149 0.18882
211.0595 0.20341
211.5059 0.22175
211.9542 0.24042
212.4044 0.25691
212.8112 0.27051
213.2650 0.28445
213.7208 0.28962
214.1786 0.29268
214.6383 0.29565
215.0537 0.29978
215.5172 0.30402
215.9827 0.30877
216.4502 0.31371
216.8726 0.31791
217.3440 0.32101
217.8174 0.32507
218.2929 0.32739
218.7705 0.32782
219.2021 0.32863
219.6836 0.33523
220.1673 0.34115
220.6531 0.34418
221.0921 0.34360
221.5820 0.34303
222.0741 0.34159
222.5684 0.34006
223.0649 0.33790
223.5136 0.33747
224.0143 0.33696
224.5172 0.34496
225.0225 0.35789
225.5299 0.36984
225.9887 0.37590
226.5005 0.38230
227.0147 0.38335
227.5312 0.37940
227.9981 0.37534
228.5191 0.37413
229.0426 0.37288
229.5684 0.37648
230.0966 0.38818
230.5741 0.40047
231.1070 0.40907
231.6423 0.41674
232.1801 0.42316
232.7205 0.42501
233.2089 0.42686
233.7540 0.42745
234.3017 0.42738
234.8520 0.42760
235.3494 0.43156
235.9046 0.43595
236.4625 0.43657
237.0229 0.43338
237.5861 0.42957
238.0952 0.42942
238.6634 0.42964
239.2344 0.43274
239.8081 0.44185
240.3846 0.45068
240.9058 0.45801
241.4875 0.46503
242.0721 0.46892
242.6595 0.46046
243.1906 0.45222
243.7835 0.44465
244.3792 0.43745
244.9779 0.43085
245.5795 0.43595
246.1235 0.44105
246.7308 0.44832
247.3410 0.45799
247.9543 0.46766
248.5707 0.46564
249.1280 0.46227
249.7502 0.45792
250.3755 0.45147
251.0040 0.44502
251.5723 0.44607
252.2068 0.44975
252.8445 0.45334
253.4854 0.45717
254.1296 0.46093
254.7121 0.46295
255.3626 0.46385
256.0163 0.46483
256.6735 0.47000
257.3340 0.47517
257.9313 0.48042
258.5983 0.48574
259.2688 0.49106
259.9428 0.48672
260.5523 0.48087
261.2330 0.47427
261.9172 0.46573
262.6050 0.45718
263.2964 0.46025
263.9218 0.46715
264.6202 0.47507
265.3223 0.49270
266.0281 0.50588
266.6666 0.50894
267.3796 0.50267
268.0965 0.49053
268.8172 0.47295
269.5417 0.45947
270.1972 0.45477
270.9292 0.44971
271.6653 0.45675
272.4053 0.46308
273.1494 0.46568
273.8225 0.47064
274.5744 0.47005
275.3303 0.46405
276.0905 0.45369
276.7783 0.44590
277.5464 0.44180
278.3189 0.44028
279.0957 0.43068
279.8768 0.42362
280.5836 0.41495
281.3731 0.40113
282.1670 0.38355
282.9654 0.37065
283.7684 0.34334
284.4950 0.33939
285.3067 0.36181
286.1230 0.32961
286.9440 0.33200
287.6869 0.31518
288.5170 0.29043
289.3518 0.25748
290.1915 0.22552
291.0360 0.18927
291.8004 0.15876
292.6543 0.13180
293.5133 0.10698
294.3773 0.06137
295.2465 0.02760
296.0331 0.01510
296.9121 0.00907
297.7963 0.00562
298.6857 0.00361
299.4908 0.00293
300.3905 0.00246
301.2955 0.00222
302.2061 0.00210
303.1221 0.00200
303.9513 0.00190
304.8780 0.00180
305.8103 0.00165
306.7484 0.00149
307.6923 0.00134
308.5467 0.00116
309.5017 0.00103
310.4625 0.00092
311.4294 0.00081
312.3048 0.00071
313.2832 0.00061
314.2677 0.00052
315.2585 0.00043
316.2555 0.00036
317.1582 0.00029
