#  wavelength_um     transmission
#
      5.0019e-01    5.800000e-03
      5.0061e-01    5.900000e-03
      5.0103e-01    5.900000e-03
      5.0144e-01    5.700000e-03
      5.0186e-01    5.700000e-03
      5.0228e-01    6.100000e-03
      5.0270e-01    5.900000e-03
      5.0311e-01    5.700000e-03
      5.0353e-01    5.900000e-03
      5.0395e-01    6.000000e-03
      5.0437e-01    6.100000e-03
      5.0479e-01    6.000000e-03
      5.0521e-01    5.900000e-03
      5.0562e-01    5.900000e-03
      5.0604e-01    5.700000e-03
      5.0646e-01    6.100000e-03
      5.0688e-01    6.100000e-03
      5.0730e-01    5.800000e-03
      5.0772e-01    6.000000e-03
      5.0814e-01    6.000000e-03
      5.0855e-01    6.000000e-03
      5.0897e-01    5.900000e-03
      5.0939e-01    6.100000e-03
      5.0981e-01    5.800000e-03
      5.1023e-01    6.200000e-03
      5.1065e-01    6.000000e-03
      5.1107e-01    6.200000e-03
      5.1149e-01    6.200000e-03
      5.1190e-01    6.300000e-03
      5.1232e-01    6.200000e-03
      5.1274e-01    6.000000e-03
      5.1316e-01    6.100000e-03
      5.1358e-01    6.300000e-03
      5.1400e-01    6.400000e-03
      5.1442e-01    6.300000e-03
      5.1484e-01    6.300000e-03
      5.1526e-01    6.200000e-03
      5.1568e-01    6.200000e-03
      5.1610e-01    6.100000e-03
      5.1652e-01    6.500000e-03
      5.1694e-01    6.400000e-03
      5.1736e-01    6.700000e-03
      5.1777e-01    6.500000e-03
      5.1819e-01    6.400000e-03
      5.1861e-01    6.400000e-03
      5.1903e-01    6.200000e-03
      5.1945e-01    6.300000e-03
      5.1987e-01    6.500000e-03
      5.2029e-01    6.300000e-03
      5.2071e-01    6.700000e-03
      5.2113e-01    6.500000e-03
      5.2155e-01    6.300000e-03
      5.2197e-01    6.500000e-03
      5.2239e-01    6.600000e-03
      5.2281e-01    6.600000e-03
      5.2323e-01    6.600000e-03
      5.2365e-01    6.700000e-03
      5.2407e-01    6.700000e-03
      5.2449e-01    6.800000e-03
      5.2491e-01    6.900000e-03
      5.2533e-01    6.700000e-03
      5.2576e-01    6.900000e-03
      5.2618e-01    6.700000e-03
      5.2660e-01    6.800000e-03
      5.2702e-01    7.000000e-03
      5.2744e-01    7.200000e-03
      5.2786e-01    7.300000e-03
      5.2828e-01    7.300000e-03
      5.2870e-01    7.500000e-03
      5.2912e-01    7.600000e-03
      5.2954e-01    7.500000e-03
      5.2996e-01    8.000000e-03
      5.3038e-01    8.000000e-03
      5.3080e-01    8.200000e-03
      5.3122e-01    8.400000e-03
      5.3165e-01    8.600000e-03
      5.3207e-01    9.400000e-03
      5.3249e-01    9.600000e-03
      5.3291e-01    1.000000e-02
      5.3333e-01    1.030000e-02
      5.3375e-01    1.110000e-02
      5.3417e-01    1.150000e-02
      5.3459e-01    1.190000e-02
      5.3502e-01    1.280000e-02
      5.3544e-01    1.360000e-02
      5.3586e-01    1.420000e-02
      5.3628e-01    1.520000e-02
      5.3670e-01    1.600000e-02
      5.3712e-01    1.720000e-02
      5.3754e-01    1.850000e-02
      5.3797e-01    2.020000e-02
      5.3839e-01    2.200000e-02
      5.3881e-01    2.420000e-02
      5.3923e-01    2.720000e-02
      5.3965e-01    3.050000e-02
      5.4008e-01    3.450000e-02
      5.4050e-01    3.920000e-02
      5.4092e-01    4.520000e-02
      5.4134e-01    5.180000e-02
      5.4176e-01    5.960000e-02
      5.4219e-01    6.880000e-02
      5.4261e-01    7.870000e-02
      5.4303e-01    9.020000e-02
      5.4345e-01    1.031000e-01
      5.4387e-01    1.168000e-01
      5.4430e-01    1.327000e-01
      5.4472e-01    1.497000e-01
      5.4514e-01    1.688000e-01
      5.4556e-01    1.898000e-01
      5.4599e-01    2.129000e-01
      5.4641e-01    2.380000e-01
      5.4683e-01    2.655000e-01
      5.4725e-01    2.956000e-01
      5.4768e-01    3.275000e-01
      5.4810e-01    3.604000e-01
      5.4852e-01    3.950000e-01
      5.4894e-01    4.290000e-01
      5.4937e-01    4.625000e-01
      5.4979e-01    4.945000e-01
      5.5021e-01    5.247000e-01
      5.5064e-01    5.511000e-01
      5.5106e-01    5.740000e-01
      5.5148e-01    5.932000e-01
      5.5191e-01    6.087000e-01
      5.5233e-01    6.206000e-01
      5.5275e-01    6.296000e-01
      5.5317e-01    6.361000e-01
      5.5360e-01    6.404000e-01
      5.5402e-01    6.442000e-01
      5.5444e-01    6.477000e-01
      5.5487e-01    6.500000e-01
      5.5529e-01    6.519000e-01
      5.5571e-01    6.533000e-01
      5.5614e-01    6.544000e-01
      5.5656e-01    6.560000e-01
      5.5699e-01    6.563000e-01
      5.5741e-01    6.560000e-01
      5.5783e-01    6.579000e-01
      5.5826e-01    6.584000e-01
      5.5868e-01    6.592000e-01
      5.5910e-01    6.595000e-01
      5.5953e-01    6.600000e-01
      5.5995e-01    6.601000e-01
      5.6038e-01    6.606000e-01
      5.6080e-01    6.614000e-01
      5.6122e-01    6.623000e-01
      5.6165e-01    6.631000e-01
      5.6207e-01    6.633000e-01
      5.6250e-01    6.644000e-01
      5.6292e-01    6.647000e-01
      5.6334e-01    6.648000e-01
      5.6377e-01    6.658000e-01
      5.6419e-01    6.659000e-01
      5.6462e-01    6.660000e-01
      5.6504e-01    6.666000e-01
      5.6547e-01    6.668000e-01
      5.6589e-01    6.667000e-01
      5.6631e-01    6.670000e-01
      5.6674e-01    6.675000e-01
      5.6716e-01    6.678000e-01
      5.6759e-01    6.674000e-01
      5.6801e-01    6.677000e-01
      5.6844e-01    6.676000e-01
      5.6886e-01    6.679000e-01
      5.6929e-01    6.682000e-01
      5.6971e-01    6.682000e-01
      5.7014e-01    6.693000e-01
      5.7056e-01    6.689000e-01
      5.7099e-01    6.698000e-01
      5.7141e-01    6.702000e-01
      5.7184e-01    6.708000e-01
      5.7226e-01    6.715000e-01
      5.7269e-01    6.720000e-01
      5.7311e-01    6.727000e-01
      5.7354e-01    6.735000e-01
      5.7396e-01    6.745000e-01
      5.7439e-01    6.750000e-01
      5.7481e-01    6.755000e-01
      5.7524e-01    6.758000e-01
      5.7566e-01    6.765000e-01
      5.7609e-01    6.765000e-01
      5.7652e-01    6.772000e-01
      5.7694e-01    6.775000e-01
      5.7737e-01    6.773000e-01
      5.7779e-01    6.779000e-01
      5.7822e-01    6.776000e-01
      5.7864e-01    6.781000e-01
      5.7907e-01    6.784000e-01
      5.7949e-01    6.789000e-01
      5.7992e-01    6.786000e-01
      5.8035e-01    6.793000e-01
      5.8077e-01    6.792000e-01
      5.8120e-01    6.792000e-01
      5.8162e-01    6.802000e-01
      5.8205e-01    6.803000e-01
      5.8248e-01    6.809000e-01
      5.8290e-01    6.816000e-01
      5.8333e-01    6.818000e-01
      5.8375e-01    6.820000e-01
      5.8418e-01    6.826000e-01
      5.8461e-01    6.826000e-01
      5.8503e-01    6.830000e-01
      5.8546e-01    6.829000e-01
      5.8589e-01    6.828000e-01
      5.8631e-01    6.821000e-01
      5.8674e-01    6.829000e-01
      5.8717e-01    6.832000e-01
      5.8759e-01    6.826000e-01
      5.8802e-01    6.831000e-01
      5.8845e-01    6.835000e-01
      5.8887e-01    6.838000e-01
      5.8930e-01    6.833000e-01
      5.8973e-01    6.839000e-01
      5.9015e-01    6.843000e-01
      5.9058e-01    6.843000e-01
      5.9101e-01    6.850000e-01
      5.9143e-01    6.855000e-01
      5.9186e-01    6.857000e-01
      5.9229e-01    6.859000e-01
      5.9271e-01    6.864000e-01
      5.9314e-01    6.865000e-01
      5.9357e-01    6.868000e-01
      5.9400e-01    6.871000e-01
      5.9442e-01    6.875000e-01
      5.9485e-01    6.869000e-01
      5.9528e-01    6.873000e-01
      5.9570e-01    6.875000e-01
      5.9613e-01    6.874000e-01
      5.9656e-01    6.875000e-01
