#  wavelength_um     transmission
#
      9.0000e-01    7.500000e-03
      9.0200e-01    3.300000e-03
      9.0400e-01    3.000000e-04
      9.0600e-01    3.100000e-03
      9.0800e-01    1.500000e-03
      9.1000e-01    5.000000e-03
      9.1200e-01    4.000000e-03
      9.1400e-01    7.600000e-03
      9.1600e-01    1.170000e-02
      9.1800e-01    1.410000e-02
      9.2000e-01    2.640000e-02
      9.2200e-01    3.730000e-02
      9.2400e-01    5.410000e-02
      9.2600e-01    8.600000e-02
      9.2800e-01    1.191000e-01
      9.3000e-01    1.495000e-01
      9.3200e-01    1.717000e-01
      9.3400e-01    1.991000e-01
      9.3600e-01    2.426000e-01
      9.3800e-01    2.940000e-01
      9.4000e-01    3.865000e-01
      9.4200e-01    3.959000e-01
      9.4400e-01    3.757000e-01
      9.4600e-01    4.018000e-01
      9.4800e-01    4.130000e-01
      9.5000e-01    4.044000e-01
      9.5200e-01    4.078000e-01
      9.5400e-01    4.048000e-01
      9.5600e-01    4.011000e-01
      9.5800e-01    4.026000e-01
      9.6000e-01    4.064000e-01
      9.6200e-01    4.153000e-01
      9.6400e-01    4.210000e-01
      9.6600e-01    4.148000e-01
      9.6800e-01    4.221000e-01
      9.7000e-01    4.226000e-01
      9.7200e-01    4.129000e-01
      9.7400e-01    3.978000e-01
      9.7600e-01    3.902000e-01
      9.7800e-01    3.902000e-01
      9.8000e-01    3.825000e-01
      9.8200e-01    3.814000e-01
      9.8400e-01    3.749000e-01
      9.8600e-01    3.663000e-01
      9.8800e-01    3.570000e-01
      9.9000e-01    3.481000e-01
      9.9200e-01    3.376000e-01
      9.9400e-01    3.269000e-01
      9.9600e-01    3.168000e-01
      9.9800e-01    3.055000e-01
      1.0000e+00    2.956000e-01
      1.0020e+00    2.817000e-01
      1.0040e+00    2.679000e-01
      1.0060e+00    2.544000e-01
      1.0080e+00    2.411000e-01
      1.0100e+00    2.290000e-01
      1.0120e+00    2.169000e-01
      1.0140e+00    2.036000e-01
      1.0160e+00    1.901000e-01
      1.0180e+00    1.763000e-01
      1.0200e+00    1.628000e-01
      1.0220e+00    1.536000e-01
      1.0240e+00    1.438000e-01
      1.0260e+00    1.346000e-01
      1.0280e+00    1.251000e-01
      1.0300e+00    1.154000e-01
      1.0320e+00    1.058000e-01
      1.0340e+00    9.610000e-02
      1.0360e+00    8.660000e-02
      1.0380e+00    7.710000e-02
      1.0400e+00    6.780000e-02
      1.0420e+00    6.470000e-02
      1.0440e+00    6.140000e-02
      1.0460e+00    5.810000e-02
      1.0480e+00    5.500000e-02
      1.0500e+00    5.160000e-02
      1.0520e+00    4.840000e-02
      1.0540e+00    4.510000e-02
      1.0560e+00    4.160000e-02
      1.0580e+00    3.810000e-02
      1.0600e+00    3.430000e-02
      1.0620e+00    3.020000e-02
      1.0640e+00    2.590000e-02
      1.0660e+00    2.130000e-02
      1.0680e+00    1.680000e-02
      1.0700e+00    1.250000e-02
      1.0720e+00    8.800000e-03
      1.0740e+00    5.700000e-03
      1.0760e+00    3.400000e-03
      1.0780e+00    1.800000e-03
      1.0800e+00    7.000000e-04
      1.0820e+00    5.000000e-04
      1.0840e+00    3.000000e-04
      1.0860e+00    1.000000e-04
      1.0880e+00    1.000000e-04
      1.0900e+00    0.000000e+00
      1.0920e+00    0.000000e+00
      1.0940e+00    0.000000e+00
      1.0960e+00    0.000000e+00
      1.0980e+00    0.000000e+00
      1.1000e+00    0.000000e+00
