#  wavelength_um     transmission
#
      8.1600e-01   -1.100000e-03
      8.1800e-01    4.200000e-03
      8.2000e-01   -8.000000e-04
      8.2200e-01    2.000000e-03
      8.2400e-01   -1.100000e-03
      8.2600e-01   -2.500000e-03
      8.2800e-01    6.100000e-03
      8.3000e-01    3.400000e-03
      8.3200e-01    4.000000e-03
      8.3400e-01    4.500000e-03
      8.3600e-01    5.600000e-03
      8.3800e-01    8.900000e-03
      8.4000e-01    2.100000e-02
      8.4200e-01    3.330000e-02
      8.4400e-01    5.440000e-02
      8.4600e-01    8.240000e-02
      8.4800e-01    1.281000e-01
      8.5000e-01    1.891000e-01
      8.5200e-01    2.546000e-01
      8.5400e-01    3.355000e-01
      8.5600e-01    4.037000e-01
      8.5800e-01    4.649000e-01
      8.6000e-01    5.147000e-01
      8.6200e-01    5.471000e-01
      8.6400e-01    5.697000e-01
      8.6600e-01    5.809000e-01
      8.6800e-01    5.872000e-01
      8.7000e-01    5.888000e-01
      8.7200e-01    5.897000e-01
      8.7400e-01    5.902000e-01
      8.7600e-01    5.902000e-01
      8.7800e-01    5.910000e-01
      8.8000e-01    5.901000e-01
      8.8200e-01    5.883000e-01
      8.8400e-01    5.864000e-01
      8.8600e-01    5.876000e-01
      8.8800e-01    5.874000e-01
      8.9000e-01    5.853000e-01
      8.9200e-01    5.845000e-01
      8.9400e-01    5.770000e-01
      8.9600e-01    5.627000e-01
      8.9800e-01    5.424000e-01
      9.0000e-01    5.335000e-01
      9.0200e-01    5.416000e-01
      9.0400e-01    5.564000e-01
      9.0600e-01    5.466000e-01
      9.0800e-01    5.276000e-01
      9.1000e-01    5.348000e-01
      9.1200e-01    5.416000e-01
      9.1400e-01    5.336000e-01
      9.1600e-01    5.326000e-01
      9.1800e-01    5.228000e-01
      9.2000e-01    5.299000e-01
      9.2200e-01    5.135000e-01
      9.2400e-01    4.886000e-01
      9.2600e-01    4.487000e-01
      9.2800e-01    3.889000e-01
      9.3000e-01    3.104000e-01
      9.3200e-01    2.159000e-01
      9.3400e-01    1.541000e-01
      9.3600e-01    1.108000e-01
      9.3800e-01    7.660000e-02
      9.4000e-01    5.700000e-02
      9.4200e-01    3.300000e-02
      9.4400e-01    1.760000e-02
      9.4600e-01    1.110000e-02
      9.4800e-01    7.400000e-03
      9.5000e-01    3.800000e-03
      9.5200e-01    2.100000e-03
      9.5400e-01    1.200000e-03
      9.5600e-01    1.000000e-04
      9.5800e-01    5.000000e-04
      9.6000e-01   -3.000000e-04
      9.6200e-01   -0.000000e+00
      9.6400e-01    4.000000e-04
      9.6600e-01    4.000000e-04
