#  wavelength_um     transmission
#
      3.6000e-01    2.426764e-04
      3.6100e-01    4.931757e-04
      3.6200e-01    9.530691e-04
      3.6300e-01    1.754222e-03
      3.6400e-01    2.939191e-03
      3.6500e-01    4.639275e-03
      3.6600e-01    6.875233e-03
      3.6700e-01    9.759270e-03
      3.6800e-01    1.316217e-02
      3.6900e-01    1.720329e-02
      3.7000e-01    2.201865e-02
      3.7100e-01    2.785533e-02
      3.7200e-01    3.504042e-02
      3.7300e-01    4.402272e-02
      3.7400e-01    5.519984e-02
      3.7500e-01    6.747381e-02
      3.7600e-01    8.068722e-02
      3.7700e-01    9.473408e-02
      3.7800e-01    1.084870e-01
      3.7900e-01    1.221730e-01
      3.8000e-01    1.359137e-01
      3.8100e-01    1.480823e-01
      3.8200e-01    1.602667e-01
      3.8300e-01    1.740467e-01
      3.8400e-01    1.883799e-01
      3.8500e-01    2.050650e-01
      3.8600e-01    2.238614e-01
      3.8700e-01    2.428268e-01
      3.8800e-01    2.638701e-01
      3.8900e-01    2.842886e-01
      3.9000e-01    3.031979e-01
      3.9100e-01    3.215125e-01
      3.9200e-01    3.403871e-01
      3.9300e-01    3.592548e-01
      3.9400e-01    3.780670e-01
      3.9500e-01    3.952729e-01
      3.9600e-01    4.127033e-01
      3.9700e-01    4.313372e-01
      3.9800e-01    4.486496e-01
      3.9900e-01    4.662953e-01
      4.0000e-01    4.808210e-01
      4.0100e-01    4.897665e-01
      4.0200e-01    5.003645e-01
      4.0300e-01    5.118907e-01
      4.0400e-01    5.218800e-01
      4.0500e-01    5.286221e-01
      4.0600e-01    5.364358e-01
      4.0700e-01    5.453744e-01
      4.0800e-01    5.555373e-01
      4.0900e-01    5.655336e-01
      4.1000e-01    5.761710e-01
      4.1100e-01    5.881600e-01
      4.1200e-01    5.995889e-01
      4.1300e-01    6.101430e-01
      4.1400e-01    6.241989e-01
      4.1500e-01    6.374169e-01
      4.1600e-01    6.485612e-01
      4.1700e-01    6.577266e-01
      4.1800e-01    6.672137e-01
      4.1900e-01    6.794480e-01
      4.2000e-01    6.909071e-01
      4.2100e-01    6.991258e-01
      4.2200e-01    7.027873e-01
      4.2300e-01    7.055832e-01
      4.2400e-01    7.068446e-01
      4.2500e-01    7.093582e-01
      4.2600e-01    7.159313e-01
      4.2700e-01    7.225577e-01
      4.2800e-01    7.283300e-01
      4.2900e-01    7.346694e-01
      4.3000e-01    7.435385e-01
      4.3100e-01    7.532756e-01
      4.3200e-01    7.633529e-01
      4.3300e-01    7.743444e-01
      4.3400e-01    7.810332e-01
      4.3500e-01    7.879397e-01
      4.3600e-01    8.000190e-01
      4.3700e-01    8.108809e-01
      4.3800e-01    8.209049e-01
      4.3900e-01    8.291051e-01
      4.4000e-01    8.372753e-01
      4.4100e-01    8.476650e-01
      4.4200e-01    8.534258e-01
      4.4300e-01    8.568582e-01
      4.4400e-01    8.602859e-01
      4.4500e-01    8.628110e-01
      4.4600e-01    8.649427e-01
      4.4700e-01    8.685417e-01
      4.4800e-01    8.756426e-01
      4.4900e-01    8.832896e-01
      4.5000e-01    8.912839e-01
      4.5100e-01    8.960980e-01
      4.5200e-01    9.015347e-01
      4.5300e-01    9.073186e-01
      4.5400e-01    9.137205e-01
      4.5500e-01    9.206547e-01
      4.5600e-01    9.290980e-01
      4.5700e-01    9.332039e-01
      4.5800e-01    9.368122e-01
      4.5900e-01    9.420892e-01
      4.6000e-01    9.436237e-01
      4.6100e-01    9.447323e-01
      4.6200e-01    9.417397e-01
      4.6300e-01    9.365923e-01
      4.6400e-01    9.317295e-01
      4.6500e-01    9.270265e-01
      4.6600e-01    9.231497e-01
      4.6700e-01    9.215782e-01
      4.6800e-01    9.228882e-01
      4.6900e-01    9.262280e-01
      4.7000e-01    9.329146e-01
      4.7100e-01    9.393627e-01
      4.7200e-01    9.453827e-01
      4.7300e-01    9.530622e-01
      4.7400e-01    9.616536e-01
      4.7500e-01    9.697242e-01
      4.7584e-01    9.878860e-01
      4.7683e-01    9.941305e-01
      4.7782e-01    9.982063e-01
      4.7881e-01    1.000000e+00
      4.7980e-01    9.992038e-01
      4.8079e-01    9.966972e-01
      4.8177e-01    9.926978e-01
      4.8276e-01    9.862566e-01
      4.8375e-01    9.748114e-01
      4.8474e-01    9.546152e-01
      4.8573e-01    9.212079e-01
      4.8672e-01    8.722403e-01
      4.8771e-01    8.077054e-01
      4.8870e-01    7.290660e-01
      4.8968e-01    6.406619e-01
      4.9067e-01    5.484781e-01
      4.9166e-01    4.579585e-01
      4.9265e-01    3.733894e-01
      4.9364e-01    2.981847e-01
