#  wavelength_um     transmission
#
      5.0170e-01    1.140075e-03
      5.0175e-01    1.234622e-03
      5.0180e-01    1.234772e-03
      5.0185e-01    1.282655e-03
      5.0190e-01    1.378298e-03
      5.0195e-01    1.394036e-03
      5.0200e-01    1.441968e-03
      5.0205e-01    1.442145e-03
      5.0210e-01    1.505659e-03
      5.0215e-01    1.536999e-03
      5.0220e-01    1.552768e-03
      5.0225e-01    1.552959e-03
      5.0230e-01    1.633148e-03
      5.0235e-01    1.664520e-03
      5.0240e-01    1.760330e-03
      5.0245e-01    1.808349e-03
      5.0250e-01    1.824162e-03
      5.0255e-01    1.855572e-03
      5.0260e-01    1.903620e-03
      5.0265e-01    1.999516e-03
      5.0270e-01    2.046557e-03
      5.0275e-01    2.126893e-03
      5.0280e-01    2.190600e-03
      5.0285e-01    2.269937e-03
      5.0290e-01    2.365936e-03
      5.0295e-01    2.413050e-03
      5.0300e-01    2.556957e-03
      5.0305e-01    2.667590e-03
      5.0310e-01    2.715805e-03
      5.0315e-01    2.811905e-03
      5.0320e-01    2.827865e-03
      5.0325e-01    2.907357e-03
      5.0330e-01    3.051428e-03
      5.0335e-01    3.067423e-03
      5.0340e-01    3.242799e-03
      5.0345e-01    3.370299e-03
      5.0350e-01    3.482200e-03
      5.0355e-01    3.561818e-03
      5.0360e-01    3.721706e-03
      5.0365e-01    3.817018e-03
      5.0370e-01    3.896705e-03
      5.0375e-01    4.041053e-03
      5.0380e-01    4.184399e-03
      5.0385e-01    4.248528e-03
      5.0390e-01    4.391923e-03
      5.0395e-01    4.519718e-03
      5.0400e-01    4.743524e-03
      5.0405e-01    4.935034e-03
      5.0410e-01    5.079635e-03
      5.0415e-01    5.318197e-03
      5.0420e-01    5.382524e-03
      5.0425e-01    5.527234e-03
      5.0430e-01    5.670941e-03
      5.0435e-01    5.910733e-03
      5.0440e-01    6.038858e-03
      5.0445e-01    6.230716e-03
      5.0450e-01    6.455007e-03
      5.0455e-01    6.662631e-03
      5.0460e-01    6.807619e-03
      5.0465e-01    7.079081e-03
      5.0470e-01    7.271181e-03
      5.0475e-01    7.463327e-03
      5.0480e-01    7.655532e-03
      5.0485e-01    7.847772e-03
      5.0490e-01    8.120566e-03
      5.0495e-01    8.297225e-03
      5.0500e-01    8.520986e-03
      5.0505e-01    8.745856e-03
      5.0510e-01    9.017841e-03
      5.0515e-01    9.258518e-03
      5.0520e-01    9.530644e-03
      5.0525e-01    9.835269e-03
      5.0530e-01    1.007612e-02
      5.0535e-01    1.038089e-02
      5.0540e-01    1.062502e-02
      5.0545e-01    1.096133e-02
      5.0550e-01    1.126631e-02
      5.0555e-01    1.163415e-02
      5.0560e-01    1.201267e-02
      5.0565e-01    1.239116e-02
      5.0570e-01    1.267553e-02
      5.0575e-01    1.298095e-02
      5.0580e-01    1.337013e-02
      5.0585e-01    1.373853e-02
      5.0590e-01    1.408616e-02
      5.0595e-01    1.439179e-02
      5.0600e-01    1.478144e-02
      5.0605e-01    1.517120e-02
      5.0610e-01    1.558194e-02
      5.0615e-01    1.598245e-02
      5.0620e-01    1.659271e-02
      5.0625e-01    1.701433e-02
      5.0630e-01    1.747795e-02
      5.0635e-01    1.789978e-02
      5.0640e-01    1.838474e-02
      5.0645e-01    1.878577e-02
      5.0650e-01    1.928141e-02
      5.0655e-01    1.985055e-02
      5.0660e-01    2.031496e-02
      5.0665e-01    2.081096e-02
      5.0670e-01    2.147505e-02
      5.0675e-01    2.211827e-02
      5.0680e-01    2.282475e-02
      5.0685e-01    2.338427e-02
      5.0690e-01    2.401750e-02
      5.0695e-01    2.464042e-02
      5.0700e-01    2.517933e-02
      5.0705e-01    2.576046e-02
      5.0710e-01    2.643638e-02
      5.0715e-01    2.711247e-02
      5.0720e-01    2.782012e-02
      5.0725e-01    2.849654e-02
