#  wavelength_um     transmission
#
      6.9555e-01    1.405580e-03
      6.9560e-01    1.478742e-03
      6.9565e-01    1.623987e-03
      6.9570e-01    1.714831e-03
      6.9575e-01    1.716113e-03
      6.9580e-01    1.717962e-03
      6.9585e-01    1.934921e-03
      6.9590e-01    1.881589e-03
      6.9595e-01    1.772465e-03
      6.9600e-01    1.755603e-03
      6.9605e-01    1.773398e-03
      6.9610e-01    1.919390e-03
      6.9615e-01    2.012337e-03
      6.9620e-01    2.139682e-03
      6.9625e-01    2.066522e-03
      6.9630e-01    2.140598e-03
      6.9635e-01    2.141050e-03
      6.9640e-01    2.178127e-03
      6.9645e-01    2.143354e-03
      6.9650e-01    2.217623e-03
      6.9655e-01    2.235935e-03
      6.9660e-01    2.254752e-03
      6.9665e-01    2.238305e-03
      6.9670e-01    2.402687e-03
      6.9675e-01    2.385781e-03
      6.9680e-01    2.459867e-03
      6.9685e-01    2.461948e-03
      6.9690e-01    2.372593e-03
      6.9695e-01    2.407333e-03
      6.9700e-01    2.391462e-03
      6.9705e-01    2.357722e-03
      6.9710e-01    2.431881e-03
      6.9715e-01    2.506628e-03
      6.9720e-01    2.527468e-03
      6.9725e-01    2.509335e-03
      6.9730e-01    2.347144e-03
      6.9735e-01    2.459026e-03
      6.9740e-01    2.423048e-03
      6.9745e-01    2.461932e-03
      6.9750e-01    2.443160e-03
      6.9755e-01    2.648016e-03
      6.9760e-01    2.742265e-03
      6.9765e-01    2.833863e-03
      6.9770e-01    2.981558e-03
      6.9775e-01    3.113950e-03
      6.9780e-01    3.277849e-03
      6.9785e-01    3.367753e-03
      6.9790e-01    3.367503e-03
      6.9795e-01    3.496874e-03
      6.9800e-01    3.569934e-03
      6.9805e-01    3.642804e-03
      6.9810e-01    3.953733e-03
      6.9815e-01    3.880712e-03
      6.9820e-01    4.117132e-03
      6.9825e-01    4.114933e-03
      6.9830e-01    4.152481e-03
      6.9835e-01    4.040728e-03
      6.9840e-01    4.112868e-03
      6.9845e-01    4.040410e-03
      6.9850e-01    4.131945e-03
      6.9855e-01    4.146863e-03
      6.9860e-01    4.147835e-03
      6.9865e-01    4.370209e-03
      6.9870e-01    4.478291e-03
      6.9875e-01    4.404971e-03
      6.9880e-01    4.330234e-03
      6.9885e-01    4.421198e-03
      6.9890e-01    4.366671e-03
      6.9895e-01    4.620279e-03
      6.9900e-01    4.711319e-03
      6.9905e-01    4.784147e-03
      6.9910e-01    4.929125e-03
      6.9915e-01    5.057038e-03
      6.9920e-01    5.055448e-03
      6.9925e-01    5.181131e-03
      6.9930e-01    5.253242e-03
      6.9935e-01    5.180135e-03
      6.9940e-01    5.273165e-03
      6.9945e-01    5.418428e-03
      6.9950e-01    5.511504e-03
      6.9955e-01    5.673475e-03
      6.9960e-01    5.785188e-03
      6.9965e-01    6.021496e-03
      6.9970e-01    6.167241e-03
      6.9975e-01    6.112834e-03
      6.9980e-01    6.005092e-03
      6.9985e-01    6.130848e-03
      6.9990e-01    6.295263e-03
      6.9995e-01    6.478854e-03
      7.0000e-01    6.735877e-03
      7.0005e-01    6.974634e-03
      7.0010e-01    7.027874e-03
      7.0015e-01    7.135905e-03
      7.0020e-01    7.222288e-03
      7.0025e-01    7.149230e-03
      7.0030e-01    7.292244e-03
      7.0035e-01    7.455111e-03
      7.0040e-01    7.670034e-03
      7.0045e-01    7.615028e-03
      7.0050e-01    7.705171e-03
      7.0055e-01    7.977471e-03
      7.0060e-01    8.199172e-03
      7.0065e-01    8.329115e-03
      7.0070e-01    8.475195e-03
      7.0075e-01    8.747423e-03
      7.0080e-01    8.963511e-03
      7.0085e-01    9.222651e-03
      7.0090e-01    9.476569e-03
      7.0095e-01    9.887443e-03
      7.0100e-01    1.021800e-02
      7.0105e-01    1.054743e-02
      7.0110e-01    1.089732e-02
      7.0115e-01    1.121018e-02
      7.0120e-01    1.145005e-02
      7.0125e-01    1.186431e-02
      7.0130e-01    1.216566e-02
      7.0135e-01    1.217771e-02
      7.0140e-01    1.261568e-02
      7.0145e-01    1.304849e-02
      7.0150e-01    1.339001e-02
      7.0155e-01    1.360885e-02
      7.0160e-01    1.387730e-02
      7.0165e-01    1.403636e-02
      7.0170e-01    1.449237e-02
      7.0175e-01    1.472034e-02
      7.0180e-01    1.480058e-02
      7.0185e-01    1.528239e-02
      7.0190e-01    1.555865e-02
      7.0195e-01    1.600184e-02
      7.0200e-01    1.651594e-02
      7.0205e-01    1.704261e-02
      7.0210e-01    1.748027e-02
      7.0215e-01    1.820020e-02
      7.0220e-01    1.852146e-02
      7.0225e-01    1.905556e-02
      7.0230e-01    1.943900e-02
      7.0235e-01    1.988911e-02
      7.0240e-01    2.031079e-02
      7.0245e-01    2.099756e-02
      7.0250e-01    2.158062e-02
      7.0255e-01    2.215669e-02
      7.0260e-01    2.304587e-02
      7.0265e-01    2.359760e-02
      7.0270e-01    2.445426e-02
      7.0275e-01    2.498140e-02
      7.0280e-01    2.557138e-02
      7.0285e-01    2.617063e-02
      7.0290e-01    2.691963e-02
      7.0295e-01    2.776627e-02
      7.0300e-01    2.874573e-02
      7.0305e-01    2.969808e-02
      7.0310e-01    3.049037e-02
      7.0315e-01    3.158204e-02
      7.0320e-01    3.248415e-02
      7.0325e-01    3.338429e-02
      7.0330e-01    3.432412e-02
      7.0335e-01    3.531609e-02
      7.0340e-01    3.651722e-02
      7.0345e-01    3.763859e-02
      7.0350e-01    3.846574e-02
      7.0355e-01    3.982871e-02
      7.0360e-01    4.106163e-02
      7.0365e-01    4.230780e-02
      7.0370e-01    4.345806e-02
      7.0375e-01    4.482478e-02
      7.0380e-01    4.588735e-02
      7.0385e-01    4.682028e-02
      7.0390e-01    4.845771e-02
      7.0395e-01    4.972128e-02
      7.0400e-01    5.131257e-02
      7.0405e-01    5.293774e-02
      7.0410e-01    5.476759e-02
      7.0415e-01    5.656054e-02
      7.0420e-01    5.803995e-02
      7.0425e-01    5.989273e-02
      7.0430e-01    6.187201e-02
      7.0435e-01    6.351089e-02
