#  wavelength_um     transmission
#
      4.7800e-01    2.561639e-04
      4.7900e-01    3.424346e-04
      4.8000e-01    4.291542e-04
      4.8100e-01    1.033130e-03
      4.8200e-01    2.245279e-03
      4.8300e-01    5.024139e-03
      4.8400e-01    1.025268e-02
      4.8500e-01    1.934789e-02
      4.8600e-01    3.374399e-02
      4.8700e-01    5.401416e-02
      4.8800e-01    8.012463e-02
      4.8900e-01    1.118627e-01
      4.9000e-01    1.487489e-01
      4.9100e-01    1.889043e-01
      4.9200e-01    2.318116e-01
      4.9300e-01    2.769578e-01
      4.9400e-01    3.218580e-01
      4.9500e-01    3.683040e-01
      4.9600e-01    4.150390e-01
      4.9700e-01    4.573988e-01
      4.9800e-01    4.969667e-01
      4.9900e-01    5.338183e-01
      5.0000e-01    5.663934e-01
      5.0100e-01    5.962664e-01
      5.0200e-01    6.228216e-01
      5.0300e-01    6.453138e-01
      5.0400e-01    6.643411e-01
      5.0500e-01    6.799841e-01
      5.0600e-01    6.957796e-01
      5.0700e-01    7.104603e-01
      5.0800e-01    7.260297e-01
      5.0900e-01    7.427840e-01
      5.1000e-01    7.519296e-01
      5.1100e-01    7.601595e-01
      5.1200e-01    7.754703e-01
      5.1300e-01    7.877614e-01
      5.1400e-01    7.995102e-01
      5.1500e-01    8.089556e-01
      5.1600e-01    8.163776e-01
      5.1700e-01    8.251175e-01
      5.1800e-01    8.313545e-01
      5.1900e-01    8.350763e-01
      5.2000e-01    8.382308e-01
      5.2100e-01    8.437569e-01
      5.2200e-01    8.513638e-01
      5.2300e-01    8.606153e-01
      5.2400e-01    8.706640e-01
      5.2500e-01    8.771327e-01
      5.2600e-01    8.839191e-01
      5.2700e-01    8.914848e-01
      5.2800e-01    9.004436e-01
      5.2900e-01    9.095246e-01
      5.3000e-01    9.151638e-01
      5.3100e-01    9.206289e-01
      5.3200e-01    9.239754e-01
      5.3300e-01    9.246092e-01
      5.3400e-01    9.267062e-01
      5.3500e-01    9.310492e-01
      5.3600e-01    9.351893e-01
      5.3700e-01    9.353544e-01
      5.3800e-01    9.360995e-01
      5.3900e-01    9.408464e-01
      5.4000e-01    9.462002e-01
      5.4100e-01    9.474641e-01
      5.4200e-01    9.474498e-01
      5.4300e-01    9.502757e-01
      5.4400e-01    9.523296e-01
      5.4500e-01    9.528933e-01
      5.4600e-01    9.542793e-01
      5.4700e-01    9.571214e-01
      5.4800e-01    9.591843e-01
      5.4900e-01    9.627319e-01
      5.5000e-01    9.678900e-01
      5.5100e-01    9.704699e-01
      5.5200e-01    9.729529e-01
      5.5300e-01    9.763300e-01
      5.5400e-01    9.785347e-01
      5.5500e-01    9.815221e-01
      5.5600e-01    9.844288e-01
      5.5700e-01    9.859280e-01
      5.5800e-01    9.852062e-01
      5.5900e-01    9.835599e-01
      5.6000e-01    9.821182e-01
      5.6100e-01    9.786047e-01
      5.6200e-01    9.746710e-01
      5.6300e-01    9.698828e-01
      5.6400e-01    9.676476e-01
      5.6500e-01    9.672275e-01
      5.6600e-01    9.648630e-01
      5.6700e-01    9.649528e-01
      5.6800e-01    9.679025e-01
      5.6900e-01    9.722024e-01
      5.7016e-01    9.923589e-01
      5.7110e-01    9.960735e-01
      5.7204e-01    9.987630e-01
      5.7297e-01    1.000000e+00
      5.7391e-01    9.995853e-01
      5.7484e-01    9.974829e-01
      5.7578e-01    9.940376e-01
      5.7672e-01    9.893356e-01
      5.7765e-01    9.837017e-01
      5.7859e-01    9.779171e-01
      5.7953e-01    9.727123e-01
      5.8046e-01    9.687015e-01
      5.8140e-01    9.654806e-01
      5.8234e-01    9.619671e-01
      5.8327e-01    9.569401e-01
      5.8421e-01    9.488376e-01
      5.8515e-01    9.357835e-01
      5.8608e-01    9.156396e-01
      5.8702e-01    8.866265e-01
      5.8796e-01    8.484195e-01
      5.8889e-01    8.016611e-01
      5.8983e-01    7.474214e-01
      5.9077e-01    6.873809e-01
      5.9170e-01    6.237462e-01
      5.9264e-01    5.589983e-01
      5.9358e-01    4.955717e-01
      5.9451e-01    4.353697e-01
      5.9545e-01    3.797009e-01
      5.9639e-01    3.292980e-01
      5.9732e-01    2.844193e-01
      5.9826e-01    2.449106e-01
      5.9920e-01    2.103984e-01
      6.0013e-01    1.805038e-01
      6.0107e-01    1.548161e-01
      6.0201e-01    1.325901e-01
      6.0294e-01    1.133282e-01
      6.0388e-01    9.668899e-02
      6.0482e-01    8.235896e-02
      6.0575e-01    7.003776e-02
      6.0669e-01    5.948893e-02
      6.0762e-01    5.045988e-02
      6.0856e-01    4.275419e-02
      6.0950e-01    3.625911e-02
      6.1043e-01    3.075759e-02
      6.1137e-01    2.612699e-02
      6.1231e-01    2.226463e-02
      6.1324e-01    1.901970e-02
      6.1418e-01    1.628518e-02
      6.1512e-01    1.401919e-02
      6.1605e-01    1.212386e-02
      6.1699e-01    1.054599e-02
      6.1793e-01    9.197438e-03
      6.1886e-01    8.056952e-03
      6.1980e-01    7.114926e-03
      6.2074e-01    6.300156e-03
      6.2167e-01    5.595207e-03
      6.2261e-01    4.979129e-03
      6.2355e-01    4.463681e-03
      6.2448e-01    4.015056e-03
      6.2542e-01    3.644852e-03
      6.2636e-01    3.296588e-03
      6.2729e-01    3.015776e-03
      6.2823e-01    2.779901e-03
      6.2917e-01    2.566325e-03
      6.3010e-01    2.375209e-03
      6.3104e-01    2.196068e-03
      6.3198e-01    2.027753e-03
      6.3291e-01    1.858917e-03
      6.3385e-01    1.723969e-03
      6.3479e-01    1.588631e-03
      6.3572e-01    1.475864e-03
      6.3666e-01    1.351194e-03
      6.3760e-01    1.249270e-03
      6.3853e-01    1.146986e-03
      6.3947e-01    1.067597e-03
      6.4041e-01    9.877323e-04
      6.4134e-01    8.957416e-04
      6.4228e-01    8.035534e-04
      6.4321e-01    7.111623e-04
      6.4415e-01    6.419044e-04
      6.4509e-01    5.958642e-04
      6.4602e-01    5.380266e-04
      6.4696e-01    4.800616e-04
      6.4790e-01    4.454183e-04
      6.4883e-01    4.341614e-04
      6.4977e-01    4.111305e-04
      6.5071e-01    3.760133e-04
      6.5164e-01    3.172798e-04
      6.5258e-01    2.467939e-04
      6.5352e-01    1.997986e-04
      6.5445e-01    1.527962e-04
      6.5539e-01    9.403527e-05
      6.5633e-01    4.702051e-05
      6.5726e-01    1.175592e-05
