#  wavelength_um     transmission
#
      3.7900e-01    9.650074e-05
      3.8000e-01    1.342150e-04
      3.8100e-01    1.391381e-04
      3.8200e-01    2.162431e-04
      3.8300e-01    3.358931e-04
      3.8400e-01    5.794288e-04
      3.8500e-01    1.238830e-03
      3.8600e-01    2.479239e-03
      3.8700e-01    4.697679e-03
      3.8800e-01    8.382368e-03
      3.8900e-01    1.416804e-02
      3.9000e-01    2.275870e-02
      3.9100e-01    3.492579e-02
      3.9200e-01    5.045543e-02
      3.9300e-01    6.912117e-02
      3.9400e-01    9.044648e-02
      3.9500e-01    1.138343e-01
      3.9600e-01    1.394446e-01
      3.9700e-01    1.652357e-01
      3.9800e-01    1.897132e-01
      3.9900e-01    2.141913e-01
      4.0000e-01    2.388711e-01
      4.0100e-01    2.619321e-01
      4.0200e-01    2.874533e-01
      4.0300e-01    3.156965e-01
      4.0400e-01    3.464163e-01
      4.0500e-01    3.743667e-01
      4.0600e-01    3.959780e-01
      4.0700e-01    4.127577e-01
      4.0800e-01    4.256606e-01
      4.0900e-01    4.382417e-01
      4.1000e-01    4.523716e-01
      4.1100e-01    4.677614e-01
      4.1200e-01    4.870281e-01
      4.1300e-01    5.060287e-01
      4.1400e-01    5.217299e-01
      4.1500e-01    5.366001e-01
      4.1600e-01    5.496122e-01
      4.1700e-01    5.602632e-01
      4.1800e-01    5.717659e-01
      4.1900e-01    5.841553e-01
      4.2000e-01    5.932143e-01
      4.2100e-01    6.011226e-01
      4.2200e-01    6.123428e-01
      4.2300e-01    6.244950e-01
      4.2400e-01    6.361049e-01
      4.2500e-01    6.437596e-01
      4.2600e-01    6.514020e-01
      4.2700e-01    6.588009e-01
      4.2800e-01    6.650658e-01
      4.2900e-01    6.735927e-01
      4.3000e-01    6.800370e-01
      4.3100e-01    6.833137e-01
      4.3200e-01    6.865719e-01
      4.3300e-01    6.908137e-01
      4.3400e-01    6.949813e-01
      4.3500e-01    7.012111e-01
      4.3600e-01    7.101464e-01
      4.3700e-01    7.202221e-01
      4.3800e-01    7.314051e-01
      4.3900e-01    7.418354e-01
      4.4000e-01    7.506697e-01
      4.4100e-01    7.580707e-01
      4.4200e-01    7.660636e-01
      4.4300e-01    7.731409e-01
      4.4400e-01    7.779107e-01
      4.4500e-01    7.857510e-01
      4.4600e-01    7.940202e-01
      4.4700e-01    7.990518e-01
      4.4800e-01    8.027616e-01
      4.4900e-01    8.088120e-01
      4.5000e-01    8.147056e-01
      4.5100e-01    8.171616e-01
      4.5200e-01    8.203373e-01
      4.5300e-01    8.217148e-01
      4.5400e-01    8.261794e-01
      4.5500e-01    8.303800e-01
      4.5600e-01    8.295531e-01
      4.5700e-01    8.306295e-01
      4.5800e-01    8.361581e-01
      4.5900e-01    8.430952e-01
      4.6000e-01    8.490466e-01
      4.6100e-01    8.557671e-01
      4.6200e-01    8.618669e-01
      4.6300e-01    8.669460e-01
      4.6400e-01    8.717714e-01
      4.6500e-01    8.758463e-01
      4.6600e-01    8.799458e-01
      4.6700e-01    8.798551e-01
      4.6800e-01    8.786157e-01
      4.6900e-01    8.797437e-01
      4.7000e-01    8.824018e-01
      4.7100e-01    8.834680e-01
      4.7200e-01    8.848929e-01
      4.7300e-01    8.885553e-01
      4.7400e-01    8.928219e-01
      4.7500e-01    8.965049e-01
      4.7600e-01    8.980515e-01
      4.7700e-01    8.994950e-01
      4.7800e-01    9.021077e-01
      4.7900e-01    9.038461e-01
      4.8000e-01    9.065867e-01
      4.8100e-01    9.125360e-01
      4.8200e-01    9.185987e-01
      4.8300e-01    9.250058e-01
      4.8400e-01    9.320171e-01
      4.8500e-01    9.376715e-01
      4.8600e-01    9.419464e-01
