#  wavelength_um     transmission
#
      6.7100e-01    2.000871e-04
      6.7200e-01    5.002055e-04
      6.7300e-01    1.100387e-03
      6.7400e-01    2.100690e-03
      6.7500e-01    3.701063e-03
      6.7600e-01    6.301657e-03
      6.7700e-01    1.020208e-02
      6.7800e-01    1.600281e-02
      6.7900e-01    2.430343e-02
      6.8000e-01    3.540362e-02
      6.8100e-01    5.010827e-02
      6.8200e-01    6.831682e-02
      6.8300e-01    9.000023e-02
      6.8400e-01    1.156318e-01
      6.8500e-01    1.444938e-01
      6.8600e-01    1.762708e-01
      6.8700e-01    2.103731e-01
      6.8800e-01    2.463259e-01
      6.8900e-01    2.883517e-01
      6.9000e-01    3.317649e-01
      6.9100e-01    3.768775e-01
      6.9200e-01    4.221613e-01
      6.9300e-01    4.675122e-01
      6.9400e-01    5.116529e-01
      6.9500e-01    5.534708e-01
      6.9600e-01    5.949724e-01
      6.9700e-01    6.352606e-01
      6.9800e-01    6.732948e-01
      6.9900e-01    7.041543e-01
      7.0000e-01    7.328270e-01
      7.0100e-01    7.584633e-01
      7.0200e-01    7.812985e-01
      7.0300e-01    8.012286e-01
      7.0400e-01    8.177525e-01
      7.0500e-01    8.343727e-01
      7.0600e-01    8.493991e-01
      7.0700e-01    8.611185e-01
      7.0800e-01    8.698305e-01
      7.0900e-01    8.805413e-01
      7.1000e-01    8.860441e-01
      7.1100e-01    8.914599e-01
      7.1200e-01    8.988608e-01
      7.1300e-01    9.054715e-01
      7.1400e-01    9.098665e-01
      7.1500e-01    8.996737e-01
      7.1600e-01    8.896323e-01
      7.1700e-01    8.783041e-01
      7.1800e-01    8.664777e-01
      7.1900e-01    8.771717e-01
      7.2000e-01    8.884724e-01
      7.2100e-01    8.998541e-01
      7.2200e-01    9.118516e-01
      7.2300e-01    9.199049e-01
      7.2400e-01    9.242250e-01
      7.2500e-01    9.264225e-01
      7.2600e-01    9.314074e-01
      7.2700e-01    9.362256e-01
      7.2800e-01    9.382306e-01
      7.2900e-01    9.417881e-01
      7.3000e-01    9.441965e-01
      7.3100e-01    9.523109e-01
      7.3200e-01    9.637629e-01
      7.3300e-01    9.720883e-01
      7.3400e-01    9.790933e-01
      7.3500e-01    9.815094e-01
      7.3600e-01    9.823177e-01
      7.3700e-01    9.787969e-01
      7.3800e-01    9.740734e-01
      7.3900e-01    9.735752e-01
      7.4000e-01    9.739725e-01
      7.4100e-01    9.736776e-01
      7.4200e-01    9.747855e-01
      7.4300e-01    9.718682e-01
      7.4400e-01    9.708581e-01
      7.4500e-01    9.709529e-01
      7.4600e-01    9.704639e-01
      7.4700e-01    9.710599e-01
      7.4800e-01    9.733612e-01
      7.4900e-01    9.757757e-01
      7.5000e-01    9.762617e-01
      7.5100e-01    9.790643e-01
      7.5200e-01    9.822719e-01
      7.5300e-01    9.822826e-01
      7.5400e-01    9.831781e-01
      7.5500e-01    9.843746e-01
      7.5600e-01    9.852808e-01
      7.5700e-01    9.877091e-01
