#  wavelength_um     transmission
#
      5.4000e-01    7.056347e-04
      5.4100e-01    2.032033e-03
      5.4200e-01    4.424737e-03
      5.4300e-01    8.775255e-03
      5.4400e-01    1.660280e-02
      5.4500e-01    2.899096e-02
      5.4600e-01    4.631995e-02
      5.4700e-01    7.003906e-02
      5.4800e-01    1.000922e-01
      5.4900e-01    1.357026e-01
      5.5000e-01    1.759119e-01
      5.5100e-01    2.181374e-01
      5.5200e-01    2.629300e-01
      5.5300e-01    3.089456e-01
      5.5400e-01    3.516865e-01
      5.5500e-01    3.920283e-01
      5.5600e-01    4.324137e-01
      5.5700e-01    4.708426e-01
      5.5800e-01    5.064848e-01
      5.5900e-01    5.392384e-01
      5.6000e-01    5.697269e-01
      5.6100e-01    5.984691e-01
      5.6200e-01    6.258364e-01
      5.6300e-01    6.495220e-01
      5.6400e-01    6.675175e-01
      5.6500e-01    6.850058e-01
      5.6600e-01    7.013519e-01
      5.6700e-01    7.153587e-01
      5.6800e-01    7.296756e-01
      5.6900e-01    7.449684e-01
      5.7000e-01    7.520606e-01
      5.7100e-01    7.590769e-01
      5.7200e-01    7.708575e-01
      5.7300e-01    7.835008e-01
      5.7400e-01    7.954348e-01
      5.7500e-01    8.073301e-01
      5.7600e-01    8.179329e-01
      5.7700e-01    8.263192e-01
      5.7800e-01    8.320107e-01
      5.7900e-01    8.391321e-01
      5.8000e-01    8.466427e-01
      5.8100e-01    8.524603e-01
      5.8200e-01    8.567932e-01
      5.8300e-01    8.583861e-01
      5.8400e-01    8.599823e-01
      5.8500e-01    8.618628e-01
      5.8600e-01    8.621439e-01
      5.8700e-01    8.643120e-01
      5.8800e-01    8.682943e-01
      5.8900e-01    8.732475e-01
      5.9000e-01    8.777161e-01
      5.9100e-01    8.818325e-01
      5.9200e-01    8.854578e-01
      5.9300e-01    8.884417e-01
      5.9400e-01    8.931591e-01
      5.9500e-01    8.968119e-01
      5.9600e-01    8.988523e-01
      5.9700e-01    9.015616e-01
      5.9800e-01    9.039752e-01
      5.9900e-01    9.038088e-01
      6.0060e-01    9.041562e-01
      6.0157e-01    9.060253e-01
      6.0253e-01    9.077087e-01
      6.0350e-01    9.089285e-01
      6.0446e-01    9.092516e-01
      6.0543e-01    9.083792e-01
      6.0639e-01    9.059849e-01
      6.0736e-01    9.023548e-01
      6.0832e-01    8.977699e-01
      6.0929e-01    8.924774e-01
      6.1025e-01    8.868084e-01
      6.1122e-01    8.812364e-01
      6.1218e-01    8.763252e-01
      6.1315e-01    8.726579e-01
      6.1411e-01    8.703589e-01
      6.1508e-01    8.694526e-01
      6.1604e-01    8.698678e-01
      6.1701e-01    8.717725e-01
      6.1797e-01    8.753591e-01
      6.1894e-01    8.808115e-01
      6.1990e-01    8.880249e-01
      6.2087e-01    8.959201e-01
      6.2183e-01    9.047216e-01
      6.2280e-01    9.144003e-01
      6.2376e-01    9.243763e-01
      6.2473e-01    9.340098e-01
      6.2569e-01    9.427548e-01
      6.2666e-01    9.501443e-01
      6.2762e-01    9.562995e-01
      6.2859e-01    9.618457e-01
      6.2955e-01    9.663886e-01
      6.3052e-01    9.700801e-01
      6.3148e-01    9.733193e-01
      6.3245e-01    9.761416e-01
      6.3342e-01    9.788525e-01
      6.3438e-01    9.816199e-01
      6.3535e-01    9.838849e-01
      6.3631e-01    9.854100e-01
      6.3728e-01    9.867364e-01
      6.3824e-01    9.879771e-01
      6.3921e-01    9.890240e-01
      6.4017e-01    9.896847e-01
      6.4114e-01    9.896266e-01
      6.4210e-01    9.893326e-01
      6.4307e-01    9.893035e-01
      6.4403e-01    9.896815e-01
      6.4500e-01    9.900838e-01
      6.4596e-01    9.903019e-01
      6.4693e-01    9.911016e-01
      6.4789e-01    9.926121e-01
      6.4886e-01    9.942616e-01
      6.4982e-01    9.957737e-01
      6.5079e-01    9.961986e-01
      6.5175e-01    9.963440e-01
      6.5272e-01    9.969660e-01
      6.5368e-01    9.978610e-01
      6.5465e-01    9.983166e-01
      6.5561e-01    9.986849e-01
      6.5658e-01    9.991325e-01
      6.5754e-01    9.993231e-01
      6.5851e-01    9.996866e-01
      6.5947e-01    1.000000e+00
      6.6044e-01    9.995897e-01
      6.6140e-01    9.987641e-01
      6.6237e-01    9.980646e-01
      6.6333e-01    9.973780e-01
      6.6430e-01    9.967948e-01
      6.6526e-01    9.963941e-01
      6.6623e-01    9.957899e-01
      6.6719e-01    9.950661e-01
