#  wavelength_um     transmission
#
      7.9140e-01    2.158921e-04
      7.9283e-01    6.349347e-04
      7.9426e-01    1.130089e-03
      7.9568e-01    1.599783e-03
      7.9711e-01    2.158265e-03
      7.9854e-01    2.805546e-03
      7.9997e-01    3.465385e-03
      8.0139e-01    3.906428e-03
      8.0282e-01    4.406135e-03
      8.0425e-01    5.001813e-03
      8.0568e-01    5.592399e-03
      8.0710e-01    6.314643e-03
      8.0853e-01    7.092349e-03
      8.0996e-01    8.134240e-03
      8.1138e-01    9.244865e-03
      8.1281e-01    1.034777e-02
      8.1424e-01    1.163693e-02
      8.1567e-01    1.333533e-02
      8.1709e-01    1.540381e-02
      8.1852e-01    1.766318e-02
      8.1995e-01    2.028014e-02
      8.2138e-01    2.321657e-02
      8.2280e-01    2.685538e-02
      8.2423e-01    3.137288e-02
      8.2566e-01    3.673763e-02
      8.2708e-01    4.287787e-02
      8.2851e-01    5.023284e-02
      8.2994e-01    5.904368e-02
      8.3137e-01    7.079597e-02
      8.3279e-01    8.528813e-02
      8.3422e-01    1.024326e-01
      8.3565e-01    1.229303e-01
      8.3708e-01    1.466943e-01
      8.3850e-01    1.745320e-01
      8.3993e-01    2.074273e-01
      8.4136e-01    2.447259e-01
      8.4278e-01    2.871231e-01
      8.4421e-01    3.367156e-01
      8.4564e-01    3.891382e-01
      8.4707e-01    4.441842e-01
      8.4849e-01    5.030769e-01
      8.4992e-01    5.629032e-01
      8.5135e-01    6.208853e-01
      8.5278e-01    6.803412e-01
      8.5420e-01    7.383098e-01
      8.5563e-01    7.952522e-01
      8.5706e-01    8.389611e-01
      8.5848e-01    8.750309e-01
      8.5991e-01    9.130625e-01
      8.6134e-01    9.437791e-01
      8.6277e-01    9.638473e-01
      8.6419e-01    9.746231e-01
      8.6562e-01    9.819825e-01
      8.6705e-01    9.935627e-01
      8.6847e-01    1.000000e+00
      8.6990e-01    9.983641e-01
      8.7133e-01    9.962730e-01
      8.7276e-01    9.923956e-01
      8.7418e-01    9.859564e-01
      8.7561e-01    9.777250e-01
      8.7704e-01    9.688899e-01
      8.7847e-01    9.592985e-01
      8.7989e-01    9.502705e-01
      8.8132e-01    9.416398e-01
