#  wavelength_um     transmission
#
      1.3994e+00    1.468303e-07
      1.4024e+00    5.997008e-07
      1.4054e+00    7.095125e-07
      1.4084e+00    1.372156e-06
      1.4114e+00    4.591717e-06
      1.4144e+00    6.338146e-06
      1.4174e+00    1.934803e-05
      1.4204e+00    1.930827e-05
      1.4234e+00    4.069153e-05
      1.4264e+00    5.850192e-05
      1.4294e+00    9.421554e-05
      1.4324e+00    7.572235e-05
      1.4354e+00    1.208622e-04
      1.4384e+00    1.317327e-04
      1.4414e+00    2.123882e-04
      1.4444e+00    2.445786e-04
      1.4474e+00    3.681494e-04
      1.4504e+00    3.326676e-04
      1.4535e+00    6.108984e-04
      1.4565e+00    6.817022e-04
      1.4595e+00    1.055028e-03
      1.4625e+00    1.090407e-03
      1.4655e+00    1.313145e-03
      1.4685e+00    1.528477e-03
      1.4715e+00    1.597221e-03
      1.4745e+00    3.344869e-03
      1.4775e+00    4.181074e-03
      1.4805e+00    5.490227e-03
      1.4835e+00    1.046643e-02
      1.4865e+00    1.418125e-02
      1.4895e+00    2.575073e-02
      1.4925e+00    3.638206e-02
      1.4955e+00    4.870075e-02
      1.4985e+00    6.934269e-02
      1.5015e+00    9.234197e-02
      1.5045e+00    1.058075e-01
      1.5075e+00    1.356872e-01
      1.5105e+00    1.658619e-01
      1.5135e+00    1.850579e-01
      1.5165e+00    2.111617e-01
      1.5195e+00    2.336736e-01
      1.5225e+00    2.602261e-01
      1.5255e+00    2.767858e-01
      1.5285e+00    2.982883e-01
      1.5315e+00    3.161305e-01
      1.5345e+00    3.316869e-01
      1.5375e+00    3.482251e-01
      1.5405e+00    3.596654e-01
      1.5435e+00    3.706480e-01
      1.5465e+00    3.803119e-01
      1.5495e+00    3.870833e-01
      1.5526e+00    3.906323e-01
      1.5556e+00    3.931602e-01
      1.5586e+00    3.940133e-01
      1.5616e+00    3.933216e-01
      1.5646e+00    3.921623e-01
      1.5676e+00    3.889184e-01
      1.5706e+00    3.724403e-01
      1.5736e+00    3.671684e-01
      1.5766e+00    3.729836e-01
      1.5796e+00    3.678460e-01
      1.5826e+00    3.749812e-01
      1.5856e+00    3.791653e-01
      1.5886e+00    3.808699e-01
      1.5916e+00    3.817519e-01
      1.5946e+00    3.830470e-01
      1.5976e+00    3.820945e-01
      1.6006e+00    3.701339e-01
      1.6036e+00    3.661439e-01
      1.6066e+00    3.747468e-01
      1.6096e+00    3.677775e-01
      1.6126e+00    3.742827e-01
      1.6156e+00    3.773552e-01
      1.6186e+00    3.773130e-01
      1.6216e+00    3.765141e-01
      1.6246e+00    3.755040e-01
      1.6276e+00    3.751618e-01
      1.6306e+00    3.753832e-01
      1.6336e+00    3.757656e-01
      1.6366e+00    3.755362e-01
      1.6396e+00    3.765597e-01
      1.6426e+00    3.771662e-01
      1.6456e+00    3.797001e-01
      1.6486e+00    3.817235e-01
      1.6517e+00    3.840916e-01
      1.6547e+00    3.878193e-01
      1.6577e+00    3.919118e-01
      1.6607e+00    3.940119e-01
      1.6637e+00    3.955944e-01
      1.6667e+00    3.821777e-01
      1.6697e+00    3.969430e-01
      1.6727e+00    3.975733e-01
      1.6757e+00    3.958220e-01
      1.6787e+00    3.949065e-01
      1.6817e+00    3.952410e-01
      1.6847e+00    3.924094e-01
      1.6877e+00    3.931079e-01
      1.6907e+00    3.886344e-01
      1.6937e+00    3.915348e-01
      1.6967e+00    3.863428e-01
      1.6997e+00    3.863262e-01
      1.7027e+00    3.871450e-01
      1.7057e+00    3.826985e-01
      1.7087e+00    3.744645e-01
      1.7117e+00    3.809650e-01
      1.7147e+00    3.688927e-01
      1.7177e+00    3.796156e-01
      1.7207e+00    3.673393e-01
      1.7237e+00    3.619798e-01
      1.7267e+00    3.759125e-01
      1.7297e+00    3.728034e-01
      1.7327e+00    3.594920e-01
      1.7357e+00    3.585304e-01
      1.7387e+00    3.695198e-01
      1.7417e+00    3.556972e-01
      1.7447e+00    3.618830e-01
      1.7477e+00    3.299188e-01
      1.7507e+00    3.479504e-01
      1.7538e+00    3.493173e-01
      1.7568e+00    3.092818e-01
      1.7598e+00    3.294740e-01
      1.7628e+00    3.027277e-01
      1.7658e+00    2.643412e-01
      1.7688e+00    2.827566e-01
      1.7718e+00    2.671328e-01
      1.7748e+00    2.242164e-01
      1.7778e+00    2.053978e-01
      1.7808e+00    1.953610e-01
      1.7838e+00    1.637101e-01
      1.7868e+00    1.470981e-01
      1.7898e+00    1.417988e-01
      1.7928e+00    9.315151e-02
      1.7958e+00    8.441225e-02
      1.7988e+00    7.590908e-02
      1.8018e+00    2.474476e-02
      1.8048e+00    3.157421e-02
      1.8078e+00    1.789710e-02
      1.8108e+00    1.166212e-02
      1.8138e+00    6.894590e-03
      1.8168e+00    5.050074e-03
      1.8198e+00    1.512408e-03
      1.8228e+00    2.222161e-03
      1.8258e+00    1.105417e-03
      1.8288e+00    1.998270e-04
      1.8318e+00    1.361976e-04
      1.8348e+00    1.383184e-04
      1.8378e+00    1.748508e-05
      1.8408e+00    2.184807e-06
      1.8438e+00    1.253443e-04
      1.8468e+00    2.573504e-05
      1.8498e+00    1.090232e-05
      1.8529e+00    4.378656e-05
      1.8559e+00    2.193088e-05
      1.8589e+00    1.851099e-05
      1.8619e+00    5.023106e-05
      1.8649e+00    5.546415e-05
      1.8679e+00    1.092627e-05
      1.8709e+00    8.241201e-08
      1.8739e+00    6.151464e-07
      1.8769e+00    1.640463e-06
      1.8799e+00    4.353020e-05
      1.8829e+00    4.693195e-05
      1.8859e+00    1.680063e-05
      1.8889e+00    6.232031e-05
      1.8919e+00    5.177003e-06
      1.8949e+00    2.785915e-05
      1.8979e+00    9.660559e-06
      1.9009e+00    2.754166e-06
      1.9039e+00    1.684117e-06
