#  wavelength_um     transmission
#
      1.0600e+00    0.000000e+00
      1.0601e+00    0.000000e+00
      1.0602e+00    0.000000e+00
      1.0603e+00    0.000000e+00
      1.0604e+00    0.000000e+00
      1.0605e+00    0.000000e+00
      1.0606e+00    0.000000e+00
      1.0607e+00    0.000000e+00
      1.0608e+00    0.000000e+00
      1.0609e+00    0.000000e+00
      1.0610e+00    0.000000e+00
      1.0611e+00    0.000000e+00
      1.0612e+00    0.000000e+00
      1.0613e+00    0.000000e+00
      1.0614e+00    0.000000e+00
      1.0615e+00    0.000000e+00
      1.0616e+00    0.000000e+00
      1.0617e+00    0.000000e+00
      1.0618e+00    0.000000e+00
      1.0619e+00    0.000000e+00
      1.0620e+00    0.000000e+00
      1.0621e+00    0.000000e+00
      1.0622e+00    0.000000e+00
      1.0623e+00    0.000000e+00
      1.0624e+00    0.000000e+00
      1.0625e+00    0.000000e+00
      1.0626e+00    0.000000e+00
      1.0627e+00    0.000000e+00
      1.0628e+00    0.000000e+00
      1.0629e+00    0.000000e+00
      1.0630e+00    0.000000e+00
      1.0631e+00    0.000000e+00
      1.0632e+00    0.000000e+00
      1.0633e+00    0.000000e+00
      1.0634e+00    0.000000e+00
      1.0635e+00    0.000000e+00
      1.0636e+00    0.000000e+00
      1.0637e+00    0.000000e+00
      1.0638e+00    0.000000e+00
      1.0639e+00    0.000000e+00
      1.0640e+00    0.000000e+00
      1.0641e+00    0.000000e+00
      1.0642e+00    0.000000e+00
      1.0643e+00    0.000000e+00
      1.0644e+00    0.000000e+00
      1.0645e+00    0.000000e+00
      1.0646e+00    0.000000e+00
      1.0647e+00    0.000000e+00
      1.0648e+00    0.000000e+00
      1.0649e+00    0.000000e+00
      1.0650e+00    0.000000e+00
      1.0651e+00    0.000000e+00
      1.0652e+00    0.000000e+00
      1.0653e+00    0.000000e+00
      1.0654e+00    0.000000e+00
      1.0655e+00    0.000000e+00
      1.0656e+00    0.000000e+00
      1.0657e+00    0.000000e+00
      1.0658e+00    0.000000e+00
      1.0659e+00    0.000000e+00
      1.0660e+00    0.000000e+00
      1.0661e+00    0.000000e+00
      1.0662e+00    0.000000e+00
      1.0663e+00    0.000000e+00
      1.0664e+00    0.000000e+00
      1.0665e+00    0.000000e+00
      1.0666e+00    0.000000e+00
      1.0667e+00    0.000000e+00
      1.0668e+00    0.000000e+00
      1.0669e+00    0.000000e+00
      1.0670e+00    0.000000e+00
      1.0671e+00    0.000000e+00
      1.0672e+00    0.000000e+00
      1.0673e+00    0.000000e+00
      1.0674e+00    0.000000e+00
      1.0675e+00    0.000000e+00
      1.0676e+00    0.000000e+00
      1.0677e+00    0.000000e+00
      1.0678e+00    0.000000e+00
      1.0679e+00    0.000000e+00
      1.0680e+00    0.000000e+00
      1.0681e+00    0.000000e+00
      1.0682e+00    0.000000e+00
      1.0683e+00    0.000000e+00
      1.0684e+00    0.000000e+00
      1.0685e+00    0.000000e+00
      1.0686e+00    0.000000e+00
      1.0687e+00    0.000000e+00
      1.0688e+00    0.000000e+00
      1.0689e+00    0.000000e+00
      1.0690e+00    0.000000e+00
      1.0691e+00    0.000000e+00
      1.0692e+00    0.000000e+00
      1.0693e+00    0.000000e+00
      1.0694e+00    0.000000e+00
      1.0695e+00    0.000000e+00
      1.0696e+00    0.000000e+00
      1.0697e+00    0.000000e+00
      1.0698e+00    0.000000e+00
      1.0699e+00    0.000000e+00
      1.0700e+00    0.000000e+00
      1.0701e+00    0.000000e+00
      1.0702e+00    0.000000e+00
      1.0703e+00    0.000000e+00
      1.0704e+00    0.000000e+00
      1.0705e+00    0.000000e+00
      1.0706e+00    0.000000e+00
      1.0707e+00    0.000000e+00
      1.0708e+00    0.000000e+00
      1.0709e+00    0.000000e+00
      1.0710e+00    0.000000e+00
      1.0711e+00    0.000000e+00
      1.0712e+00    0.000000e+00
      1.0713e+00    0.000000e+00
      1.0714e+00    0.000000e+00
      1.0715e+00    0.000000e+00
      1.0716e+00    0.000000e+00
      1.0717e+00    0.000000e+00
      1.0718e+00    0.000000e+00
      1.0719e+00    0.000000e+00
      1.0720e+00    0.000000e+00
      1.0721e+00    0.000000e+00
      1.0722e+00    0.000000e+00
      1.0723e+00    0.000000e+00
      1.0724e+00    0.000000e+00
      1.0725e+00    0.000000e+00
      1.0726e+00    0.000000e+00
      1.0727e+00    0.000000e+00
      1.0728e+00    0.000000e+00
      1.0729e+00    0.000000e+00
      1.0730e+00    0.000000e+00
      1.0731e+00    0.000000e+00
      1.0732e+00    0.000000e+00
      1.0733e+00    0.000000e+00
      1.0734e+00    0.000000e+00
      1.0735e+00    0.000000e+00
      1.0736e+00    0.000000e+00
      1.0737e+00    0.000000e+00
      1.0738e+00    0.000000e+00
      1.0739e+00    0.000000e+00
      1.0740e+00    0.000000e+00
      1.0741e+00    0.000000e+00
      1.0742e+00    0.000000e+00
      1.0743e+00    0.000000e+00
      1.0744e+00    0.000000e+00
      1.0745e+00    0.000000e+00
      1.0746e+00    0.000000e+00
      1.0747e+00    0.000000e+00
      1.0748e+00    0.000000e+00
      1.0749e+00    0.000000e+00
      1.0750e+00    0.000000e+00
      1.0751e+00    0.000000e+00
      1.0752e+00    0.000000e+00
      1.0753e+00    0.000000e+00
      1.0754e+00    0.000000e+00
      1.0755e+00    0.000000e+00
      1.0756e+00    0.000000e+00
      1.0757e+00    0.000000e+00
      1.0758e+00    0.000000e+00
      1.0759e+00    0.000000e+00
      1.0760e+00    0.000000e+00
      1.0761e+00    0.000000e+00
      1.0762e+00    0.000000e+00
      1.0763e+00    0.000000e+00
      1.0764e+00    0.000000e+00
      1.0765e+00    0.000000e+00
      1.0766e+00    0.000000e+00
      1.0767e+00    0.000000e+00
      1.0768e+00    0.000000e+00
      1.0769e+00    0.000000e+00
      1.0770e+00    0.000000e+00
      1.0771e+00    0.000000e+00
      1.0772e+00    0.000000e+00
      1.0773e+00    0.000000e+00
      1.0774e+00    0.000000e+00
      1.0775e+00    0.000000e+00
      1.0776e+00    0.000000e+00
      1.0777e+00    0.000000e+00
      1.0778e+00    0.000000e+00
      1.0779e+00    0.000000e+00
      1.0780e+00    0.000000e+00
      1.0781e+00    0.000000e+00
      1.0782e+00    0.000000e+00
      1.0783e+00    0.000000e+00
      1.0784e+00    0.000000e+00
      1.0785e+00    0.000000e+00
      1.0786e+00    0.000000e+00
      1.0787e+00    0.000000e+00
      1.0788e+00    0.000000e+00
      1.0789e+00    0.000000e+00
      1.0790e+00    0.000000e+00
      1.0791e+00    0.000000e+00
      1.0792e+00    0.000000e+00
      1.0793e+00    0.000000e+00
      1.0794e+00    0.000000e+00
      1.0795e+00    0.000000e+00
      1.0796e+00    0.000000e+00
      1.0797e+00    0.000000e+00
      1.0798e+00    0.000000e+00
      1.0799e+00    0.000000e+00
      1.0800e+00    0.000000e+00
      1.0801e+00    0.000000e+00
      1.0802e+00    0.000000e+00
      1.0803e+00    0.000000e+00
      1.0804e+00    0.000000e+00
      1.0805e+00    0.000000e+00
      1.0806e+00    0.000000e+00
      1.0807e+00    0.000000e+00
      1.0808e+00    0.000000e+00
      1.0809e+00    0.000000e+00
      1.0810e+00    0.000000e+00
      1.0811e+00    0.000000e+00
      1.0812e+00    0.000000e+00
      1.0813e+00    0.000000e+00
      1.0814e+00    0.000000e+00
      1.0815e+00    0.000000e+00
      1.0816e+00    0.000000e+00
      1.0817e+00    0.000000e+00
      1.0818e+00    0.000000e+00
      1.0819e+00    0.000000e+00
      1.0820e+00    0.000000e+00
      1.0821e+00    0.000000e+00
      1.0822e+00    0.000000e+00
      1.0823e+00    0.000000e+00
      1.0824e+00    0.000000e+00
      1.0825e+00    0.000000e+00
      1.0826e+00    0.000000e+00
      1.0827e+00    0.000000e+00
      1.0828e+00    0.000000e+00
      1.0829e+00    0.000000e+00
      1.0830e+00    0.000000e+00
      1.0831e+00    0.000000e+00
      1.0832e+00    0.000000e+00
      1.0833e+00    0.000000e+00
      1.0834e+00    0.000000e+00
      1.0835e+00    0.000000e+00
      1.0836e+00    0.000000e+00
      1.0837e+00    0.000000e+00
      1.0838e+00    0.000000e+00
      1.0839e+00    0.000000e+00
      1.0840e+00    0.000000e+00
      1.0841e+00    0.000000e+00
      1.0842e+00    0.000000e+00
      1.0843e+00    0.000000e+00
      1.0844e+00    0.000000e+00
      1.0845e+00    0.000000e+00
      1.0846e+00    0.000000e+00
      1.0847e+00    0.000000e+00
      1.0848e+00    0.000000e+00
      1.0849e+00    0.000000e+00
      1.0850e+00    0.000000e+00
      1.0851e+00    0.000000e+00
      1.0852e+00    0.000000e+00
      1.0853e+00    0.000000e+00
      1.0854e+00    0.000000e+00
      1.0855e+00    0.000000e+00
      1.0856e+00    0.000000e+00
      1.0857e+00    0.000000e+00
      1.0858e+00    0.000000e+00
      1.0859e+00    0.000000e+00
      1.0860e+00    0.000000e+00
      1.0861e+00    0.000000e+00
      1.0862e+00    0.000000e+00
      1.0863e+00    0.000000e+00
      1.0864e+00    0.000000e+00
      1.0865e+00    0.000000e+00
      1.0866e+00    0.000000e+00
      1.0867e+00    0.000000e+00
      1.0868e+00    0.000000e+00
      1.0869e+00    0.000000e+00
      1.0870e+00    0.000000e+00
      1.0871e+00    0.000000e+00
      1.0872e+00    0.000000e+00
      1.0873e+00    0.000000e+00
      1.0874e+00    0.000000e+00
      1.0875e+00    0.000000e+00
      1.0876e+00    0.000000e+00
      1.0877e+00    0.000000e+00
