#  wavelength_um     transmission
#
      3.8300e-01    6.472562e-05
      3.8350e-01    6.472562e-05
      3.8400e-01    6.472562e-05
      3.8450e-01    6.472562e-05
      3.8500e-01    6.652355e-05
      3.8550e-01    6.652355e-05
      3.8600e-01    6.652355e-05
      3.8650e-01    6.652355e-05
      3.8700e-01    6.832148e-05
      3.8750e-01    6.832148e-05
      3.8800e-01    6.832148e-05
      3.8850e-01    6.832148e-05
      3.8900e-01    1.384409e-04
      3.8950e-01    1.402388e-04
      3.9000e-01    1.402388e-04
      3.9050e-01    1.420368e-04
      3.9100e-01    2.139541e-04
      3.9150e-01    2.139541e-04
      3.9200e-01    2.876694e-04
      3.9250e-01    2.894673e-04
      3.9300e-01    2.930632e-04
      3.9350e-01    3.667785e-04
      3.9400e-01    3.703744e-04
      3.9450e-01    4.476855e-04
      3.9500e-01    4.494835e-04
      3.9550e-01    5.285925e-04
      3.9600e-01    5.303905e-04
      3.9650e-01    6.112975e-04
      3.9700e-01    7.677177e-04
      3.9750e-01    9.277339e-04
      3.9800e-01    1.089548e-03
      3.9850e-01    1.330471e-03
      3.9900e-01    1.654099e-03
      3.9950e-01    1.981323e-03
      4.0000e-01    2.393050e-03
      4.0050e-01    2.876694e-03
      4.0100e-01    3.363934e-03
      4.0150e-01    3.935677e-03
      4.0200e-01    4.426513e-03
      4.0250e-01    5.001852e-03
      4.0300e-01    5.661694e-03
      4.0350e-01    6.404240e-03
      4.0400e-01    7.394902e-03
      4.0450e-01    8.714585e-03
      4.0500e-01    1.069411e-02
      4.0550e-01    1.341978e-02
      4.0600e-01    1.730511e-02
      4.0650e-01    2.260542e-02
      4.0700e-01    2.949331e-02
      4.0750e-01    3.831217e-02
      4.0800e-01    4.924001e-02
      4.0850e-01    6.195680e-02
      4.0900e-01    7.656321e-02
      4.0950e-01    9.224299e-02
      4.1000e-01    1.091723e-01
      4.1050e-01    1.274052e-01
      4.1100e-01    1.469757e-01
      4.1150e-01    1.699875e-01
      4.1200e-01    1.971363e-01
      4.1250e-01    2.294649e-01
      4.1300e-01    2.693790e-01
      4.1350e-01    3.149836e-01
      4.1400e-01    3.685153e-01
      4.1450e-01    4.295893e-01
      4.1500e-01    4.938996e-01
      4.1550e-01    5.611567e-01
      4.1600e-01    6.245015e-01
      4.1650e-01    6.792360e-01
      4.1700e-01    7.223289e-01
      4.1750e-01    7.517323e-01
      4.1800e-01    7.694276e-01
      4.1850e-01    7.785377e-01
      4.1900e-01    7.824051e-01
      4.1950e-01    7.837373e-01
      4.2000e-01    7.841581e-01
      4.2050e-01    7.835863e-01
      4.2100e-01    7.815457e-01
      4.2150e-01    7.768980e-01
      4.2200e-01    7.693898e-01
      4.2250e-01    7.584961e-01
      4.2300e-01    7.459681e-01
      4.2350e-01    7.327389e-01
      4.2400e-01    7.209535e-01
      4.2450e-01    7.126398e-01
      4.2500e-01    7.089253e-01
      4.2550e-01    7.108743e-01
      4.2600e-01    7.184436e-01
      4.2650e-01    7.311855e-01
      4.2700e-01    7.477751e-01
      4.2750e-01    7.672287e-01
      4.2800e-01    7.868028e-01
      4.2850e-01    8.045880e-01
      4.2900e-01    8.195720e-01
      4.2950e-01    8.304818e-01
      4.3000e-01    8.370892e-01
      4.3050e-01    8.393115e-01
      4.3100e-01    8.381392e-01
      4.3150e-01    8.345955e-01
      4.3200e-01    8.297860e-01
      4.3250e-01    8.247860e-01
      4.3300e-01    8.204943e-01
      4.3350e-01    8.174881e-01
      4.3400e-01    8.162997e-01
      4.3450e-01    8.169218e-01
      4.3500e-01    8.193994e-01
      4.3550e-01    8.226572e-01
      4.3600e-01    8.264814e-01
      4.3650e-01    8.305232e-01
      4.3700e-01    8.342341e-01
      4.3750e-01    8.371144e-01
      4.3800e-01    8.392144e-01
      4.3850e-01    8.408379e-01
      4.3900e-01    8.419347e-01
      4.3950e-01    8.432741e-01
      4.4000e-01    8.450253e-01
      4.4050e-01    8.473572e-01
      4.4100e-01    8.504263e-01
      4.4150e-01    8.543098e-01
      4.4200e-01    8.583246e-01
      4.4250e-01    8.631089e-01
      4.4300e-01    8.677764e-01
      4.4350e-01    8.726200e-01
      4.4400e-01    8.775266e-01
      4.4450e-01    8.822839e-01
      4.4500e-01    8.870520e-01
      4.4550e-01    8.917176e-01
      4.4600e-01    8.960129e-01
      4.4650e-01    8.998605e-01
      4.4700e-01    9.029421e-01
      4.4750e-01    9.049918e-01
      4.4800e-01    9.060328e-01
      4.4850e-01    9.056301e-01
      4.4900e-01    9.040047e-01
      4.4950e-01    9.016153e-01
      4.5000e-01    8.984941e-01
      4.5050e-01    8.944199e-01
      4.5100e-01    8.909265e-01
      4.5150e-01    8.885119e-01
      4.5200e-01    8.876058e-01
      4.5250e-01    8.883987e-01
      4.5300e-01    8.907144e-01
      4.5350e-01    8.952380e-01
      4.5400e-01    9.008799e-01
      4.5450e-01    9.077912e-01
      4.5500e-01    9.148930e-01
      4.5550e-01    9.219823e-01
      4.5600e-01    9.283811e-01
      4.5650e-01    9.335016e-01
      4.5700e-01    9.376009e-01
      4.5750e-01    9.404506e-01
      4.5800e-01    9.423762e-01
      4.5850e-01    9.435053e-01
      4.5900e-01    9.441921e-01
      4.5950e-01    9.446021e-01
      4.6000e-01    9.446992e-01
      4.6050e-01    9.447621e-01
      4.6100e-01    9.447387e-01
      4.6150e-01    9.446542e-01
      4.6200e-01    9.444816e-01
      4.6250e-01    9.440986e-01
      4.6300e-01    9.439224e-01
      4.6350e-01    9.431925e-01
      4.6400e-01    9.425362e-01
      4.6450e-01    9.416193e-01
      4.6500e-01    9.403823e-01
      4.6550e-01    9.389422e-01
      4.6600e-01    9.369608e-01
      4.6650e-01    9.345336e-01
      4.6700e-01    9.321891e-01
      4.6750e-01    9.297493e-01
      4.6800e-01    9.276386e-01
      4.6850e-01    9.258784e-01
      4.6900e-01    9.247781e-01
      4.6950e-01    9.242962e-01
      4.7000e-01    9.242243e-01
      4.7050e-01    9.242584e-01
      4.7100e-01    9.246702e-01
      4.7150e-01    9.248985e-01
      4.7200e-01    9.252743e-01
      4.7250e-01    9.256069e-01
      4.7300e-01    9.261481e-01
      4.7350e-01    9.273922e-01
      4.7400e-01    9.293898e-01
      4.7450e-01    9.326584e-01
      4.7500e-01    9.368835e-01
      4.7550e-01    9.424769e-01
      4.7600e-01    9.487283e-01
      4.7650e-01    9.554634e-01
      4.7700e-01    9.624591e-01
      4.7750e-01    9.686818e-01
      4.7800e-01    9.740504e-01
      4.7850e-01    9.779699e-01
      4.7900e-01    9.807010e-01
      4.7950e-01    9.823641e-01
      4.8000e-01    9.834123e-01
      4.8050e-01    9.842321e-01
      4.8100e-01    9.852965e-01
      4.8150e-01    9.866468e-01
      4.8200e-01    9.887431e-01
      4.8250e-01    9.911344e-01
      4.8300e-01    9.939446e-01
      4.8350e-01    9.964868e-01
      4.8400e-01    9.985994e-01
      4.8450e-01    9.999479e-01
