#  wavelength_um     transmission
#
      5.0200e-01    1.156052e-04
      5.0250e-01    1.156052e-04
      5.0300e-01    1.156052e-04
      5.0350e-01    1.156052e-04
      5.0400e-01    1.156052e-04
      5.0450e-01    1.156052e-04
      5.0500e-01    1.156052e-04
      5.0550e-01    1.156052e-04
      5.0600e-01    1.156052e-04
      5.0650e-01    1.156052e-04
      5.0700e-01    1.156052e-04
      5.0750e-01    1.156052e-04
      5.0800e-01    1.156052e-04
      5.0850e-01    1.156052e-04
      5.0900e-01    1.156052e-04
      5.0950e-01    1.156052e-04
      5.1000e-01    1.156052e-04
      5.1050e-01    1.156052e-04
      5.1100e-01    1.156052e-04
      5.1150e-01    1.137100e-04
      5.1200e-01    1.137100e-04
      5.1250e-01    2.293152e-04
      5.1300e-01    2.293152e-04
      5.1350e-01    2.293152e-04
      5.1400e-01    2.293152e-04
      5.1450e-01    2.293152e-04
      5.1500e-01    2.293152e-04
      5.1550e-01    2.293152e-04
      5.1600e-01    2.293152e-04
      5.1650e-01    2.293152e-04
      5.1700e-01    3.430252e-04
      5.1750e-01    3.430252e-04
      5.1800e-01    3.430252e-04
      5.1850e-01    3.430252e-04
      5.1900e-01    3.430252e-04
      5.1950e-01    4.567352e-04
      5.2000e-01    4.567352e-04
      5.2050e-01    4.567352e-04
      5.2100e-01    4.567352e-04
      5.2150e-01    5.704452e-04
      5.2200e-01    5.704452e-04
      5.2250e-01    5.704452e-04
      5.2300e-01    6.841553e-04
      5.2350e-01    6.822601e-04
      5.2400e-01    7.959701e-04
      5.2450e-01    7.959701e-04
      5.2500e-01    9.096801e-04
      5.2550e-01    9.096801e-04
      5.2600e-01    1.021495e-03
      5.2650e-01    1.021495e-03
      5.2700e-01    1.135205e-03
      5.2750e-01    1.248915e-03
      5.2800e-01    1.360730e-03
      5.2850e-01    1.474440e-03
      5.2900e-01    1.586255e-03
      5.2950e-01    1.699965e-03
      5.3000e-01    1.811780e-03
      5.3050e-01    1.923594e-03
      5.3100e-01    2.149119e-03
      5.3150e-01    2.262829e-03
      5.3200e-01    2.488354e-03
      5.3250e-01    2.711984e-03
      5.3300e-01    2.937509e-03
      5.3350e-01    3.163034e-03
      5.3400e-01    3.500373e-03
      5.3450e-01    3.724003e-03
      5.3500e-01    4.175053e-03
      5.3550e-01    4.512393e-03
      5.3600e-01    4.961547e-03
      5.3650e-01    5.410702e-03
      5.3700e-01    5.857961e-03
      5.3750e-01    6.532640e-03
      5.3800e-01    7.091715e-03
      5.3850e-01    7.762604e-03
      5.3900e-01    8.545308e-03
      5.3950e-01    9.326117e-03
      5.4000e-01    1.022064e-02
      5.4050e-01    1.133499e-02
      5.4100e-01    1.244935e-02
      5.4150e-01    1.367742e-02
      5.4200e-01    1.501541e-02
      5.4250e-01    1.646332e-02
      5.4300e-01    1.824477e-02
      5.4350e-01    2.013804e-02
      5.4400e-01    2.214123e-02
      5.4450e-01    2.436806e-02
      5.4500e-01    2.692464e-02
      5.4550e-01    2.970485e-02
      5.4600e-01    3.292663e-02
      5.4650e-01    3.636825e-02
      5.4700e-01    4.024956e-02
      5.4750e-01    4.457243e-02
      5.4800e-01    4.922507e-02
      5.4850e-01    5.453911e-02
      5.4900e-01    6.029284e-02
      5.4950e-01    6.659996e-02
      5.5000e-01    7.356280e-02
      5.5050e-01    8.117379e-02
      5.5100e-01    8.944051e-02
      5.5150e-01    9.859417e-02
      5.5200e-01    1.082917e-01
      5.5250e-01    1.190771e-01
      5.5300e-01    1.305145e-01
      5.5350e-01    1.427231e-01
      5.5400e-01    1.561333e-01
      5.5450e-01    1.699586e-01
      5.5500e-01    1.848641e-01
      5.5550e-01    2.009673e-01
      5.5600e-01    2.176031e-01
      5.5650e-01    2.354271e-01
      5.5700e-01    2.537799e-01
      5.5750e-01    2.728567e-01
      5.5800e-01    2.924735e-01
      5.5850e-01    3.122041e-01
      5.5900e-01    3.322455e-01
      5.5950e-01    3.529331e-01
      5.6000e-01    3.733668e-01
      5.6050e-01    3.943009e-01
      5.6100e-01    4.149828e-01
      5.6150e-01    4.356572e-01
      5.6200e-01    4.568546e-01
      5.6250e-01    4.775252e-01
      5.6300e-01    4.984896e-01
      5.6350e-01    5.195941e-01
      5.6400e-01    5.402325e-01
      5.6450e-01    5.609922e-01
      5.6500e-01    5.813955e-01
      5.6550e-01    6.015468e-01
      5.6600e-01    6.215863e-01
      5.6650e-01    6.408185e-01
      5.6700e-01    6.597076e-01
      5.6750e-01    6.784015e-01
      5.6800e-01    6.961896e-01
      5.6850e-01    7.135645e-01
      5.6900e-01    7.305888e-01
      5.6950e-01    7.449901e-01
      5.7000e-01    7.592702e-01
      5.7050e-01    7.725496e-01
      5.7100e-01    7.847128e-01
      5.7150e-01    7.957332e-01
      5.7200e-01    8.053550e-01
      5.7250e-01    8.140121e-01
      5.7300e-01    8.210129e-01
      5.7350e-01    8.267571e-01
      5.7400e-01    8.310705e-01
      5.7450e-01    8.339929e-01
      5.7500e-01    8.357648e-01
      5.7550e-01    8.362121e-01
      5.7600e-01    8.352645e-01
      5.7650e-01    8.330320e-01
      5.7700e-01    8.301172e-01
      5.7750e-01    8.260635e-01
      5.7800e-01    8.211209e-01
      5.7850e-01    8.154903e-01
      5.7900e-01    8.094542e-01
      5.7950e-01    8.035337e-01
      5.8000e-01    7.977459e-01
      5.8050e-01    7.921817e-01
      5.8100e-01    7.869472e-01
      5.8150e-01    7.823135e-01
      5.8200e-01    7.782238e-01
      5.8250e-01    7.749603e-01
