#  wavelength_um     transmission
#
      3.1800e-01    3.063829e-06
      3.1850e-01    6.127657e-06
      3.1900e-01    6.127657e-06
      3.1950e-01    6.127657e-06
      3.2000e-01    1.531914e-05
      3.2050e-01    1.838297e-05
      3.2100e-01    1.838297e-05
      3.2150e-01    3.063829e-05
      3.2200e-01    3.370212e-05
      3.2250e-01    4.902126e-05
      3.2300e-01    6.434040e-05
      3.2350e-01    8.578721e-05
      3.2400e-01    1.041702e-04
      3.2450e-01    1.286808e-04
      3.2500e-01    1.562553e-04
      3.2550e-01    2.022127e-04
      3.2600e-01    2.328510e-04
      3.2650e-01    2.879999e-04
      3.2700e-01    3.737871e-04
      3.2750e-01    4.657020e-04
      3.2800e-01    5.913190e-04
      3.2850e-01    7.537019e-04
      3.2900e-01    9.896167e-04
      3.2950e-01    1.338893e-03
      3.3000e-01    1.835233e-03
      3.3050e-01    2.555233e-03
      3.3100e-01    3.554041e-03
      3.3150e-01    5.073700e-03
      3.3200e-01    7.350125e-03
      3.3250e-01    1.064068e-02
      3.3300e-01    1.562246e-02
      3.3350e-01    2.273667e-02
      3.3400e-01    3.276458e-02
      3.3450e-01    4.696849e-02
      3.3500e-01    6.511555e-02
      3.3550e-01    8.809427e-02
      3.3600e-01    1.160119e-01
      3.3650e-01    1.468187e-01
      3.3700e-01    1.808456e-01
      3.3750e-01    2.148112e-01
      3.3800e-01    2.465095e-01
      3.3850e-01    2.742372e-01
      3.3900e-01    2.967808e-01
      3.3950e-01    3.124493e-01
      3.4000e-01    3.241378e-01
      3.4050e-01    3.296649e-01
      3.4100e-01    3.316441e-01
      3.4150e-01    3.317728e-01
      3.4200e-01    3.310957e-01
      3.4250e-01    3.315430e-01
      3.4300e-01    3.330658e-01
      3.4350e-01    3.348397e-01
      3.4400e-01    3.373275e-01
      3.4450e-01    3.414024e-01
      3.4500e-01    3.494450e-01
      3.4550e-01    3.641575e-01
      3.4600e-01    3.845718e-01
      3.4650e-01    4.080897e-01
      3.4700e-01    4.296560e-01
      3.4750e-01    4.460567e-01
      3.4800e-01    4.538051e-01
      3.4850e-01    4.543658e-01
      3.4900e-01    4.499141e-01
      3.4950e-01    4.392765e-01
      3.5000e-01    4.436975e-01
      3.5050e-01    4.529810e-01
      3.5100e-01    4.666640e-01
      3.5150e-01    4.829421e-01
      3.5200e-01    4.982521e-01
      3.5250e-01    5.097414e-01
      3.5300e-01    5.180444e-01
      3.5350e-01    5.242487e-01
      3.5400e-01    5.309646e-01
