#  wavelength_um     transmission
#
      1.4240e+00    2.791899e-04
      1.4245e+00    5.506026e-04
      1.4250e+00    7.246582e-04
      1.4255e+00    7.203314e-04
      1.4260e+00    7.922165e-04
      1.4265e+00    1.135967e-03
      1.4270e+00    1.106375e-03
      1.4275e+00    8.929516e-04
      1.4280e+00    8.748597e-04
      1.4285e+00    8.865097e-04
      1.4290e+00    1.054723e-03
      1.4295e+00    1.040992e-03
      1.4300e+00    1.189675e-03
      1.4305e+00    1.167152e-03
      1.4310e+00    7.537011e-04
      1.4315e+00    5.689549e-04
      1.4320e+00    5.167320e-04
      1.4325e+00    5.576597e-04
      1.4330e+00    7.107661e-04
      1.4335e+00    9.854022e-04
      1.4340e+00    6.975786e-04
      1.4345e+00    6.098640e-04
      1.4350e+00    8.923537e-04
      1.4355e+00    1.032983e-03
      1.4360e+00    1.025015e-03
      1.4365e+00    1.046183e-03
      1.4370e+00    1.123967e-03
      1.4375e+00    8.508414e-04
      1.4380e+00    1.031850e-03
      1.4385e+00    1.544419e-03
      1.4390e+00    1.486748e-03
      1.4395e+00    1.148470e-03
      1.4400e+00    1.248366e-03
      1.4405e+00    1.338106e-03
      1.4410e+00    1.151957e-03
      1.4415e+00    1.097499e-03
      1.4420e+00    1.254456e-03
      1.4425e+00    1.133926e-03
      1.4430e+00    1.200824e-03
      1.4435e+00    1.781706e-03
      1.4440e+00    1.832437e-03
      1.4445e+00    1.803128e-03
      1.4450e+00    1.695257e-03
      1.4455e+00    1.113905e-03
      1.4460e+00    1.249985e-03
      1.4465e+00    1.870498e-03
      1.4470e+00    2.031392e-03
      1.4475e+00    2.120282e-03
      1.4480e+00    2.464089e-03
      1.4485e+00    2.450193e-03
      1.4490e+00    2.573710e-03
      1.4495e+00    2.344196e-03
      1.4500e+00    1.872186e-03
      1.4505e+00    1.326389e-03
      1.4510e+00    1.436465e-03
      1.4515e+00    2.208834e-03
      1.4520e+00    2.371126e-03
      1.4525e+00    2.506116e-03
      1.4530e+00    2.774106e-03
      1.4535e+00    3.327237e-03
      1.4540e+00    3.481434e-03
      1.4545e+00    3.312335e-03
      1.4550e+00    2.965260e-03
      1.4555e+00    2.917977e-03
      1.4560e+00    3.416268e-03
      1.4565e+00    3.942681e-03
      1.4570e+00    3.841169e-03
      1.4575e+00    3.819964e-03
      1.4580e+00    4.166147e-03
      1.4585e+00    4.690563e-03
      1.4590e+00    5.309453e-03
      1.4595e+00    5.476267e-03
      1.4600e+00    5.256276e-03
      1.4605e+00    5.208212e-03
      1.4610e+00    6.036746e-03
      1.4615e+00    6.595864e-03
      1.4620e+00    7.649034e-03
      1.4625e+00    8.116574e-03
      1.4630e+00    7.239683e-03
      1.4635e+00    8.114133e-03
      1.4640e+00    1.066766e-02
      1.4645e+00    1.192934e-02
      1.4650e+00    1.086469e-02
      1.4655e+00    1.113233e-02
      1.4660e+00    1.262242e-02
      1.4665e+00    1.300827e-02
      1.4670e+00    1.462821e-02
      1.4675e+00    1.790671e-02
      1.4680e+00    2.193196e-02
      1.4685e+00    2.660315e-02
