#  wavelength_um     transmission
#
      1.9395e+00    2.745896e-04
      1.9400e+00    3.113523e-04
      1.9405e+00    4.179343e-04
      1.9410e+00    5.856049e-04
      1.9415e+00    6.576892e-04
      1.9420e+00    1.682634e-03
      1.9425e+00    2.883389e-03
      1.9430e+00    2.216193e-03
      1.9435e+00    1.622374e-03
      1.9440e+00    1.393211e-03
      1.9445e+00    1.114550e-03
      1.9450e+00    1.946222e-03
      1.9455e+00    2.651533e-03
      1.9460e+00    3.506643e-03
      1.9465e+00    3.754624e-03
      1.9470e+00    3.799586e-03
      1.9475e+00    3.415503e-03
      1.9480e+00    3.608905e-03
      1.9485e+00    3.278927e-03
      1.9490e+00    2.994617e-03
      1.9495e+00    3.736277e-03
      1.9500e+00    3.575306e-03
      1.9505e+00    3.671627e-03
      1.9510e+00    4.494783e-03
      1.9515e+00    5.635372e-03
      1.9520e+00    5.031863e-03
      1.9525e+00    5.033766e-03
      1.9530e+00    4.119148e-03
      1.9535e+00    3.575562e-03
      1.9540e+00    4.211566e-03
      1.9545e+00    4.217237e-03
      1.9550e+00    3.833015e-03
      1.9555e+00    2.707387e-03
      1.9560e+00    3.109418e-03
      1.9565e+00    3.454136e-03
      1.9570e+00    3.382485e-03
      1.9575e+00    4.122116e-03
      1.9580e+00    3.852080e-03
      1.9585e+00    4.415400e-03
      1.9590e+00    4.615267e-03
      1.9595e+00    6.138873e-03
      1.9600e+00    8.543969e-03
      1.9605e+00    8.741199e-03
      1.9610e+00    8.855186e-03
      1.9615e+00    9.288329e-03
      1.9620e+00    1.002084e-02
      1.9625e+00    9.344011e-03
      1.9630e+00    8.308436e-03
      1.9635e+00    8.131556e-03
      1.9640e+00    9.126265e-03
      1.9645e+00    1.194210e-02
      1.9650e+00    1.448369e-02
      1.9655e+00    1.547639e-02
      1.9660e+00    1.773417e-02
      1.9665e+00    1.969466e-02
      1.9670e+00    2.183849e-02
      1.9675e+00    2.391831e-02
      1.9680e+00    2.507619e-02
      1.9685e+00    2.760360e-02
      1.9690e+00    2.941616e-02
      1.9695e+00    3.276286e-02
      1.9700e+00    3.479106e-02
      1.9705e+00    3.798622e-02
      1.9710e+00    3.961547e-02
      1.9715e+00    3.987414e-02
      1.9720e+00    4.412736e-02
      1.9725e+00    5.108285e-02
      1.9730e+00    5.909158e-02
      1.9735e+00    6.229975e-02
      1.9740e+00    6.235387e-02
      1.9745e+00    6.898948e-02
      1.9750e+00    7.968623e-02
      1.9755e+00    8.629074e-02
      1.9760e+00    9.178547e-02
      1.9765e+00    1.021371e-01
      1.9770e+00    1.108695e-01
      1.9775e+00    1.176564e-01
      1.9780e+00    1.264462e-01
      1.9785e+00    1.358176e-01
      1.9790e+00    1.432096e-01
      1.9795e+00    1.359612e-01
      1.9800e+00    1.288489e-01
      1.9805e+00    1.476790e-01
      1.9810e+00    1.795824e-01
      1.9815e+00    2.029417e-01
      1.9820e+00    2.181147e-01
      1.9825e+00    2.276518e-01
      1.9830e+00    2.358362e-01
      1.9835e+00    2.562879e-01
      1.9840e+00    2.765629e-01
      1.9845e+00    2.916946e-01
      1.9850e+00    2.979883e-01
      1.9855e+00    3.162698e-01
      1.9860e+00    3.388492e-01
      1.9865e+00    3.346443e-01
      1.9870e+00    3.194248e-01
      1.9875e+00    3.621302e-01
      1.9880e+00    4.129216e-01
      1.9885e+00    4.391609e-01
      1.9890e+00    4.593936e-01
      1.9895e+00    4.611622e-01
      1.9900e+00    4.434161e-01
      1.9905e+00    4.601529e-01
      1.9910e+00    5.168816e-01
      1.9915e+00    5.655012e-01
      1.9920e+00    5.909796e-01
      1.9925e+00    6.146943e-01
      1.9930e+00    6.362741e-01
      1.9935e+00    6.451308e-01
      1.9940e+00    6.353753e-01
      1.9945e+00    6.509094e-01
      1.9950e+00    6.833745e-01
      1.9955e+00    6.833533e-01
      1.9960e+00    6.865372e-01
      1.9965e+00    6.788379e-01
      1.9970e+00    6.632914e-01
      1.9975e+00    6.450541e-01
      1.9980e+00    5.909057e-01
      1.9985e+00    5.642490e-01
      1.9990e+00    5.548734e-01
      1.9995e+00    5.255394e-01
      2.0000e+00    4.964139e-01
      2.0005e+00    4.608920e-01
      2.0010e+00    4.153114e-01
      2.0015e+00    3.847325e-01
