#  wavelength_um     transmission
#
      1.3500e+00    2.851010e-08
      1.3510e+00    6.232660e-08
      1.3520e+00    6.956870e-08
      1.3530e+00    7.677470e-08
      1.3540e+00    9.893030e-08
      1.3550e+00    1.304000e-07
      1.3560e+00    1.064760e-07
      1.3570e+00    1.101120e-07
      1.3580e+00    2.712000e-07
      1.3590e+00    1.560810e-07
      1.3600e+00    2.550940e-07
      1.3610e+00    2.521800e-07
      1.3620e+00    2.759740e-07
      1.3630e+00    2.623300e-07
      1.3640e+00    2.780530e-07
      1.3650e+00    6.377220e-07
      1.3660e+00    7.495490e-07
      1.3670e+00    8.009750e-07
      1.3680e+00    1.186180e-06
      1.3690e+00    1.003180e-06
      1.3700e+00    8.964320e-07
      1.3710e+00    1.191940e-06
      1.3720e+00    1.495880e-06
      1.3730e+00    1.439040e-06
      1.3740e+00    1.800830e-06
      1.3750e+00    2.991790e-06
      1.3760e+00    3.326190e-06
      1.3770e+00    4.734850e-06
      1.3780e+00    6.141240e-06
      1.3790e+00    6.615780e-06
      1.3800e+00    7.200940e-06
      1.3810e+00    6.850520e-06
      1.3820e+00    6.338550e-06
      1.3830e+00    3.953060e-06
      1.3840e+00    2.960440e-06
      1.3850e+00    3.827550e-06
      1.3860e+00    5.485350e-06
      1.3870e+00    1.064360e-05
      1.3880e+00    2.181730e-05
      1.3890e+00    2.665690e-05
      1.3900e+00    4.471310e-05
      1.3910e+00    4.112800e-05
      1.3920e+00    6.442000e-05
      1.3930e+00    6.539390e-05
      1.3940e+00    5.418760e-05
      1.3950e+00    4.718100e-05
      1.3960e+00    5.123940e-05
      1.3970e+00    4.342330e-05
      1.3980e+00    5.413310e-05
      1.3990e+00    7.468550e-05
      1.4000e+00    5.526340e-05
      1.4010e+00    8.939060e-05
      1.4020e+00    6.344580e-05
      1.4030e+00    5.958570e-05
      1.4040e+00    8.824780e-05
      1.4050e+00    1.055850e-04
      1.4060e+00    9.660390e-05
      1.4070e+00    8.976290e-05
      1.4080e+00    9.897540e-05
      1.4090e+00    8.190800e-05
      1.4100e+00    1.247940e-04
      1.4110e+00    1.243330e-04
      1.4120e+00    1.073670e-04
      1.4130e+00    1.027680e-04
      1.4140e+00    1.601580e-04
      1.4150e+00    1.544910e-04
      1.4160e+00    1.380610e-04
      1.4170e+00    1.315550e-04
      1.4180e+00    1.998400e-04
      1.4190e+00    2.156450e-04
      1.4200e+00    2.275960e-04
      1.4210e+00    1.986980e-04
      1.4220e+00    1.933310e-04
      1.4230e+00    2.473030e-04
      1.4240e+00    2.764940e-04
      1.4250e+00    2.604650e-04
      1.4260e+00    2.953840e-04
      1.4270e+00    3.555250e-04
      1.4280e+00    3.828720e-04
      1.4290e+00    3.650820e-04
      1.4300e+00    3.841990e-04
      1.4310e+00    4.386350e-04
      1.4320e+00    4.493950e-04
      1.4330e+00    4.419690e-04
      1.4340e+00    5.106470e-04
      1.4350e+00    6.818570e-04
      1.4360e+00    7.917660e-04
      1.4370e+00    9.182130e-04
      1.4380e+00    9.947220e-04
      1.4390e+00    1.035640e-03
      1.4400e+00    1.248940e-03
      1.4410e+00    1.509450e-03
      1.4420e+00    1.786240e-03
      1.4430e+00    2.070330e-03
      1.4440e+00    2.536580e-03
      1.4450e+00    2.961400e-03
      1.4460e+00    3.161680e-03
      1.4470e+00    3.412130e-03
      1.4480e+00    4.265090e-03
      1.4490e+00    6.035800e-03
      1.4500e+00    7.677330e-03
      1.4510e+00    8.328590e-03
      1.4520e+00    8.524290e-03
      1.4530e+00    1.034500e-02
      1.4540e+00    1.475170e-02
      1.4550e+00    2.084630e-02
      1.4560e+00    2.674980e-02
      1.4570e+00    3.241370e-02
      1.4580e+00    4.036910e-02
      1.4590e+00    5.090050e-02
      1.4600e+00    6.287260e-02
      1.4610e+00    7.380390e-02
      1.4620e+00    8.463330e-02
      1.4630e+00    1.006070e-01
      1.4640e+00    1.235270e-01
      1.4650e+00    1.551580e-01
      1.4660e+00    1.855770e-01
      1.4670e+00    2.086450e-01
      1.4680e+00    2.331780e-01
      1.4690e+00    2.679920e-01
      1.4700e+00    3.113340e-01
      1.4710e+00    3.357750e-01
      1.4720e+00    3.348360e-01
      1.4730e+00    3.441410e-01
      1.4740e+00    3.912710e-01
      1.4750e+00    4.790970e-01
      1.4760e+00    5.763200e-01
      1.4770e+00    6.194520e-01
      1.4780e+00    6.119030e-01
      1.4790e+00    6.008700e-01
      1.4800e+00    6.046850e-01
      1.4810e+00    6.002450e-01
      1.4820e+00    5.974420e-01
      1.4830e+00    6.249870e-01
