#  wavelength_um     transmission
#
      9.0000e-01    1.121210e-06
      9.0100e-01    1.020580e-06
      9.0200e-01    5.308510e-07
      9.0300e-01    1.520620e-07
      9.0400e-01   -1.852200e-07
      9.0500e-01   -5.678770e-08
      9.0600e-01    1.596830e-07
      9.0700e-01    2.542290e-07
      9.0800e-01    3.167500e-07
      9.0900e-01    1.992190e-07
      9.1000e-01    8.888520e-08
      9.1100e-01    1.976400e-07
      9.1200e-01    5.477080e-07
      9.1300e-01    8.492710e-07
      9.1400e-01    1.182120e-06
      9.1500e-01    3.694580e-07
      9.1600e-01   -3.356130e-07
      9.1700e-01   -2.800100e-07
      9.1800e-01    1.703550e-07
      9.1900e-01    2.769500e-07
      9.2000e-01    2.710430e-07
      9.2100e-01    5.794220e-07
      9.2200e-01    5.252510e-07
      9.2300e-01    2.245030e-07
      9.2400e-01    1.110480e-07
      9.2500e-01    3.102780e-07
      9.2600e-01    4.985320e-07
      9.2700e-01    7.205770e-07
      9.2800e-01    4.133660e-07
      9.2900e-01    3.743350e-08
      9.3000e-01   -2.279990e-07
      9.3100e-01   -5.592030e-08
      9.3200e-01    2.059100e-07
      9.3300e-01    3.594820e-07
      9.3400e-01    3.077660e-07
      9.3500e-01    1.598110e-07
      9.3600e-01    1.296570e-07
      9.3700e-01    1.356280e-07
      9.3800e-01    2.688060e-07
      9.3900e-01    2.905960e-07
      9.4000e-01    2.148760e-07
      9.4100e-01   -2.279620e-08
      9.4200e-01   -7.581640e-08
      9.4300e-01    2.099780e-07
      9.4400e-01    1.943460e-07
      9.4500e-01    5.755520e-07
      9.4600e-01    2.880580e-07
      9.4700e-01   -3.331390e-08
      9.4800e-01   -2.105020e-07
      9.4900e-01   -1.311830e-07
      9.5000e-01    8.221980e-08
      9.5100e-01    2.228430e-07
      9.5200e-01    3.894440e-07
      9.5300e-01    2.881050e-07
      9.5400e-01    2.240150e-07
      9.5500e-01    1.068260e-07
      9.5600e-01    9.862400e-08
      9.5700e-01    3.659920e-07
      9.5800e-01    5.234660e-07
      9.5900e-01    3.607610e-07
      9.6000e-01    4.403680e-07
      9.6100e-01    5.026500e-07
      9.6200e-01    5.701900e-07
      9.6300e-01    1.211020e-07
      9.6400e-01   -4.392390e-07
      9.6500e-01   -3.967180e-07
      9.6600e-01   -1.297380e-07
      9.6700e-01   -5.571700e-08
      9.6800e-01   -4.153530e-08
      9.6900e-01    4.911340e-08
      9.7000e-01    1.788930e-07
      9.7100e-01    2.797710e-07
      9.7200e-01    2.037960e-07
      9.7300e-01    1.150100e-07
      9.7400e-01    8.933210e-08
      9.7500e-01    3.013890e-07
      9.7600e-01    4.912510e-07
      9.7700e-01    3.251790e-07
      9.7800e-01    6.015190e-08
      9.7900e-01   -8.723380e-08
      9.8000e-01   -1.529950e-07
      9.8100e-01   -1.597580e-07
      9.8200e-01   -7.652680e-08
      9.8300e-01    2.620170e-07
      9.8400e-01    6.107210e-07
      9.8500e-01    7.102210e-07
      9.8600e-01    5.366520e-07
      9.8700e-01    5.137770e-07
      9.8800e-01    1.351240e-06
      9.8900e-01    2.500930e-06
      9.9000e-01    4.284400e-06
      9.9100e-01    7.530420e-06
      9.9200e-01    1.160990e-05
      9.9300e-01    1.266130e-05
      9.9400e-01    1.587320e-05
      9.9500e-01    1.479040e-05
      9.9600e-01    1.125760e-05
      9.9700e-01    1.849440e-05
      9.9800e-01    2.611640e-05
