#  wavelength_um     transmission
#
      1.9215e+00    1.985353e-06
      1.9220e+00    5.346838e-07
      1.9225e+00    2.851343e-05
      1.9230e+00    3.102684e-05
      1.9235e+00    3.732853e-06
      1.9240e+00    9.590130e-08
      1.9245e+00    1.244262e-06
      1.9250e+00    3.091495e-05
      1.9255e+00    8.363330e-05
      1.9260e+00    3.251160e-05
      1.9265e+00    3.007870e-05
      1.9270e+00    1.383710e-06
      1.9275e+00    1.629909e-05
      1.9280e+00    4.850112e-05
      1.9285e+00    4.007259e-06
      1.9290e+00    1.563286e-05
      1.9295e+00    7.404050e-05
      1.9300e+00    2.433097e-05
      1.9305e+00    3.354361e-05
      1.9310e+00    1.349752e-05
      1.9315e+00    4.105014e-05
      1.9320e+00    1.469953e-05
      1.9325e+00    1.636795e-04
      1.9330e+00    7.813840e-05
      1.9335e+00    8.133337e-05
      1.9340e+00    2.011718e-05
      1.9345e+00    9.182696e-05
      1.9350e+00    3.100235e-04
      1.9355e+00    2.768060e-04
      1.9360e+00    1.276057e-04
      1.9365e+00    2.064602e-06
      1.9370e+00    1.861101e-04
      1.9375e+00    2.246933e-04
      1.9380e+00    1.834172e-05
      1.9385e+00    1.454918e-04
      1.9390e+00    5.556598e-05
      1.9395e+00    1.452430e-04
      1.9400e+00    1.235424e-04
      1.9405e+00    2.645104e-04
      1.9410e+00    1.252224e-04
      1.9415e+00    1.688954e-04
      1.9420e+00    2.878312e-04
      1.9425e+00    9.313076e-04
      1.9430e+00    6.744410e-04
      1.9435e+00    2.670820e-04
      1.9440e+00    6.413057e-04
      1.9445e+00    2.194337e-04
      1.9450e+00    4.458968e-04
      1.9455e+00    6.813114e-04
      1.9460e+00    6.489945e-04
      1.9465e+00    8.670816e-04
      1.9470e+00    3.532895e-04
      1.9475e+00    7.422123e-04
      1.9480e+00    7.346557e-04
      1.9485e+00    5.962477e-04
      1.9490e+00    8.841582e-04
      1.9495e+00    1.036667e-03
      1.9500e+00    1.041751e-03
      1.9505e+00    1.057099e-03
      1.9510e+00    1.277446e-03
      1.9515e+00    1.698339e-03
      1.9520e+00    2.247498e-03
      1.9525e+00    1.153256e-03
      1.9530e+00    9.332151e-04
      1.9535e+00    4.936992e-04
      1.9540e+00    1.704918e-03
      1.9545e+00    1.155325e-03
      1.9550e+00    1.633586e-03
      1.9555e+00    1.467910e-03
      1.9560e+00    1.493302e-03
      1.9565e+00    1.062157e-03
      1.9570e+00    1.887977e-03
      1.9575e+00    1.113107e-03
      1.9580e+00    2.064673e-03
      1.9585e+00    1.823858e-03
      1.9590e+00    1.793475e-03
      1.9595e+00    1.375039e-03
      1.9600e+00    3.507600e-03
      1.9605e+00    4.869920e-03
      1.9610e+00    2.877366e-03
      1.9615e+00    3.838369e-03
      1.9620e+00    3.248325e-03
      1.9625e+00    3.844761e-03
      1.9630e+00    4.751922e-03
      1.9635e+00    1.452194e-03
      1.9640e+00    3.548295e-03
      1.9645e+00    4.391050e-03
      1.9650e+00    8.361892e-03
      1.9655e+00    4.216877e-03
      1.9660e+00    5.674050e-03
      1.9665e+00    6.259654e-03
      1.9670e+00    1.026262e-02
      1.9675e+00    8.422900e-03
      1.9680e+00    5.597912e-03
      1.9685e+00    1.144155e-02
      1.9690e+00    8.564946e-03
      1.9695e+00    1.112347e-02
      1.9700e+00    1.176577e-02
      1.9705e+00    1.444264e-02
      1.9710e+00    1.149435e-02
      1.9715e+00    7.173949e-03
      1.9720e+00    1.390458e-02
      1.9725e+00    1.213053e-02
      1.9730e+00    1.750955e-02
      1.9735e+00    1.889570e-02
      1.9740e+00    1.440042e-02
      1.9745e+00    1.569361e-02
      1.9750e+00    2.320148e-02
      1.9755e+00    2.156919e-02
      1.9760e+00    2.132495e-02
      1.9765e+00    2.583232e-02
      1.9770e+00    2.904233e-02
      1.9775e+00    2.760248e-02
      1.9780e+00    3.166287e-02
      1.9785e+00    3.175693e-02
      1.9790e+00    3.722159e-02
      1.9795e+00    3.055006e-02
      1.9800e+00    2.248145e-02
      1.9805e+00    2.681026e-02
      1.9810e+00    4.465653e-02
      1.9815e+00    4.789697e-02
      1.9820e+00    5.062350e-02
      1.9825e+00    5.347945e-02
      1.9830e+00    4.575131e-02
      1.9835e+00    5.961043e-02
      1.9840e+00    6.398051e-02
      1.9845e+00    6.600848e-02
      1.9850e+00    6.618858e-02
      1.9855e+00    6.485226e-02
      1.9860e+00    7.956171e-02
      1.9865e+00    8.021434e-02
      1.9870e+00    5.142153e-02
      1.9875e+00    7.354557e-02
      1.9880e+00    9.353178e-02
      1.9885e+00    1.042057e-01
      1.9890e+00    1.119494e-01
      1.9895e+00    1.061976e-01
      1.9900e+00    7.115724e-02
      1.9905e+00    1.119113e-01
      1.9910e+00    1.212804e-01
      1.9915e+00    1.468668e-01
      1.9920e+00    1.486544e-01
      1.9925e+00    1.618593e-01
      1.9930e+00    1.744133e-01
      1.9935e+00    1.829762e-01
      1.9940e+00    1.279648e-01
      1.9945e+00    1.972341e-01
      1.9950e+00    2.010693e-01
      1.9955e+00    1.779383e-01
      1.9960e+00    2.328747e-01
      1.9965e+00    2.114185e-01
      1.9970e+00    2.101746e-01
      1.9975e+00    2.323367e-01
      1.9980e+00    1.732601e-01
      1.9985e+00    2.093834e-01
      1.9990e+00    2.301019e-01
      1.9995e+00    2.218872e-01
      2.0000e+00    2.118919e-01
      2.0005e+00    1.996863e-01
      2.0010e+00    1.711824e-01
