#  wavelength_um     transmission
#
      6.5490e-01    1.020000e-04
      6.5500e-01    1.070000e-04
      6.5510e-01    1.120000e-04
      6.5520e-01    1.170000e-04
      6.5530e-01    1.210000e-04
      6.5540e-01    1.260000e-04
      6.5550e-01    1.310000e-04
      6.5560e-01    1.350000e-04
      6.5570e-01    1.400000e-04
      6.5580e-01    1.440000e-04
      6.5590e-01    1.490000e-04
      6.5600e-01    1.530000e-04
      6.5610e-01    1.570000e-04
      6.5620e-01    1.610000e-04
      6.5630e-01    1.650000e-04
      6.5640e-01    1.700000e-04
      6.5650e-01    1.740000e-04
      6.5660e-01    1.780000e-04
      6.5670e-01    1.830000e-04
      6.5680e-01    1.880000e-04
      6.5690e-01    1.930000e-04
      6.5700e-01    1.980000e-04
      6.5710e-01    2.040000e-04
      6.5720e-01    2.100000e-04
      6.5730e-01    2.160000e-04
      6.5740e-01    2.230000e-04
      6.5750e-01    2.300000e-04
      6.5760e-01    2.380000e-04
      6.5770e-01    2.470000e-04
      6.5780e-01    2.560000e-04
      6.5790e-01    2.650000e-04
      6.5800e-01    2.750000e-04
      6.5810e-01    2.860000e-04
      6.5820e-01    2.970000e-04
      6.5830e-01    3.080000e-04
      6.5840e-01    3.200000e-04
      6.5850e-01    3.330000e-04
      6.5860e-01    3.450000e-04
      6.5870e-01    3.580000e-04
      6.5880e-01    3.710000e-04
      6.5890e-01    3.840000e-04
      6.5900e-01    3.970000e-04
      6.5910e-01    4.100000e-04
      6.5920e-01    4.230000e-04
      6.5930e-01    4.350000e-04
      6.5940e-01    4.480000e-04
      6.5950e-01    4.600000e-04
      6.5960e-01    4.720000e-04
      6.5970e-01    4.840000e-04
      6.5980e-01    4.960000e-04
      6.5990e-01    5.080000e-04
      6.6000e-01    5.190000e-04
      6.6010e-01    5.300000e-04
      6.6020e-01    5.410000e-04
      6.6030e-01    5.520000e-04
      6.6040e-01    5.630000e-04
      6.6050e-01    5.750000e-04
      6.6060e-01    5.870000e-04
      6.6070e-01    5.990000e-04
      6.6080e-01    6.120000e-04
      6.6090e-01    6.260000e-04
      6.6100e-01    6.410000e-04
      6.6110e-01    6.570000e-04
      6.6120e-01    6.740000e-04
      6.6130e-01    6.920000e-04
      6.6140e-01    7.100000e-04
      6.6150e-01    7.300000e-04
      6.6160e-01    7.500000e-04
      6.6170e-01    7.720000e-04
      6.6180e-01    7.930000e-04
      6.6190e-01    8.160000e-04
      6.6200e-01    8.390000e-04
      6.6210e-01    8.630000e-04
      6.6220e-01    8.870000e-04
      6.6230e-01    9.110000e-04
      6.6240e-01    9.370000e-04
      6.6250e-01    9.620000e-04
      6.6260e-01    9.880000e-04
      6.6270e-01    1.015000e-03
      6.6280e-01    1.043000e-03
      6.6290e-01    1.071000e-03
      6.6300e-01    1.099000e-03
      6.6310e-01    1.128000e-03
      6.6320e-01    1.158000e-03
      6.6330e-01    1.188000e-03
      6.6340e-01    1.219000e-03
      6.6350e-01    1.250000e-03
      6.6360e-01    1.283000e-03
      6.6370e-01    1.316000e-03
      6.6380e-01    1.349000e-03
      6.6390e-01    1.384000e-03
      6.6400e-01    1.419000e-03
      6.6410e-01    1.455000e-03
      6.6420e-01    1.492000e-03
      6.6430e-01    1.530000e-03
      6.6440e-01    1.568000e-03
      6.6450e-01    1.608000e-03
      6.6460e-01    1.648000e-03
      6.6470e-01    1.689000e-03
      6.6480e-01    1.730000e-03
      6.6490e-01    1.773000e-03
      6.6500e-01    1.816000e-03
      6.6510e-01    1.860000e-03
      6.6520e-01    1.905000e-03
      6.6530e-01    1.951000e-03
      6.6540e-01    1.998000e-03
      6.6550e-01    2.045000e-03
      6.6560e-01    2.095000e-03
      6.6570e-01    2.145000e-03
      6.6580e-01    2.196000e-03
      6.6590e-01    2.249000e-03
      6.6600e-01    2.304000e-03
      6.6610e-01    2.360000e-03
      6.6620e-01    2.418000e-03
      6.6630e-01    2.477000e-03
      6.6640e-01    2.538000e-03
      6.6650e-01    2.601000e-03
      6.6660e-01    2.666000e-03
      6.6670e-01    2.733000e-03
      6.6680e-01    2.801000e-03
      6.6690e-01    2.872000e-03
      6.6700e-01    2.945000e-03
      6.6710e-01    3.020000e-03
      6.6720e-01    3.097000e-03
      6.6730e-01    3.176000e-03
      6.6740e-01    3.258000e-03
      6.6750e-01    3.341000e-03
      6.6760e-01    3.426000e-03
      6.6770e-01    3.513000e-03
      6.6780e-01    3.601000e-03
      6.6790e-01    3.692000e-03
      6.6800e-01    3.784000e-03
      6.6810e-01    3.878000e-03
      6.6820e-01    3.973000e-03
      6.6830e-01    4.071000e-03
      6.6840e-01    4.170000e-03
      6.6850e-01    4.271000e-03
      6.6860e-01    4.374000e-03
      6.6870e-01    4.479000e-03
      6.6880e-01    4.586000e-03
      6.6890e-01    4.695000e-03
      6.6900e-01    4.807000e-03
      6.6910e-01    4.921000e-03
      6.6920e-01    5.037000e-03
      6.6930e-01    5.156000e-03
      6.6940e-01    5.278000e-03
      6.6950e-01    5.403000e-03
      6.6960e-01    5.530000e-03
      6.6970e-01    5.661000e-03
      6.6980e-01    5.795000e-03
      6.6990e-01    5.932000e-03
      6.7000e-01    6.073000e-03
      6.7010e-01    6.218000e-03
      6.7020e-01    6.366000e-03
      6.7030e-01    6.518000e-03
      6.7040e-01    6.674000e-03
      6.7050e-01    6.833000e-03
      6.7060e-01    6.997000e-03
      6.7070e-01    7.164000e-03
      6.7080e-01    7.335000e-03
      6.7090e-01    7.511000e-03
      6.7100e-01    7.690000e-03
      6.7110e-01    7.873000e-03
      6.7120e-01    8.061000e-03
      6.7130e-01    8.252000e-03
      6.7140e-01    8.448000e-03
      6.7150e-01    8.649000e-03
      6.7160e-01    8.854000e-03
      6.7170e-01    9.063000e-03
      6.7180e-01    9.277000e-03
      6.7190e-01    9.496000e-03
      6.7200e-01    9.720000e-03
      6.7210e-01    9.949000e-03
      6.7220e-01    1.018200e-02
      6.7230e-01    1.042100e-02
      6.7240e-01    1.066600e-02
      6.7250e-01    1.091500e-02
      6.7260e-01    1.117100e-02
      6.7270e-01    1.143200e-02
      6.7280e-01    1.169800e-02
      6.7290e-01    1.197100e-02
      6.7300e-01    1.225000e-02
      6.7310e-01    1.253500e-02
      6.7320e-01    1.282600e-02
      6.7330e-01    1.312400e-02
      6.7340e-01    1.342900e-02
      6.7350e-01    1.374100e-02
      6.7360e-01    1.406000e-02
      6.7370e-01    1.438600e-02
      6.7380e-01    1.471900e-02
      6.7390e-01    1.506100e-02
      6.7400e-01    1.541000e-02
      6.7410e-01    1.576700e-02
      6.7420e-01    1.613300e-02
      6.7430e-01    1.650700e-02
      6.7440e-01    1.688900e-02
      6.7450e-01    1.727900e-02
      6.7460e-01    1.767800e-02
      6.7470e-01    1.808600e-02
      6.7480e-01    1.850200e-02
      6.7490e-01    1.892600e-02
      6.7500e-01    1.936000e-02
      6.7510e-01    1.980200e-02
      6.7520e-01    2.025400e-02
      6.7530e-01    2.071500e-02
      6.7540e-01    2.118500e-02
      6.7550e-01    2.166500e-02
      6.7560e-01    2.215500e-02
      6.7570e-01    2.265500e-02
      6.7580e-01    2.316600e-02
      6.7590e-01    2.368800e-02
      6.7600e-01    2.422000e-02
      6.7610e-01    2.476400e-02
      6.7620e-01    2.531900e-02
      6.7630e-01    2.588600e-02
      6.7640e-01    2.646500e-02
      6.7650e-01    2.705600e-02
      6.7660e-01    2.766000e-02
      6.7670e-01    2.827700e-02
      6.7680e-01    2.890800e-02
      6.7690e-01    2.955200e-02
      6.7700e-01    3.021000e-02
      6.7710e-01    3.088200e-02
      6.7720e-01    3.156900e-02
      6.7730e-01    3.227000e-02
      6.7740e-01    3.298600e-02
      6.7750e-01    3.371700e-02
      6.7760e-01    3.446300e-02
      6.7770e-01    3.522400e-02
      6.7780e-01    3.600000e-02
      6.7790e-01    3.679200e-02
      6.7800e-01    3.760000e-02
      6.7810e-01    3.842400e-02
      6.7820e-01    3.926300e-02
      6.7830e-01    4.011900e-02
      6.7840e-01    4.099100e-02
      6.7850e-01    4.187900e-02
      6.7860e-01    4.278400e-02
      6.7870e-01    4.370500e-02
      6.7880e-01    4.464300e-02
      6.7890e-01    4.559800e-02
      6.7900e-01    4.657000e-02
      6.7910e-01    4.755900e-02
      6.7920e-01    4.856600e-02
      6.7930e-01    4.959000e-02
      6.7940e-01    5.063400e-02
      6.7950e-01    5.169800e-02
      6.7960e-01    5.278100e-02
      6.7970e-01    5.388600e-02
