#  wavelength_um     transmission
#
      5.3430e-01    1.090000e-04
      5.3440e-01    1.220000e-04
      5.3450e-01    1.360000e-04
      5.3460e-01    1.500000e-04
      5.3470e-01    1.650000e-04
      5.3480e-01    1.810000e-04
      5.3490e-01    1.970000e-04
      5.3500e-01    2.140000e-04
      5.3510e-01    2.320000e-04
      5.3520e-01    2.500000e-04
      5.3530e-01    2.690000e-04
      5.3540e-01    2.900000e-04
      5.3550e-01    3.130000e-04
      5.3560e-01    3.370000e-04
      5.3570e-01    3.630000e-04
      5.3580e-01    3.920000e-04
      5.3590e-01    4.240000e-04
      5.3600e-01    4.580000e-04
      5.3610e-01    4.950000e-04
      5.3620e-01    5.360000e-04
      5.3630e-01    5.800000e-04
      5.3640e-01    6.280000e-04
      5.3650e-01    6.790000e-04
      5.3660e-01    7.340000e-04
      5.3670e-01    7.920000e-04
      5.3680e-01    8.550000e-04
      5.3690e-01    9.210000e-04
      5.3700e-01    9.920000e-04
      5.3710e-01    1.067000e-03
      5.3720e-01    1.147000e-03
      5.3730e-01    1.231000e-03
      5.3740e-01    1.321000e-03
      5.3750e-01    1.417000e-03
      5.3760e-01    1.519000e-03
      5.3770e-01    1.628000e-03
      5.3780e-01    1.744000e-03
      5.3790e-01    1.868000e-03
      5.3800e-01    1.999000e-03
      5.3810e-01    2.139000e-03
      5.3820e-01    2.287000e-03
      5.3830e-01    2.446000e-03
      5.3840e-01    2.614000e-03
      5.3850e-01    2.793000e-03
      5.3860e-01    2.984000e-03
      5.3870e-01    3.187000e-03
      5.3880e-01    3.403000e-03
      5.3890e-01    3.633000e-03
      5.3900e-01    3.876000e-03
      5.3910e-01    4.134000e-03
      5.3920e-01    4.408000e-03
      5.3930e-01    4.698000e-03
      5.3940e-01    5.005000e-03
      5.3950e-01    5.330000e-03
      5.3960e-01    5.673000e-03
      5.3970e-01    6.036000e-03
      5.3980e-01    6.419000e-03
      5.3990e-01    6.823000e-03
      5.4000e-01    7.248000e-03
      5.4010e-01    7.696000e-03
      5.4020e-01    8.167000e-03
      5.4030e-01    8.662000e-03
      5.4040e-01    9.183000e-03
      5.4050e-01    9.729000e-03
      5.4060e-01    1.030200e-02
      5.4070e-01    1.090300e-02
      5.4080e-01    1.153200e-02
      5.4090e-01    1.219100e-02
      5.4100e-01    1.288000e-02
      5.4110e-01    1.360000e-02
      5.4120e-01    1.435200e-02
      5.4130e-01    1.513700e-02
      5.4140e-01    1.595500e-02
      5.4150e-01    1.680700e-02
      5.4160e-01    1.769500e-02
      5.4170e-01    1.861800e-02
      5.4180e-01    1.957800e-02
      5.4190e-01    2.057500e-02
      5.4200e-01    2.161000e-02
      5.4210e-01    2.268400e-02
      5.4220e-01    2.379800e-02
      5.4230e-01    2.495300e-02
      5.4240e-01    2.614900e-02
      5.4250e-01    2.738700e-02
      5.4260e-01    2.866800e-02
      5.4270e-01    2.999300e-02
      5.4280e-01    3.136300e-02
      5.4290e-01    3.277800e-02
      5.4300e-01    3.424000e-02
      5.4310e-01    3.574900e-02
      5.4320e-01    3.730500e-02
      5.4330e-01    3.890800e-02
      5.4340e-01    4.055900e-02
      5.4350e-01    4.225800e-02
      5.4360e-01    4.400600e-02
      5.4370e-01    4.580100e-02
      5.4380e-01    4.764500e-02
      5.4390e-01    4.953800e-02
      5.4400e-01    5.148000e-02
      5.4410e-01    5.347100e-02
      5.4420e-01    5.551100e-02
      5.4430e-01    5.759900e-02
      5.4440e-01    5.973700e-02
      5.4450e-01    6.192300e-02
      5.4460e-01    6.415800e-02
      5.4470e-01    6.644100e-02
      5.4480e-01    6.877300e-02
      5.4490e-01    7.115200e-02
      5.4500e-01    7.358000e-02
      5.4510e-01    7.605600e-02
      5.4520e-01    7.858000e-02
      5.4530e-01    8.115100e-02
      5.4540e-01    8.377100e-02
      5.4550e-01    8.643900e-02
      5.4560e-01    8.915500e-02
      5.4570e-01    9.191900e-02
      5.4580e-01    9.473100e-02
      5.4590e-01    9.759200e-02
      5.4600e-01    1.005000e-01
      5.4610e-01    1.034560e-01
      5.4620e-01    1.064600e-01
      5.4630e-01    1.095080e-01
      5.4640e-01    1.126010e-01
      5.4650e-01    1.157360e-01
      5.4660e-01    1.189120e-01
      5.4670e-01    1.221280e-01
      5.4680e-01    1.253820e-01
      5.4690e-01    1.286730e-01
      5.4700e-01    1.320000e-01
