#  wavelength_um     transmission
#
      3.0130e-01    1.010000e-03
      3.0140e-01    1.100000e-03
      3.0150e-01    1.190000e-03
      3.0160e-01    1.290000e-03
      3.0170e-01    1.400000e-03
      3.0180e-01    1.520000e-03
      3.0190e-01    1.660000e-03
      3.0200e-01    1.800000e-03
      3.0210e-01    1.950000e-03
      3.0220e-01    2.120000e-03
      3.0230e-01    2.300000e-03
      3.0240e-01    2.480000e-03
      3.0250e-01    2.680000e-03
      3.0260e-01    2.880000e-03
      3.0270e-01    3.100000e-03
      3.0280e-01    3.320000e-03
      3.0290e-01    3.560000e-03
      3.0300e-01    3.800000e-03
      3.0310e-01    4.050000e-03
      3.0320e-01    4.310000e-03
      3.0330e-01    4.580000e-03
      3.0340e-01    4.870000e-03
      3.0350e-01    5.160000e-03
      3.0360e-01    5.470000e-03
      3.0370e-01    5.800000e-03
      3.0380e-01    6.150000e-03
      3.0390e-01    6.510000e-03
      3.0400e-01    6.900000e-03
      3.0410e-01    7.310000e-03
      3.0420e-01    7.740000e-03
      3.0430e-01    8.190000e-03
      3.0440e-01    8.670000e-03
      3.0450e-01    9.160000e-03
      3.0460e-01    9.680000e-03
      3.0470e-01    1.023000e-02
      3.0480e-01    1.079000e-02
      3.0490e-01    1.139000e-02
      3.0500e-01    1.200000e-02
      3.0510e-01    1.264000e-02
      3.0520e-01    1.330000e-02
      3.0530e-01    1.399000e-02
      3.0540e-01    1.471000e-02
      3.0550e-01    1.545000e-02
      3.0560e-01    1.622000e-02
      3.0570e-01    1.702000e-02
      3.0580e-01    1.785000e-02
      3.0590e-01    1.871000e-02
      3.0600e-01    1.960000e-02
      3.0610e-01    2.052000e-02
      3.0620e-01    2.148000e-02
      3.0630e-01    2.247000e-02
      3.0640e-01    2.349000e-02
      3.0650e-01    2.456000e-02
      3.0660e-01    2.566000e-02
      3.0670e-01    2.681000e-02
      3.0680e-01    2.799000e-02
      3.0690e-01    2.922000e-02
      3.0700e-01    3.050000e-02
      3.0710e-01    3.182000e-02
      3.0720e-01    3.320000e-02
      3.0730e-01    3.461000e-02
      3.0740e-01    3.608000e-02
      3.0750e-01    3.760000e-02
      3.0760e-01    3.916000e-02
      3.0770e-01    4.077000e-02
      3.0780e-01    4.243000e-02
      3.0790e-01    4.414000e-02
      3.0800e-01    4.590000e-02
      3.0810e-01    4.771000e-02
      3.0820e-01    4.956000e-02
      3.0830e-01    5.147000e-02
      3.0840e-01    5.341000e-02
      3.0850e-01    5.540000e-02
      3.0860e-01    5.742000e-02
      3.0870e-01    5.949000e-02
      3.0880e-01    6.159000e-02
      3.0890e-01    6.373000e-02
      3.0900e-01    6.590000e-02
      3.0910e-01    6.810000e-02
      3.0920e-01    7.033000e-02
      3.0930e-01    7.259000e-02
      3.0940e-01    7.488000e-02
      3.0950e-01    7.720000e-02
      3.0960e-01    7.955000e-02
      3.0970e-01    8.192000e-02
      3.0980e-01    8.432000e-02
      3.0990e-01    8.675000e-02
      3.1000e-01    8.920000e-02
      3.1010e-01    9.168000e-02
      3.1020e-01    9.418000e-02
      3.1030e-01    9.670000e-02
      3.1040e-01    9.925000e-02
      3.1050e-01    1.018100e-01
      3.1060e-01    1.044000e-01
      3.1070e-01    1.070000e-01
      3.1080e-01    1.096200e-01
      3.1090e-01    1.122500e-01
      3.1100e-01    1.149000e-01
      3.1110e-01    1.175600e-01
      3.1120e-01    1.202400e-01
      3.1130e-01    1.229200e-01
      3.1140e-01    1.256200e-01
      3.1150e-01    1.283400e-01
      3.1160e-01    1.310600e-01
      3.1170e-01    1.338000e-01
      3.1180e-01    1.365600e-01
      3.1190e-01    1.393200e-01
      3.1200e-01    1.421000e-01
      3.1210e-01    1.448900e-01
      3.1220e-01    1.477000e-01
      3.1230e-01    1.505200e-01
      3.1240e-01    1.533600e-01
      3.1250e-01    1.562100e-01
      3.1260e-01    1.590700e-01
      3.1270e-01    1.619500e-01
      3.1280e-01    1.648500e-01
      3.1290e-01    1.677700e-01
      3.1300e-01    1.707000e-01
      3.1310e-01    1.736500e-01
      3.1320e-01    1.766200e-01
      3.1330e-01    1.796000e-01
      3.1340e-01    1.826100e-01
      3.1350e-01    1.856300e-01
      3.1360e-01    1.886700e-01
      3.1370e-01    1.917200e-01
      3.1380e-01    1.948000e-01
      3.1390e-01    1.978900e-01
      3.1400e-01    2.010000e-01
      3.1410e-01    2.041300e-01
      3.1420e-01    2.072800e-01
      3.1430e-01    2.104500e-01
      3.1440e-01    2.136400e-01
      3.1450e-01    2.168600e-01
      3.1460e-01    2.201100e-01
      3.1470e-01    2.233800e-01
      3.1480e-01    2.266900e-01
      3.1490e-01    2.300300e-01
      3.1500e-01    2.334000e-01
      3.1510e-01    2.368100e-01
      3.1520e-01    2.402500e-01
      3.1530e-01    2.437300e-01
      3.1540e-01    2.472400e-01
      3.1550e-01    2.507900e-01
      3.1560e-01    2.543700e-01
      3.1570e-01    2.579800e-01
      3.1580e-01    2.616200e-01
      3.1590e-01    2.653000e-01
      3.1600e-01    2.690000e-01
      3.1610e-01    2.727300e-01
      3.1620e-01    2.764900e-01
      3.1630e-01    2.802700e-01
