#  wavelength_um     transmission
#
      7.8570e-01    1.830000e-04
      7.8580e-01    1.880000e-04
      7.8590e-01    1.930000e-04
      7.8600e-01    1.980000e-04
      7.8610e-01    2.030000e-04
      7.8620e-01    2.090000e-04
      7.8630e-01    2.140000e-04
      7.8640e-01    2.200000e-04
      7.8650e-01    2.260000e-04
      7.8660e-01    2.320000e-04
      7.8670e-01    2.380000e-04
      7.8680e-01    2.450000e-04
      7.8690e-01    2.520000e-04
      7.8700e-01    2.590000e-04
      7.8710e-01    2.660000e-04
      7.8720e-01    2.740000e-04
      7.8730e-01    2.820000e-04
      7.8740e-01    2.890000e-04
      7.8750e-01    2.970000e-04
      7.8760e-01    3.050000e-04
      7.8770e-01    3.130000e-04
      7.8780e-01    3.210000e-04
      7.8790e-01    3.280000e-04
      7.8800e-01    3.360000e-04
      7.8810e-01    3.430000e-04
      7.8820e-01    3.510000e-04
      7.8830e-01    3.580000e-04
      7.8840e-01    3.650000e-04
      7.8850e-01    3.720000e-04
      7.8860e-01    3.800000e-04
      7.8870e-01    3.870000e-04
      7.8880e-01    3.950000e-04
      7.8890e-01    4.030000e-04
      7.8900e-01    4.120000e-04
      7.8910e-01    4.210000e-04
      7.8920e-01    4.310000e-04
      7.8930e-01    4.410000e-04
      7.8940e-01    4.510000e-04
      7.8950e-01    4.620000e-04
      7.8960e-01    4.730000e-04
      7.8970e-01    4.840000e-04
      7.8980e-01    4.960000e-04
      7.8990e-01    5.070000e-04
      7.9000e-01    5.190000e-04
      7.9010e-01    5.310000e-04
      7.9020e-01    5.430000e-04
      7.9030e-01    5.550000e-04
      7.9040e-01    5.670000e-04
      7.9050e-01    5.790000e-04
      7.9060e-01    5.910000e-04
      7.9070e-01    6.040000e-04
      7.9080e-01    6.160000e-04
      7.9090e-01    6.280000e-04
      7.9100e-01    6.410000e-04
      7.9110e-01    6.540000e-04
      7.9120e-01    6.660000e-04
      7.9130e-01    6.790000e-04
      7.9140e-01    6.930000e-04
      7.9150e-01    7.060000e-04
      7.9160e-01    7.200000e-04
      7.9170e-01    7.340000e-04
      7.9180e-01    7.480000e-04
      7.9190e-01    7.630000e-04
      7.9200e-01    7.780000e-04
      7.9210e-01    7.940000e-04
      7.9220e-01    8.100000e-04
      7.9230e-01    8.270000e-04
      7.9240e-01    8.440000e-04
      7.9250e-01    8.620000e-04
      7.9260e-01    8.800000e-04
      7.9270e-01    8.990000e-04
      7.9280e-01    9.190000e-04
      7.9290e-01    9.400000e-04
      7.9300e-01    9.610000e-04
      7.9310e-01    9.830000e-04
      7.9320e-01    1.006000e-03
      7.9330e-01    1.030000e-03
      7.9340e-01    1.054000e-03
      7.9350e-01    1.080000e-03
      7.9360e-01    1.106000e-03
