#  wavelength_um     transmission
#
      1.1480e+00    4.400000e-03
      1.1485e+00    4.600000e-03
      1.1490e+00    4.400000e-03
      1.1495e+00    4.900000e-03
      1.1500e+00    4.600000e-03
      1.1505e+00    6.200000e-03
      1.1510e+00    6.200000e-03
      1.1515e+00    6.900000e-03
      1.1520e+00    6.400000e-03
      1.1525e+00    7.000000e-03
      1.1530e+00    8.700000e-03
      1.1535e+00    9.500000e-03
      1.1540e+00    9.100000e-03
      1.1545e+00    1.040000e-02
      1.1550e+00    1.170000e-02
      1.1555e+00    1.280000e-02
      1.1560e+00    1.380000e-02
      1.1565e+00    1.490000e-02
      1.1570e+00    1.720000e-02
      1.1575e+00    1.820000e-02
      1.1580e+00    1.870000e-02
      1.1585e+00    2.160000e-02
      1.1590e+00    2.110000e-02
      1.1595e+00    2.550000e-02
      1.1600e+00    2.770000e-02
      1.1605e+00    2.830000e-02
      1.1610e+00    3.320000e-02
      1.1615e+00    3.520000e-02
      1.1620e+00    3.920000e-02
      1.1625e+00    4.100000e-02
      1.1630e+00    4.660000e-02
      1.1635e+00    4.960000e-02
      1.1640e+00    5.350000e-02
      1.1645e+00    5.860000e-02
      1.1650e+00    6.170000e-02
      1.1655e+00    6.700000e-02
      1.1660e+00    7.080000e-02
      1.1665e+00    7.750000e-02
      1.1670e+00    8.240000e-02
      1.1675e+00    8.930000e-02
      1.1680e+00    9.470000e-02
      1.1685e+00    9.890000e-02
      1.1690e+00    1.063000e-01
      1.1695e+00    1.103000e-01
      1.1700e+00    1.175000e-01
      1.1705e+00    1.212000e-01
      1.1710e+00    1.261000e-01
      1.1715e+00    1.332000e-01
      1.1720e+00    1.368000e-01
      1.1725e+00    1.399000e-01
      1.1730e+00    1.445000e-01
      1.1735e+00    1.485000e-01
      1.1740e+00    1.445000e-01
      1.1745e+00    1.552000e-01
      1.1750e+00    1.591000e-01
      1.1755e+00    1.572000e-01
      1.1760e+00    1.640000e-01
      1.1765e+00    1.656000e-01
      1.1770e+00    1.673000e-01
      1.1775e+00    1.613000e-01
      1.1780e+00    1.672000e-01
      1.1785e+00    1.671000e-01
      1.1790e+00    1.718000e-01
      1.1795e+00    1.660000e-01
      1.1800e+00    1.716000e-01
      1.1805e+00    1.734000e-01
      1.1810e+00    1.729000e-01
      1.1815e+00    1.713000e-01
      1.1820e+00    1.607000e-01
      1.1825e+00    1.729000e-01
      1.1830e+00    1.748000e-01
      1.1835e+00    1.751000e-01
      1.1840e+00    1.747000e-01
      1.1845e+00    1.708000e-01
      1.1850e+00    1.688000e-01
      1.1855e+00    1.762000e-01
      1.1860e+00    1.758000e-01
      1.1865e+00    1.751000e-01
      1.1870e+00    1.755000e-01
      1.1875e+00    1.719000e-01
