#  wavelength_um     transmission
#
      1.9605e+00    4.400000e-03
      1.9610e+00    3.300000e-03
      1.9615e+00    4.100000e-03
      1.9620e+00    3.900000e-03
      1.9625e+00    4.700000e-03
      1.9630e+00    4.200000e-03
      1.9635e+00    3.400000e-03
      1.9640e+00    3.200000e-03
      1.9645e+00    3.800000e-03
      1.9650e+00    5.300000e-03
      1.9655e+00    4.600000e-03
      1.9660e+00    3.500000e-03
      1.9665e+00    4.700000e-03
      1.9670e+00    6.100000e-03
      1.9675e+00    5.200000e-03
      1.9680e+00    4.000000e-03
      1.9685e+00    6.100000e-03
      1.9690e+00    6.500000e-03
      1.9695e+00    5.300000e-03
      1.9700e+00    6.000000e-03
      1.9705e+00    7.300000e-03
      1.9710e+00    5.900000e-03
      1.9715e+00    5.300000e-03
      1.9720e+00    7.200000e-03
      1.9725e+00    7.100000e-03
      1.9730e+00    7.000000e-03
      1.9735e+00    8.300000e-03
      1.9740e+00    7.300000e-03
      1.9745e+00    7.700000e-03
      1.9750e+00    9.000000e-03
      1.9755e+00    8.600000e-03
      1.9760e+00    8.400000e-03
      1.9765e+00    9.600000e-03
      1.9770e+00    9.400000e-03
      1.9775e+00    9.600000e-03
      1.9780e+00    1.000000e-02
      1.9785e+00    1.000000e-02
      1.9790e+00    1.060000e-02
      1.9795e+00    1.020000e-02
      1.9800e+00    8.300000e-03
      1.9805e+00    9.200000e-03
      1.9810e+00    1.140000e-02
      1.9815e+00    1.180000e-02
      1.9820e+00    1.200000e-02
      1.9825e+00    1.220000e-02
      1.9830e+00    1.180000e-02
      1.9835e+00    1.280000e-02
      1.9840e+00    1.310000e-02
      1.9845e+00    1.330000e-02
      1.9850e+00    1.330000e-02
      1.9855e+00    1.360000e-02
      1.9860e+00    1.420000e-02
      1.9865e+00    1.440000e-02
      1.9870e+00    1.110000e-02
      1.9875e+00    1.490000e-02
      1.9880e+00    1.540000e-02
      1.9885e+00    1.580000e-02
      1.9890e+00    1.620000e-02
      1.9895e+00    1.650000e-02
      1.9900e+00    1.510000e-02
      1.9905e+00    1.630000e-02
      1.9910e+00    1.750000e-02
      1.9915e+00    1.820000e-02
      1.9920e+00    1.850000e-02
      1.9925e+00    1.890000e-02
      1.9930e+00    1.940000e-02
      1.9935e+00    1.980000e-02
      1.9940e+00    1.930000e-02
      1.9945e+00    2.030000e-02
      1.9950e+00    2.110000e-02
      1.9955e+00    2.060000e-02
      1.9960e+00    2.120000e-02
      1.9965e+00    2.090000e-02
      1.9970e+00    2.030000e-02
      1.9975e+00    2.020000e-02
      1.9980e+00    1.810000e-02
      1.9985e+00    1.860000e-02
      1.9990e+00    1.710000e-02
      1.9995e+00    1.710000e-02
      2.0000e+00    1.820000e-02
      2.0005e+00    1.640000e-02
      2.0010e+00    1.390000e-02
      2.0015e+00    1.180000e-02
      2.0020e+00    1.170000e-02
      2.0025e+00    1.060000e-02
      2.0030e+00    8.500000e-03
      2.0035e+00    1.030000e-02
      2.0040e+00    1.020000e-02
      2.0045e+00    9.500000e-03
      2.0050e+00    1.160000e-02
      2.0055e+00    1.290000e-02
      2.0060e+00    1.710000e-02
      2.0065e+00    2.080000e-02
      2.0070e+00    2.210000e-02
      2.0075e+00    1.970000e-02
      2.0080e+00    1.790000e-02
      2.0085e+00    2.590000e-02
      2.0090e+00    3.650000e-02
      2.0095e+00    2.420000e-02
      2.0100e+00    2.610000e-02
      2.0105e+00    3.220000e-02
      2.0110e+00    2.300000e-02
      2.0115e+00    1.780000e-02
      2.0120e+00    2.790000e-02
      2.0125e+00    3.310000e-02
      2.0130e+00    2.290000e-02
      2.0135e+00    1.970000e-02
      2.0140e+00    3.730000e-02
      2.0145e+00    3.250000e-02
      2.0150e+00    1.910000e-02
      2.0155e+00    4.270000e-02
      2.0160e+00    3.860000e-02
      2.0165e+00    2.460000e-02
      2.0170e+00    4.700000e-02
      2.0175e+00    4.060000e-02
      2.0180e+00    3.210000e-02
      2.0185e+00    5.830000e-02
      2.0190e+00    4.020000e-02
      2.0195e+00    5.620000e-02
      2.0200e+00    6.300000e-02
      2.0205e+00    4.680000e-02
      2.0210e+00    7.410000e-02
      2.0215e+00    5.900000e-02
      2.0220e+00    6.870000e-02
      2.0225e+00    8.430000e-02
      2.0230e+00    6.680000e-02
      2.0235e+00    8.900000e-02
      2.0240e+00    7.390000e-02
      2.0245e+00    9.220000e-02
      2.0250e+00    9.180000e-02
      2.0255e+00    9.630000e-02
      2.0260e+00    1.022000e-01
      2.0265e+00    9.890000e-02
      2.0270e+00    1.098000e-01
      2.0275e+00    1.040000e-01
      2.0280e+00    1.139000e-01
      2.0285e+00    1.091000e-01
      2.0290e+00    1.215000e-01
      2.0295e+00    1.187000e-01
      2.0300e+00    1.277000e-01
      2.0305e+00    1.255000e-01
      2.0310e+00    1.310000e-01
      2.0315e+00    1.330000e-01
      2.0320e+00    1.360000e-01
      2.0325e+00    1.376000e-01
      2.0330e+00    1.393000e-01
      2.0335e+00    1.411000e-01
      2.0340e+00    1.447000e-01
      2.0345e+00    1.468000e-01
      2.0350e+00    1.492000e-01
      2.0355e+00    1.512000e-01
      2.0360e+00    1.529000e-01
      2.0365e+00    1.549000e-01
      2.0370e+00    1.570000e-01
      2.0375e+00    1.588000e-01
      2.0380e+00    1.610000e-01
      2.0385e+00    1.623000e-01
      2.0390e+00    1.645000e-01
      2.0395e+00    1.648000e-01
      2.0400e+00    1.622000e-01
      2.0405e+00    1.624000e-01
      2.0410e+00    1.650000e-01
      2.0415e+00    1.660000e-01
      2.0420e+00    1.684000e-01
      2.0425e+00    1.738000e-01
      2.0430e+00    1.761000e-01
      2.0435e+00    1.782000e-01
      2.0440e+00    1.749000e-01
      2.0445e+00    1.764000e-01
      2.0450e+00    1.802000e-01
      2.0455e+00    1.825000e-01
      2.0460e+00    1.827000e-01
      2.0465e+00    1.808000e-01
      2.0470e+00    1.799000e-01
      2.0475e+00    1.767000e-01
      2.0480e+00    1.723000e-01
      2.0485e+00    1.731000e-01
      2.0490e+00    1.707000e-01
      2.0495e+00    1.575000e-01
      2.0500e+00    1.562000e-01
      2.0505e+00    1.521000e-01
      2.0510e+00    1.352000e-01
      2.0515e+00    1.353000e-01
      2.0520e+00    1.382000e-01
      2.0525e+00    1.382000e-01
      2.0530e+00    1.579000e-01
      2.0535e+00    1.636000e-01
      2.0540e+00    1.547000e-01
      2.0545e+00    1.351000e-01
      2.0550e+00    1.201000e-01
      2.0555e+00    1.168000e-01
      2.0560e+00    1.491000e-01
      2.0565e+00    1.622000e-01
      2.0570e+00    1.606000e-01
      2.0575e+00    1.303000e-01
      2.0580e+00    1.300000e-01
      2.0585e+00    1.684000e-01
      2.0590e+00    1.830000e-01
      2.0595e+00    1.728000e-01
      2.0600e+00    1.711000e-01
      2.0605e+00    1.994000e-01
      2.0610e+00    1.602000e-01
      2.0615e+00    1.659000e-01
      2.0620e+00    1.884000e-01
      2.0625e+00    1.627000e-01
      2.0630e+00    1.222000e-01
      2.0635e+00    1.682000e-01
      2.0640e+00    1.814000e-01
      2.0645e+00    1.312000e-01
      2.0650e+00    1.457000e-01
      2.0655e+00    1.867000e-01
      2.0660e+00    1.551000e-01
      2.0665e+00    1.363000e-01
      2.0670e+00    1.863000e-01
      2.0675e+00    1.747000e-01
      2.0680e+00    1.387000e-01
      2.0685e+00    1.887000e-01
      2.0690e+00    1.827000e-01
      2.0695e+00    1.475000e-01
      2.0700e+00    1.940000e-01
      2.0705e+00    1.830000e-01
      2.0710e+00    1.591000e-01
      2.0715e+00    1.979000e-01
      2.0720e+00    1.758000e-01
      2.0725e+00    1.814000e-01
      2.0730e+00    2.038000e-01
      2.0735e+00    1.756000e-01
      2.0740e+00    1.964000e-01
      2.0745e+00    1.962000e-01
      2.0750e+00    1.761000e-01
      2.0755e+00    2.044000e-01
      2.0760e+00    1.958000e-01
      2.0765e+00    2.025000e-01
      2.0770e+00    2.046000e-01
      2.0775e+00    1.967000e-01
      2.0780e+00    2.082000e-01
      2.0785e+00    2.053000e-01
      2.0790e+00    2.111000e-01
      2.0795e+00    2.134000e-01
      2.0800e+00    2.090000e-01
      2.0805e+00    2.141000e-01
      2.0810e+00    2.106000e-01
      2.0815e+00    2.119000e-01
      2.0820e+00    2.096000e-01
      2.0825e+00    2.100000e-01
      2.0830e+00    2.102000e-01
      2.0835e+00    2.096000e-01
      2.0840e+00    2.093000e-01
      2.0845e+00    2.107000e-01
      2.0850e+00    2.089000e-01
      2.0855e+00    2.090000e-01
      2.0860e+00    2.130000e-01
      2.0865e+00    2.144000e-01
      2.0870e+00    2.106000e-01
      2.0875e+00    2.155000e-01
      2.0880e+00    2.161000e-01
      2.0885e+00    2.114000e-01
      2.0890e+00    2.172000e-01
      2.0895e+00    2.162000e-01
      2.0900e+00    2.113000e-01
      2.0905e+00    2.186000e-01
      2.0910e+00    2.162000e-01
      2.0915e+00    2.167000e-01
      2.0920e+00    2.194000e-01
      2.0925e+00    2.160000e-01
      2.0930e+00    2.196000e-01
      2.0935e+00    2.190000e-01
      2.0940e+00    2.151000e-01
      2.0945e+00    2.205000e-01
      2.0950e+00    2.195000e-01
      2.0955e+00    2.206000e-01
      2.0960e+00    2.205000e-01
      2.0965e+00    2.210000e-01
      2.0970e+00    2.214000e-01
      2.0975e+00    2.214000e-01
      2.0980e+00    2.213000e-01
      2.0985e+00    2.184000e-01
      2.0990e+00    2.191000e-01
      2.0995e+00    2.224000e-01
      2.1000e+00    2.219000e-01
      2.1005e+00    2.195000e-01
      2.1010e+00    2.216000e-01
      2.1015e+00    2.198000e-01
      2.1020e+00    2.211000e-01
      2.1025e+00    2.220000e-01
      2.1030e+00    2.221000e-01
      2.1035e+00    2.231000e-01
      2.1040e+00    2.232000e-01
      2.1045e+00    2.227000e-01
      2.1050e+00    2.221000e-01
      2.1055e+00    2.229000e-01
      2.1060e+00    2.231000e-01
      2.1065e+00    2.227000e-01
      2.1070e+00    2.228000e-01
      2.1075e+00    2.222000e-01
      2.1080e+00    2.226000e-01
      2.1085e+00    2.227000e-01
      2.1090e+00    2.219000e-01
      2.1095e+00    2.220000e-01
      2.1100e+00    2.219000e-01
      2.1105e+00    2.223000e-01
      2.1110e+00    2.220000e-01
      2.1115e+00    2.231000e-01
      2.1120e+00    2.211000e-01
      2.1125e+00    2.216000e-01
      2.1130e+00    2.242000e-01
      2.1135e+00    2.240000e-01
      2.1140e+00    2.233000e-01
      2.1145e+00    2.245000e-01
      2.1150e+00    2.239000e-01
      2.1155e+00    2.235000e-01
      2.1160e+00    2.241000e-01
      2.1165e+00    2.236000e-01
      2.1170e+00    2.237000e-01
      2.1175e+00    2.243000e-01
      2.1180e+00    2.239000e-01
      2.1185e+00    2.173000e-01
      2.1190e+00    2.242000e-01
      2.1195e+00    2.238000e-01
      2.1200e+00    2.232000e-01
      2.1205e+00    2.236000e-01
      2.1210e+00    2.244000e-01
      2.1215e+00    2.242000e-01
      2.1220e+00    2.247000e-01
      2.1225e+00    2.248000e-01
      2.1230e+00    2.249000e-01
      2.1235e+00    2.250000e-01
      2.1240e+00    2.250000e-01
      2.1245e+00    2.211000e-01
      2.1250e+00    2.249000e-01
      2.1255e+00    2.255000e-01
      2.1260e+00    2.257000e-01
      2.1265e+00    2.258000e-01
      2.1270e+00    2.259000e-01
      2.1275e+00    2.244000e-01
      2.1280e+00    2.231000e-01
      2.1285e+00    2.261000e-01
      2.1290e+00    2.261000e-01
      2.1295e+00    2.262000e-01
      2.1300e+00    2.263000e-01
      2.1305e+00    2.264000e-01
      2.1310e+00    2.266000e-01
      2.1315e+00    2.266000e-01
      2.1320e+00    2.267000e-01
      2.1325e+00    2.267000e-01
      2.1330e+00    2.268000e-01
      2.1335e+00    2.269000e-01
      2.1340e+00    2.270000e-01
      2.1345e+00    2.271000e-01
      2.1350e+00    2.271000e-01
      2.1355e+00    2.271000e-01
      2.1360e+00    2.258000e-01
      2.1365e+00    2.273000e-01
      2.1370e+00    2.274000e-01
      2.1375e+00    2.275000e-01
      2.1380e+00    2.276000e-01
      2.1385e+00    2.276000e-01
      2.1390e+00    2.276000e-01
      2.1395e+00    2.277000e-01
      2.1400e+00    2.278000e-01
      2.1405e+00    2.279000e-01
      2.1410e+00    2.279000e-01
      2.1415e+00    2.280000e-01
      2.1420e+00    2.281000e-01
      2.1425e+00    2.281000e-01
      2.1430e+00    2.274000e-01
      2.1435e+00    2.280000e-01
      2.1440e+00    2.283000e-01
      2.1445e+00    2.282000e-01
      2.1450e+00    2.284000e-01
      2.1455e+00    2.285000e-01
      2.1460e+00    2.284000e-01
      2.1465e+00    2.285000e-01
      2.1470e+00    2.284000e-01
      2.1475e+00    2.281000e-01
      2.1480e+00    2.280000e-01
      2.1485e+00    2.284000e-01
      2.1490e+00    2.274000e-01
      2.1495e+00    2.277000e-01
      2.1500e+00    2.274000e-01
      2.1505e+00    2.282000e-01
      2.1510e+00    2.279000e-01
      2.1515e+00    2.248000e-01
      2.1520e+00    2.268000e-01
      2.1525e+00    2.271000e-01
      2.1530e+00    2.260000e-01
      2.1535e+00    2.275000e-01
      2.1540e+00    2.283000e-01
      2.1545e+00    2.284000e-01
      2.1550e+00    2.274000e-01
      2.1555e+00    2.274000e-01
      2.1560e+00    2.292000e-01
      2.1565e+00    2.285000e-01
      2.1570e+00    2.290000e-01
      2.1575e+00    2.287000e-01
      2.1580e+00    2.289000e-01
