#  wavelength_um     transmission
#
      9.6350e-01    4.400000e-03
      9.6400e-01    4.400000e-03
      9.6450e-01    5.300000e-03
      9.6500e-01    5.800000e-03
      9.6550e-01    6.700000e-03
      9.6600e-01    7.400000e-03
      9.6650e-01    7.700000e-03
      9.6700e-01    9.100000e-03
      9.6750e-01    1.030000e-02
      9.6800e-01    1.160000e-02
      9.6850e-01    1.270000e-02
      9.6900e-01    1.450000e-02
      9.6950e-01    1.620000e-02
      9.7000e-01    1.810000e-02
      9.7050e-01    1.990000e-02
      9.7100e-01    2.280000e-02
      9.7150e-01    2.560000e-02
      9.7200e-01    2.830000e-02
      9.7250e-01    3.140000e-02
      9.7300e-01    3.540000e-02
      9.7350e-01    3.920000e-02
      9.7400e-01    4.220000e-02
      9.7450e-01    4.700000e-02
      9.7500e-01    5.250000e-02
      9.7550e-01    5.780000e-02
      9.7600e-01    6.160000e-02
      9.7650e-01    6.790000e-02
      9.7700e-01    7.520000e-02
      9.7750e-01    8.120000e-02
      9.7800e-01    8.670000e-02
      9.7850e-01    9.030000e-02
      9.7900e-01    9.830000e-02
      9.7950e-01    1.011000e-01
      9.8000e-01    1.088000e-01
      9.8050e-01    1.111000e-01
      9.8100e-01    1.181000e-01
      9.8150e-01    1.216000e-01
      9.8200e-01    1.250000e-01
      9.8250e-01    1.278000e-01
      9.8300e-01    1.306000e-01
      9.8350e-01    1.332000e-01
      9.8400e-01    1.360000e-01
      9.8450e-01    1.373000e-01
      9.8500e-01    1.389000e-01
      9.8550e-01    1.409000e-01
      9.8600e-01    1.422000e-01
      9.8650e-01    1.434000e-01
      9.8700e-01    1.442000e-01
      9.8750e-01    1.451000e-01
      9.8800e-01    1.463000e-01
      9.8850e-01    1.474000e-01
      9.8900e-01    1.483000e-01
      9.8950e-01    1.491000e-01
      9.9000e-01    1.500000e-01
      9.9050e-01    1.512000e-01
      9.9100e-01    1.522000e-01
      9.9150e-01    1.532000e-01
      9.9200e-01    1.543000e-01
      9.9250e-01    1.554000e-01
      9.9300e-01    1.562000e-01
      9.9350e-01    1.576000e-01
      9.9400e-01    1.588000e-01
      9.9450e-01    1.599000e-01
      9.9500e-01    1.611000e-01
      9.9550e-01    1.622000e-01
      9.9600e-01    1.634000e-01
      9.9650e-01    1.646000e-01
      9.9700e-01    1.656000e-01
      9.9750e-01    1.668000e-01
      9.9800e-01    1.677000e-01
      9.9850e-01    1.688000e-01
      9.9900e-01    1.697000e-01
      9.9950e-01    1.705000e-01
