#  wavelength_um     transmission
#
      1.1160e+00    0.000000e+00
      1.1180e+00    1.160670e-03
      1.1200e+00    3.682894e-04
      1.1220e+00    1.612041e-05
      1.1240e+00    1.068907e-03
      1.1260e+00    1.272273e-03
      1.1280e+00    1.530199e-03
      1.1300e+00    1.768285e-03
      1.1320e+00    3.322045e-03
      1.1340e+00    2.711949e-03
      1.1360e+00    3.575012e-03
      1.1380e+00    5.441259e-03
      1.1400e+00    7.528233e-03
      1.1420e+00    7.626195e-03
      1.1440e+00    1.091724e-02
      1.1460e+00    1.335390e-02
      1.1480e+00    1.877656e-02
      1.1500e+00    2.404545e-02
      1.1520e+00    3.514126e-02
      1.1540e+00    5.017417e-02
      1.1560e+00    7.123735e-02
      1.1580e+00    1.046922e-01
      1.1600e+00    1.567710e-01
      1.1620e+00    2.363339e-01
      1.1640e+00    3.481972e-01
      1.1660e+00    4.811571e-01
      1.1680e+00    6.324757e-01
      1.1700e+00    7.568471e-01
      1.1720e+00    8.306191e-01
      1.1740e+00    8.420746e-01
      1.1760e+00    8.593780e-01
      1.1780e+00    8.301343e-01
      1.1800e+00    8.261836e-01
      1.1820e+00    7.913027e-01
      1.1840e+00    8.075843e-01
      1.1860e+00    8.150530e-01
      1.1880e+00    8.012353e-01
      1.1900e+00    8.301703e-01
      1.1920e+00    8.435427e-01
      1.1940e+00    8.563796e-01
      1.1960e+00    8.716444e-01
      1.1980e+00    8.846448e-01
      1.2000e+00    8.993045e-01
      1.2020e+00    9.087808e-01
      1.2040e+00    8.976739e-01
      1.2060e+00    9.309873e-01
      1.2080e+00    9.322633e-01
      1.2100e+00    9.408208e-01
      1.2120e+00    9.430913e-01
      1.2140e+00    9.486429e-01
      1.2160e+00    9.531926e-01
      1.2180e+00    9.535819e-01
      1.2200e+00    9.552547e-01
      1.2220e+00    9.563720e-01
      1.2240e+00    9.610196e-01
      1.2260e+00    9.661943e-01
      1.2280e+00    9.703831e-01
      1.2300e+00    9.763278e-01
      1.2320e+00    9.809829e-01
      1.2340e+00    9.857545e-01
      1.2360e+00    9.893271e-01
      1.2380e+00    9.939400e-01
      1.2400e+00    9.964523e-01
      1.2420e+00    9.979503e-01
      1.2440e+00    9.977221e-01
      1.2460e+00    9.965664e-01
      1.2480e+00    9.922796e-01
      1.2500e+00    9.879320e-01
      1.2520e+00    9.803406e-01
      1.2540e+00    9.663121e-01
      1.2560e+00    9.523357e-01
      1.2580e+00    9.411767e-01
      1.2600e+00    9.255609e-01
      1.2620e+00    8.967066e-01
      1.2640e+00    8.655682e-01
      1.2660e+00    8.500430e-01
      1.2680e+00    8.250439e-01
      1.2700e+00    8.432749e-01
      1.2720e+00    8.609057e-01
      1.2740e+00    8.604816e-01
      1.2760e+00    8.637541e-01
      1.2780e+00    8.656662e-01
      1.2800e+00    8.696169e-01
      1.2820e+00    8.813166e-01
      1.2840e+00    8.921062e-01
      1.2860e+00    8.967315e-01
      1.2880e+00    8.969670e-01
      1.2900e+00    9.075309e-01
      1.2920e+00    9.247028e-01
      1.2940e+00    9.365365e-01
      1.2960e+00    9.342709e-01
      1.2980e+00    9.487334e-01
      1.3000e+00    9.654714e-01
      1.3020e+00    9.732302e-01
      1.3040e+00    9.608522e-01
      1.3060e+00    9.913806e-01
      1.3080e+00    9.922201e-01
      1.3100e+00    9.747877e-01
      1.3120e+00    1.000000e+00
      1.3140e+00    9.907593e-01
      1.3160e+00    9.971914e-01
      1.3180e+00    9.865916e-01
      1.3200e+00    9.675658e-01
      1.3220e+00    9.695015e-01
      1.3240e+00    9.288743e-01
      1.3260e+00    9.223815e-01
      1.3280e+00    8.606887e-01
      1.3300e+00    8.042871e-01
      1.3320e+00    7.125334e-01
      1.3340e+00    6.542519e-01
      1.3360e+00    5.664973e-01
      1.3380e+00    5.032991e-01
      1.3400e+00    4.166928e-01
      1.3420e+00    3.615573e-01
      1.3440e+00    2.634100e-01
      1.3460e+00    2.167129e-01
      1.3480e+00    1.296528e-01
      1.3500e+00    1.130661e-01
      1.3520e+00    8.239515e-02
      1.3540e+00    5.274723e-02
      1.3560e+00    3.665906e-02
      1.3580e+00    2.521853e-02
      1.3600e+00    1.784778e-02
      1.3620e+00    3.639493e-03
      1.3640e+00    1.253176e-02
      1.3660e+00    1.214735e-02
      1.3680e+00    3.883779e-03
      1.3700e+00    6.084836e-03
      1.3720e+00    5.436299e-03
      1.3740e+00    6.826375e-03
      1.3760e+00    5.663225e-03
      1.3780e+00    6.196439e-03
      1.3800e+00    3.107520e-03
      1.3820e+00    1.485558e-03
      1.3840e+00    1.530199e-03
      1.3860e+00    2.528425e-03
      1.3880e+00    8.023005e-04
      1.3900e+00    1.501678e-03
      1.3920e+00    9.399441e-04
      1.3940e+00    1.225151e-03
      1.3960e+00    2.951276e-04
      1.3980e+00    8.333013e-04
      1.4000e+00    4.042504e-04
      1.4020e+00    9.238237e-04
      1.4040e+00    8.469417e-04
      1.4060e+00    6.324162e-04
      1.4080e+00    1.686443e-04
      1.4100e+00    0.000000e+00
