#  wavelength_um     transmission
#
      1.9050e+00    0.000000e+00
      1.9070e+00    8.004654e-05
      1.9090e+00    9.842342e-04
      1.9110e+00    8.365427e-04
      1.9130e+00    4.295455e-04
      1.9150e+00    1.261579e-03
      1.9170e+00    1.634753e-03
      1.9190e+00    2.680995e-03
      1.9210e+00    8.895313e-04
      1.9230e+00    3.304457e-03
      1.9250e+00    4.806175e-03
      1.9270e+00    2.607713e-03
      1.9290e+00    5.319149e-03
      1.9310e+00    4.288691e-03
      1.9330e+00    7.464622e-03
      1.9350e+00    9.403778e-03
      1.9370e+00    9.173785e-03
      1.9390e+00    1.013322e-02
      1.9410e+00    1.272965e-02
      1.9430e+00    1.522237e-02
      1.9450e+00    1.451548e-02
      1.9470e+00    1.988198e-02
      1.9490e+00    2.142654e-02
      1.9510e+00    2.552245e-02
      1.9530e+00    2.368814e-02
      1.9550e+00    2.401960e-02
      1.9570e+00    2.675922e-02
      1.9590e+00    3.170745e-02
      1.9610e+00    4.975175e-02
      1.9630e+00    4.976076e-02
      1.9650e+00    5.839227e-02
      1.9670e+00    7.357405e-02
      1.9690e+00    8.815943e-02
      1.9710e+00    1.049004e-01
      1.9730e+00    1.304026e-01
      1.9750e+00    1.547266e-01
      1.9770e+00    1.886483e-01
      1.9790e+00    2.176849e-01
      1.9810e+00    2.441487e-01
      1.9830e+00    2.839522e-01
      1.9850e+00    3.184105e-01
      1.9870e+00    3.391538e-01
      1.9890e+00    4.240234e-01
      1.9910e+00    4.603150e-01
      1.9930e+00    5.188448e-01
      1.9950e+00    5.538522e-01
      1.9970e+00    5.532389e-01
      1.9990e+00    4.848599e-01
      2.0010e+00    3.963014e-01
      2.0030e+00    3.282619e-01
      2.0050e+00    3.340027e-01
      2.0070e+00    4.346933e-01
      2.0090e+00    6.255750e-01
      2.0110e+00    4.685519e-01
      2.0130e+00    4.696849e-01
      2.0150e+00    5.103463e-01
      2.0170e+00    5.534813e-01
      2.0190e+00    6.141081e-01
      2.0210e+00    6.812570e-01
      2.0230e+00    7.591670e-01
      2.0250e+00    8.218390e-01
      2.0270e+00    8.602298e-01
      2.0290e+00    8.665343e-01
      2.0310e+00    8.876643e-01
      2.0330e+00    8.958910e-01
      2.0350e+00    8.975416e-01
      2.0370e+00    8.833778e-01
      2.0390e+00    8.838818e-01
      2.0410e+00    8.829787e-01
      2.0430e+00    8.864162e-01
