#  wavelength_um     transmission
#
      7.2000e+00    2.806200e-05
      7.2100e+00    1.720200e-03
      7.2200e+00    1.695300e-03
      7.2300e+00    2.120200e-03
      7.2400e+00    2.230500e-03
      7.2500e+00    2.055700e-03
      7.2600e+00    2.160100e-03
      7.2700e+00    1.917700e-03
      7.2800e+00    1.155300e-03
      7.2900e+00    1.644500e-03
      7.3000e+00    2.688900e-03
      7.3100e+00    3.371400e-03
      7.3200e+00    3.591800e-03
      7.3300e+00    3.521900e-03
      7.3400e+00    3.774400e-03
      7.3500e+00    3.684000e-03
      7.3600e+00    3.335100e-03
      7.3700e+00    3.333600e-03
      7.3800e+00    3.172800e-03
      7.3900e+00    3.379100e-03
      7.4000e+00    3.660300e-03
      7.4100e+00    4.278900e-03
      7.4200e+00    5.430700e-03
      7.4300e+00    7.114100e-03
      7.4400e+00    9.251600e-03
      7.4500e+00    1.171000e-02
      7.4600e+00    1.442100e-02
      7.4700e+00    1.742900e-02
      7.4800e+00    2.123300e-02
      7.4900e+00    2.620700e-02
      7.5000e+00    3.325700e-02
      7.5100e+00    4.313200e-02
      7.5200e+00    5.694600e-02
      7.5300e+00    7.568200e-02
      7.5400e+00    1.001000e-01
      7.5500e+00    1.297900e-01
      7.5600e+00    1.643200e-01
      7.5700e+00    2.000600e-01
      7.5800e+00    2.310200e-01
      7.5900e+00    2.548200e-01
      7.6000e+00    2.689300e-01
      7.6100e+00    2.730400e-01
      7.6200e+00    2.685000e-01
      7.6300e+00    2.588100e-01
      7.6400e+00    2.465700e-01
      7.6500e+00    2.355500e-01
      7.6600e+00    2.257700e-01
      7.6700e+00    2.184900e-01
      7.6800e+00    2.124500e-01
      7.6900e+00    2.089300e-01
      7.7000e+00    2.079300e-01
      7.7100e+00    2.082000e-01
      7.7200e+00    2.084700e-01
      7.7300e+00    2.100100e-01
      7.7400e+00    2.115600e-01
      7.7500e+00    2.118300e-01
      7.7600e+00    2.133800e-01
      7.7700e+00    2.149400e-01
      7.7800e+00    2.177800e-01
      7.7900e+00    2.219000e-01
      7.8000e+00    2.260400e-01
      7.8100e+00    2.301900e-01
      7.8200e+00    2.343500e-01
      7.8300e+00    2.385200e-01
      7.8400e+00    2.426900e-01
      7.8500e+00    2.455900e-01
      7.8600e+00    2.484900e-01
      7.8700e+00    2.501000e-01
      7.8800e+00    2.517200e-01
      7.8900e+00    2.533300e-01
      7.9000e+00    2.562600e-01
      7.9100e+00    2.578800e-01
      7.9200e+00    2.608200e-01
      7.9300e+00    2.663700e-01
      7.9400e+00    2.706300e-01
      7.9500e+00    2.762100e-01
      7.9600e+00    2.831100e-01
      7.9700e+00    2.913400e-01
      7.9800e+00    2.995900e-01
      7.9900e+00    3.065400e-01
      8.0000e+00    3.121900e-01
      8.0100e+00    3.165400e-01
      8.0200e+00    3.209000e-01
      8.0300e+00    3.239400e-01
      8.0400e+00    3.269900e-01
      8.0500e+00    3.287200e-01
      8.0600e+00    3.291300e-01
      8.0700e+00    3.308700e-01
      8.0800e+00    3.312800e-01
      8.0900e+00    3.343500e-01
      8.1000e+00    3.361000e-01
      8.1100e+00    3.365100e-01
      8.1200e+00    3.369300e-01
      8.1300e+00    3.360100e-01
      8.1400e+00    3.337400e-01
      8.1500e+00    3.314600e-01
      8.1600e+00    3.278400e-01
      8.1700e+00    3.242100e-01
      8.1800e+00    3.219100e-01
      8.1900e+00    3.209500e-01
      8.2000e+00    3.186500e-01
      8.2100e+00    3.176800e-01
      8.2200e+00    3.153600e-01
      8.2300e+00    3.143900e-01
      8.2400e+00    3.134200e-01
      8.2500e+00    3.110800e-01
      8.2600e+00    3.073800e-01
      8.2700e+00    3.023000e-01
      8.2800e+00    2.972100e-01
      8.2900e+00    2.921100e-01
      8.3000e+00    2.911000e-01
      8.3100e+00    2.914500e-01
      8.3200e+00    2.918000e-01
      8.3300e+00    2.935200e-01
      8.3400e+00    2.938700e-01
      8.3500e+00    2.928500e-01
      8.3600e+00    2.918300e-01
      8.3700e+00    2.921800e-01
      8.3800e+00    2.939000e-01
      8.3900e+00    2.970200e-01
      8.4000e+00    3.001400e-01
      8.4100e+00    3.018800e-01
      8.4200e+00    3.050100e-01
      8.4300e+00    3.081500e-01
      8.4400e+00    3.113000e-01
      8.4500e+00    3.144500e-01
      8.4600e+00    3.190000e-01
      8.4700e+00    3.235600e-01
      8.4800e+00    3.281300e-01
      8.4900e+00    3.327100e-01
      8.5000e+00    3.373000e-01
      8.5100e+00    3.419000e-01
      8.5200e+00    3.451100e-01
      8.5300e+00    3.483200e-01
      8.5400e+00    3.515400e-01
      8.5500e+00    3.547700e-01
      8.5600e+00    3.580100e-01
      8.5700e+00    3.598400e-01
      8.5800e+00    3.616700e-01
      8.5900e+00    3.620900e-01
      8.6000e+00    3.610900e-01
      8.6100e+00    3.601000e-01
      8.6200e+00    3.591000e-01
      8.6300e+00    3.580900e-01
      8.6400e+00    3.556600e-01
      8.6500e+00    3.546500e-01
      8.6600e+00    3.536300e-01
      8.6700e+00    3.526100e-01
      8.6800e+00    3.515900e-01
      8.6900e+00    3.491300e-01
      8.7000e+00    3.481000e-01
      8.7100e+00    3.456300e-01
      8.7200e+00    3.446000e-01
      8.7300e+00    3.435500e-01
      8.7400e+00    3.396300e-01
      8.7500e+00    3.328100e-01
      8.7600e+00    3.173300e-01
      8.7700e+00    2.902500e-01
      8.7800e+00    2.530000e-01
      8.7900e+00    2.171000e-01
      8.8000e+00    1.970600e-01
      8.8100e+00    2.030900e-01
      8.8200e+00    2.280100e-01
      8.8300e+00    2.617100e-01
      8.8400e+00    2.911200e-01
      8.8500e+00    3.118500e-01
      8.8600e+00    3.238700e-01
      8.8700e+00    3.315400e-01
      8.8800e+00    3.363000e-01
      8.8900e+00    3.410700e-01
      8.9000e+00    3.458500e-01
      8.9100e+00    3.506400e-01
      8.9200e+00    3.539700e-01
      8.9300e+00    3.573100e-01
      8.9400e+00    3.591800e-01
      8.9500e+00    3.595800e-01
      8.9600e+00    3.614600e-01
      8.9700e+00    3.633400e-01
      8.9800e+00    3.637400e-01
      8.9900e+00    3.656300e-01
      9.0000e+00    3.660300e-01
      9.0100e+00    3.649600e-01
      9.0200e+00    3.638800e-01
      9.0300e+00    3.627900e-01
      9.0400e+00    3.617100e-01
      9.0500e+00    3.606200e-01
      9.0600e+00    3.610200e-01
      9.0700e+00    3.629100e-01
      9.0800e+00    3.633100e-01
      9.0900e+00    3.652000e-01
      9.1000e+00    3.671000e-01
      9.1100e+00    3.705100e-01
      9.1200e+00    3.709100e-01
      9.1300e+00    3.728200e-01
      9.1400e+00    3.732300e-01
      9.1500e+00    3.721300e-01
      9.1600e+00    3.710300e-01
      9.1700e+00    3.684200e-01
      9.1800e+00    3.673100e-01
      9.1900e+00    3.646800e-01
      9.2000e+00    3.635600e-01
      9.2100e+00    3.639600e-01
      9.2200e+00    3.628400e-01
      9.2300e+00    3.632300e-01
      9.2400e+00    3.621000e-01
      9.2500e+00    3.624900e-01
      9.2600e+00    3.598400e-01
      9.2700e+00    3.602300e-01
      9.2800e+00    3.590900e-01
      9.2900e+00    3.594700e-01
      9.3000e+00    3.613900e-01
      9.3100e+00    3.617800e-01
      9.3200e+00    3.637000e-01
      9.3300e+00    3.640900e-01
      9.3400e+00    3.644800e-01
      9.3500e+00    3.664100e-01
      9.3600e+00    3.668000e-01
      9.3700e+00    3.656500e-01
      9.3800e+00    3.660400e-01
      9.3900e+00    3.664300e-01
      9.4000e+00    3.683700e-01
      9.4100e+00    3.687600e-01
      9.4200e+00    3.707100e-01
      9.4300e+00    3.711000e-01
      9.4400e+00    3.730500e-01
      9.4500e+00    3.750000e-01
      9.4600e+00    3.769500e-01
      9.4700e+00    3.789100e-01
      9.4800e+00    3.824300e-01
      9.4900e+00    3.859600e-01
      9.5000e+00    3.895000e-01
      9.5100e+00    3.930400e-01
      9.5200e+00    3.950200e-01
      9.5300e+00    3.954400e-01
      9.5400e+00    3.958500e-01
      9.5500e+00    3.946900e-01
      9.5600e+00    3.919600e-01
      9.5700e+00    3.907900e-01
      9.5800e+00    3.880500e-01
      9.5900e+00    3.852900e-01
      9.6000e+00    3.825300e-01
      9.6100e+00    3.797700e-01
      9.6200e+00    3.785800e-01
      9.6300e+00    3.773900e-01
      9.6400e+00    3.777800e-01
      9.6500e+00    3.797600e-01
      9.6600e+00    3.817400e-01
      9.6700e+00    3.853200e-01
      9.6800e+00    3.873100e-01
      9.6900e+00    3.909100e-01
      9.7000e+00    3.929100e-01
      9.7100e+00    3.933100e-01
      9.7200e+00    3.937200e-01
      9.7300e+00    3.941200e-01
      9.7400e+00    3.929200e-01
      9.7500e+00    3.917200e-01
      9.7600e+00    3.921200e-01
      9.7700e+00    3.925200e-01
      9.7800e+00    3.929300e-01
      9.7900e+00    3.949400e-01
      9.8000e+00    3.969600e-01
      9.8100e+00    3.989800e-01
      9.8200e+00    4.010000e-01
      9.8300e+00    4.030300e-01
      9.8400e+00    4.050600e-01
      9.8500e+00    4.070900e-01
      9.8600e+00    4.091300e-01
      9.8700e+00    4.111700e-01
      9.8800e+00    4.132100e-01
      9.8900e+00    4.152600e-01
      9.9000e+00    4.189400e-01
      9.9100e+00    4.226300e-01
      9.9200e+00    4.279500e-01
      9.9300e+00    4.316500e-01
      9.9400e+00    4.370000e-01
      9.9500e+00    4.407100e-01
      9.9600e+00    4.444400e-01
      9.9700e+00    4.481700e-01
      9.9800e+00    4.502600e-01
      9.9900e+00    4.540000e-01
      1.0000e+01    4.561000e-01
      1.0010e+01    4.598500e-01
      1.0020e+01    4.652600e-01
      1.0030e+01    4.690300e-01
      1.0040e+01    4.744600e-01
      1.0050e+01    4.815500e-01
      1.0060e+01    4.886600e-01
      1.0070e+01    4.957700e-01
      1.0080e+01    5.012400e-01
      1.0090e+01    5.083900e-01
      1.0100e+01    5.155400e-01
      1.0110e+01    5.210500e-01
      1.0120e+01    5.265600e-01
      1.0130e+01    5.320900e-01
      1.0140e+01    5.359500e-01
      1.0150e+01    5.398200e-01
      1.0160e+01    5.437000e-01
      1.0170e+01    5.475800e-01
      1.0180e+01    5.481200e-01
      1.0190e+01    5.486600e-01
      1.0200e+01    5.475200e-01
      1.0210e+01    5.446900e-01
      1.0220e+01    5.418600e-01
      1.0230e+01    5.390200e-01
      1.0240e+01    5.361800e-01
      1.0250e+01    5.350100e-01
      1.0260e+01    5.321600e-01
      1.0270e+01    5.276000e-01
      1.0280e+01    5.247300e-01
      1.0290e+01    5.201600e-01
      1.0300e+01    5.172700e-01
      1.0310e+01    5.126800e-01
      1.0320e+01    5.114800e-01
      1.0330e+01    5.102700e-01
      1.0340e+01    5.090700e-01
      1.0350e+01    5.095600e-01
      1.0360e+01    5.100500e-01
      1.0370e+01    5.105400e-01
      1.0380e+01    5.110400e-01
      1.0390e+01    5.098200e-01
      1.0400e+01    5.086000e-01
      1.0410e+01    5.073700e-01
      1.0420e+01    5.061400e-01
      1.0430e+01    5.049100e-01
      1.0440e+01    5.019600e-01
      1.0450e+01    5.024400e-01
      1.0460e+01    5.012000e-01
      1.0470e+01    5.016700e-01
      1.0480e+01    5.021500e-01
      1.0490e+01    5.043600e-01
      1.0500e+01    5.065700e-01
      1.0510e+01    5.087800e-01
      1.0520e+01    5.110000e-01
      1.0530e+01    5.114800e-01
      1.0540e+01    5.137100e-01
      1.0550e+01    5.159300e-01
