#wavelength_um     transmission
#
  2.9650e+00    1.687473e-03
  2.9670e+00    1.693930e-03
  2.9680e+00    1.894103e-03
  2.9700e+00    6.909169e-04
  2.9720e+00    1.035299e-03
  2.9730e+00    5.897546e-04
  2.9750e+00    1.216100e-03
  2.9770e+00    1.711149e-03
  2.9780e+00    1.874731e-03
  2.9800e+00    2.014636e-03
  2.9820e+00    2.216961e-03
  2.9840e+00    2.188980e-03
  2.9850e+00    1.872579e-03
  2.9870e+00    1.480844e-03
  2.9890e+00    1.343091e-03
  2.9900e+00    1.693930e-03
  2.9920e+00    2.180370e-03
  2.9940e+00    2.365476e-03
  2.9960e+00    2.281533e-03
  2.9970e+00    1.868274e-03
  2.9990e+00    1.009470e-03
  3.0010e+00    1.930693e-03
  3.0030e+00    1.358158e-03
  3.0040e+00    3.551442e-04
  3.0060e+00    9.470512e-05
  3.0080e+00    9.255273e-04
  3.0100e+00    9.900990e-04
  3.0110e+00    6.715454e-04
  3.0130e+00    1.112785e-03
  3.0150e+00    5.294877e-04
  3.0170e+00    1.009470e-03
  3.0180e+00    1.123547e-03
  3.0200e+00    1.020232e-03
  3.0220e+00    8.889367e-04
  3.0240e+00    8.631081e-04
  3.0250e+00    1.022385e-03
  3.0270e+00    9.771847e-04
  3.0290e+00    9.212226e-04
  3.0310e+00    1.149376e-03
  3.0320e+00    1.360310e-03
  3.0340e+00    1.198881e-03
  3.0360e+00    7.640982e-04
  3.0380e+00    4.821352e-04
  3.0400e+00    6.328024e-04
  3.0410e+00    7.232028e-04
  3.0430e+00    6.586311e-04
  3.0450e+00    4.024968e-04
  3.0470e+00    1.112785e-03
  3.0480e+00    9.276797e-04
  3.0500e+00    6.844598e-04
  3.0520e+00    5.294877e-04
  3.0540e+00    6.220405e-04
  3.0560e+00    9.104606e-04
  3.0570e+00    1.142919e-03
  3.0590e+00    1.082652e-03
  3.0610e+00    7.038313e-04
  3.0630e+00    8.695652e-04
  3.0650e+00    1.239776e-03
  3.0670e+00    1.256995e-03
  3.0680e+00    1.272062e-03
  3.0700e+00    1.177357e-03
  3.0720e+00    1.229014e-03
  3.0740e+00    8.329746e-04
  3.0760e+00    8.932415e-04
  3.0770e+00    7.382695e-04
  3.0790e+00    8.566509e-04
  3.0810e+00    6.500215e-04
  3.0830e+00    6.005166e-04
  3.0850e+00    4.089539e-04
  3.0870e+00    3.164012e-04
  3.0880e+00    3.981920e-04
  3.0900e+00    5.983642e-04
  3.0920e+00    7.232028e-04
  3.0940e+00    8.523461e-04
  3.0960e+00    4.024968e-04
  3.0980e+00    4.563065e-04
  3.1000e+00    6.026690e-04
  3.1010e+00    7.727077e-04
  3.1030e+00    8.953939e-04
  3.1050e+00    1.190271e-03
  3.1070e+00    1.773569e-03
  3.1090e+00    2.369781e-03
  3.1110e+00    2.643134e-03
  3.1130e+00    2.793801e-03
  3.1140e+00    3.179079e-03
  3.1160e+00    3.747310e-03
  3.1180e+00    4.278950e-03
  3.1200e+00    4.771847e-03
  3.1220e+00    5.495049e-03
  3.1240e+00    6.625054e-03
  3.1260e+00    7.770125e-03
  3.1280e+00    8.540680e-03
  3.1290e+00    9.175635e-03
  3.1310e+00    1.013345e-02
  3.1330e+00    1.167886e-02
  3.1350e+00    1.376883e-02
  3.1370e+00    1.621825e-02
  3.1390e+00    1.902927e-02
  3.1410e+00    2.242789e-02
  3.1430e+00    2.636677e-02
  3.1450e+00    3.049935e-02
