# Radex version        : 30nov2011
# Geometry             : Uniform sphere
# Molecular data file  : ./data/co.dat                                                                   
# T(kin)            [K]:  605.000
# Density of H2  [cm-3]:  2.512E+04
# Density of pH2 [cm-3]:  6.280E+03
# Density of oH2 [cm-3]:  1.884E+04
# T(background)     [K]:    6.890
# Column density [cm-2]:  7.752E+19
# Line width     [km/s]:  100.000
# Calculation finished in **** iterations
#
J_UP    J_LOW       E_UP       FREQ        WAVE      T_EX      TAU        T_RJ       POP        POP       FLUX1      FLUX2
#                    (K)      (GHz)        (um)       (K)                  (K)        UP        LOW     (K*km/s) (erg/cm2/s)
1         0          5.5    115.2712   2600.7576   -8.642 -1.381E+00  4.822E+01  3.476E-02  1.105E-02  5.133E+03  1.012E-04
2         1         16.6    230.5380   1300.4037  -29.006 -9.577E+00  5.435E+05  6.562E-02  3.476E-02  5.786E+07  9.130E+00
3         2         33.2    345.7960    866.9634    1.125  3.806E+01 -1.640E+00  7.438E-02  6.562E-02 -1.746E+02 -9.297E-05
4         3         55.3    461.0408    650.2515  -10.613 -5.853E+01  6.855E+26  1.081E-01  7.438E-02  7.297E+28  9.209E+22
5         4         83.0    576.2679    520.2310   -0.352  9.995E+01 -2.817E+01  8.302E-02  1.081E-01 -2.998E+03 -7.389E-03
6         5        116.2    691.4731    433.5562   -4.671 -9.419E+01  2.691E+42  1.163E-01  8.302E-02  2.865E+44  1.220E+39
7         6        154.9    806.6518    371.6504    1.405  1.126E+02 -1.410E-01  8.040E-02  1.163E-01 -1.501E+01 -1.015E-04
8         7        199.1    921.7997    325.2252   -3.413 -9.111E+01  1.642E+41  1.065E-01  8.040E-02  1.748E+43  1.764E+38
9         8        248.9   1036.9124    289.1203    3.571  1.020E+02 -3.630E-02  6.724E-02  1.065E-01 -3.864E+00 -5.549E-05
10        9        304.2   1151.9855    260.2398   -3.222 -6.660E+01  4.664E+30  8.026E-02  6.724E-02  4.965E+32  9.775E+27
11        10       365.0   1267.0145    236.6133   10.563  6.636E+01  1.839E-01  4.940E-02  8.026E-02  1.958E+01  5.128E-04
12        11       431.3   1381.9951    216.9273  -16.656 -2.517E+01  5.751E+12  4.828E-02  4.940E-02  6.122E+14  2.081E+10
13        12       503.1   1496.9229    200.2725   -2.806  2.282E+01 -7.184E+01  3.161E-02  4.828E-02 -7.648E+03 -3.304E-01
14        13       580.5   1611.7935    185.9993  297.166  2.635E+00  2.415E+02  2.165E-02  3.161E-02  2.571E+04  1.386E+00
15        14       663.4   1726.6025    173.6314  125.262  6.123E+00  8.817E+01  1.197E-02  2.165E-02  9.386E+03  6.222E-01
16        15       751.7   1841.3455    162.8116  103.383  3.798E+00  6.395E+01  5.446E-03  1.197E-02  6.808E+03  5.473E-01
