# LOG_AGES  LOG_MASSES  LOG_LBOLS  LOG_SFRS
#
    5.5000     -3.5009    -0.4693   -9.0001
    5.5500     -3.4509    -0.4192   -9.0002
    5.6000     -3.4010    -0.3694   -9.0002
    5.6500     -3.3510    -0.3198   -9.0002
    5.7000     -3.3011    -0.2703   -9.0002
    5.7500     -3.2512    -0.2208   -9.0002
    5.8000     -3.2013    -0.1713   -9.0003
    5.8500     -3.1514    -0.1215   -9.0003
    5.9000     -3.1015    -0.0717   -9.0003
    5.9500     -3.0516    -0.0218   -9.0004
    6.0000     -3.0018     0.0282   -9.0004
    6.0500     -2.9520     0.0783   -9.0005
    6.1000     -2.9022     0.1289   -9.0005
    6.1500     -2.8524     0.1800   -9.0006
    6.2000     -2.8026     0.2315   -9.0007
    6.2500     -2.7529     0.2833   -9.0008
    6.3000     -2.7033     0.3356   -9.0009
    6.3500     -2.6537     0.3883   -9.0010
    6.4000     -2.6042     0.4410   -9.0011
    6.4500     -2.5549     0.4929   -9.0012
    6.5000     -2.5057     0.5415   -9.0014
    6.5500     -2.4566     0.5846   -9.0015
    6.6000     -2.4079     0.6228   -9.0017
    6.6500     -2.3593     0.6571   -9.0019
    6.7000     -2.3107     0.6876   -9.0022
    6.7500     -2.2623     0.7147   -9.0024
    6.8000     -2.2142     0.7384   -9.0027
    6.8500     -2.1664     0.7592   -9.0031
    6.9000     -2.1188     0.7781   -9.0034
    6.9500     -2.0715     0.7949   -9.0039
    7.0000     -2.0243     0.8100   -9.0043
    7.0500     -1.9773     0.8239   -9.0049
    7.1000     -1.9304     0.8367   -9.0055
    7.1500     -1.8837     0.8484   -9.0061
    7.2000     -1.8370     0.8593   -9.0069
    7.2500     -1.7905     0.8694   -9.0077
    7.3000     -1.7440     0.8787   -9.0087
    7.3500     -1.6976     0.8874   -9.0097
    7.4000     -1.6514     0.8955   -9.0109
    7.4500     -1.6051     0.9031   -9.0122
    7.5000     -1.5590     0.9100   -9.0137
    7.5500     -1.5130     0.9164   -9.0154
    7.6000     -1.4671     0.9224   -9.0173
    7.6500     -1.4212     0.9281   -9.0194
    7.7000     -1.3755     0.9333   -9.0218
    7.7500     -1.3299     0.9381   -9.0244
    7.8000     -1.2845     0.9424   -9.0274
    7.8500     -1.2393     0.9462   -9.0307
    7.9000     -1.1943     0.9494   -9.0345
    7.9500     -1.1495     0.9520   -9.0387
    8.0000     -1.1050     0.9540   -9.0434
    8.0500     -1.0608     0.9554   -9.0487
    8.1000     -1.0169     0.9560   -9.0547
    8.1500     -0.9734     0.9559   -9.0613
    8.2000     -0.9303     0.9549   -9.0688
    8.2500     -0.8876     0.9530   -9.0772
    8.3000     -0.8454     0.9500   -9.0867
    8.3500     -0.8038     0.9459   -9.0972
    8.4000     -0.7628     0.9406   -9.1091
    8.4500     -0.7225     0.9341   -9.1224
    8.5000     -0.6829     0.9262   -9.1373
    8.5500     -0.6442     0.9167   -9.1541
    8.6000     -0.6064     0.9055   -9.1729
    8.6500     -0.5697     0.8922   -9.1940
    8.7000     -0.5341     0.8769   -9.2177
    8.7500     -0.4997     0.8591   -9.2442
    8.8000     -0.4667     0.8386   -9.2740
    8.8500     -0.4352     0.8151   -9.3075
    8.9000     -0.4054     0.7883   -9.3450
    8.9500     -0.3773     0.7581   -9.3871
    9.0000     -0.3512     0.7241   -9.4343
    9.0500     -0.3271     0.6861   -9.4873
    9.1000     -0.3052     0.6445   -9.5467
    9.1500     -0.2856     0.6004   -9.6135
    9.2000     -0.2688     0.5516   -9.6883
    9.2500     -0.2547     0.4963   -9.7723
    9.3000     -0.2431     0.4346   -9.8665
    9.3500     -0.2339     0.3671   -9.9723
    9.4000     -0.2269     0.2944  -10.0909
    9.4500     -0.2220     0.2175  -10.2240
    9.5000     -0.2191     0.1378  -10.3734
    9.5500     -0.2178     0.0570  -10.5409
    9.6000     -0.2180    -0.0239  -10.7290
    9.6500     -0.2193    -0.1028  -10.9399
    9.7000     -0.2214    -0.1760  -11.1766
    9.7500     -0.2241    -0.2424  -11.4422
    9.8000     -0.2271    -0.3095  -11.7402
    9.8500     -0.2301    -0.3755  -12.0746
    9.9000     -0.2332    -0.4327  -12.4497
    9.9500     -0.2361    -0.4820  -12.8707
   10.0000     -0.2389    -0.5256  -13.3429
   10.0500     -0.2417    -0.5657  -13.8729
   10.1000     -0.2444    -0.6036  -14.4674
   10.1500     -0.2470    -0.6396  -15.1346
