#           age        mass_tot             sfr         mass_gas
#
   1.000000e+08    8.153459e+07    1.000000e+00    1.846534e+07
   2.000000e+08    1.558637e+08    1.000000e+00    4.413812e+07
   3.000000e+08    2.273611e+08    1.000000e+00    7.263606e+07
   4.000000e+08    2.975304e+08    1.000000e+00    1.024691e+08
   5.000000e+08    3.667202e+08    1.000000e+00    1.332798e+08
   6.000000e+08    4.350956e+08    1.000000e+00    1.649043e+08
   7.000000e+08    5.027185e+08    1.000000e+00    1.972825e+08
   8.000000e+08    5.696942e+08    1.000000e+00    2.303068e+08
   9.000000e+08    6.361113e+08    1.000000e+00    2.638883e+08
   1.000000e+09    7.020290e+08    1.000000e+00    2.979699e+08
