#        i0           chi2        i1             a1        i2             a2        T_{kin}        n_{H_2}        M_{H_2}        T_{kin}        n_{H_2}        M_{H_2}
#
    5877419        86.9692     43339        1.48974     29697        2.20304            270        50118.7    1.18637e+09            190    3.16228e+06    7.48549e+10
    3530407        100.782     26030        4.28085     24453              0            170         398107    9.42367e+09            160    3.16228e+06    7.48549e+10
     703293        92.6699      5187              0       855        71.2048             50    1.99526e+06    4.72302e+10             25    3.16228e+06    7.48549e+10
    2880227        11.4177     21242        32.7188      4921        13.2137            145        2511.89    5.94594e+07             50        79432.8    1.88027e+09
    2425372        109.052     17879        12.4574     25764              0            125        12589.2    2.98003e+08            170        15848.9    3.75163e+08
     139007         44.493      1007        1236.56     47101         1.8585             30        501.187    1.18637e+07            290    1.25892e+06    2.98003e+10
    1910030        62.3423     14079        694.077     23066        14.9907            105        316.228    7.48549e+06            155        6309.57    1.49355e+08
    1699419        7.02034     12521        38.0718     34865        1.76873             95        3162.28    7.48549e+07            220    1.25892e+06    2.98003e+10
    5335214        16.9071     39349        3180.56      6042        11.5838            250        125.892    2.98003e+06             55    1.58489e+06    3.75163e+10
     887937        50.7241      6536         17.537     34067        1.12494             60        15848.9    3.75163e+08            215    3.16228e+06    7.48549e+10
    3959239        99.9318     29184        16.3751     47557              0            190        6309.57    1.49355e+08            295        7943.28    1.88027e+08
    1323051        20.9849      9747         572.57     29697        2.60121             80        501.187    1.18637e+07            190    3.16228e+06    7.48549e+10
      14210        62.1177        95        3083.93     25270        3.53457             25        316.228    7.48549e+06            165    1.58489e+06    3.75163e+10
    2000217        112.532     14744        6.95405     23579              0            105          1e+06    2.36712e+10            155    3.16228e+06    7.48549e+10
      27728        17.9483       190        642.603     37392        2.51346             25           1000    2.36712e+07            235         398107    9.42367e+09
    1481198        61.8283     10906        9.66016     48906        1.00495             85        15848.9    3.75163e+08            300    2.51189e+06    5.94594e+10
    5445341        116.046     40147        2.58443     42807              0            250    1.99526e+06    4.72302e+10            265    3.16228e+06    7.48549e+10
    1527517        111.072     11248        9.05073     47975              0             85          1e+06    2.36712e+10            295    1.25892e+06    2.98003e+10
    5692159        37.7519     41971        3224.55     33725        2.83913            265        125.892    2.98003e+06            215        50118.7    1.18637e+09
    4104441        85.8601     30267        2.27436     16587        3.33731            195        79432.8    1.88027e+09            115    3.16228e+06    7.48549e+10
    2516931        4.73801     18563        99.3173      3401        17.9754            130        1258.92    2.98003e+07             40    1.25892e+06    2.98003e+10
    2537399        34.6592     18715        9.69296       741        38.8251            130        7943.28    1.88027e+08             25         794328    1.88027e+10
     404799        13.8502      2983        45.9722      6973        7.18191             40        7943.28    1.88027e+08             60    3.16228e+06    7.48549e+10
    4419929        86.4097     32585        39.4001     39691        4.58464            210        1995.26    4.72302e+07            250        7943.28    1.88027e+08
    5417603        85.5557     39957        1.88688      5225        8.14425            250         199526    4.72302e+09             50    3.16228e+06    7.48549e+10
    1779624        46.7336     13110        8959.46     41496        4.22102            100            100    2.36712e+06            260        15848.9    3.75163e+08
    4062378        14.6165     29963        31.7486       494        59.0262            195        1995.26    4.72302e+07             25        39810.7    9.42367e+08
    5226220        58.5422     38532        936.767     39748        3.70773            245        251.189    5.94594e+06            250        15848.9    3.75163e+08
    4974255        116.229     36670        2.82507     48925              0            230    2.51189e+06    5.94594e+10            300    3.16228e+06    7.48549e+10
    4960777        109.306     36575        2.93609     37563              0            230         794328    1.88027e+10            235    3.16228e+06    7.48549e+10
    1460068        49.9012     10754        53.2239     38988         2.0634             85        2511.89    5.94594e+07            245        63095.7    1.49355e+09
    6493681        93.9101     47880        2.49674     41059              0            295         398107    9.42367e+09            255    3.16228e+06    7.48549e+10
    4616513        106.728     34048              0      6099        16.5045            215    2.51189e+06    5.94594e+10             55    3.16228e+06    7.48549e+10
    4707444        89.8454     34713        1.95232     20748         2.5537            220         199526    4.72302e+09            140         251189    5.94594e+09
     189146         64.805      1387        56.2481     20862              0             30        50118.7    1.18637e+09            140          1e+06    2.36712e+10
     392609        11.6973      2888        106.985     20083        3.61331             40        2511.89    5.94594e+07            135    3.16228e+06    7.48549e+10
    5051429        117.552     37240              0     46911        2.82069            235        63095.7    1.49355e+09            290         125892    2.98003e+09
    1656367        111.568     12198         8.4424     48925              0             90    2.51189e+06    5.94594e+10            300    3.16228e+06    7.48549e+10
     529689        26.9631      3895        34.0759     30571        1.08073             45        12589.2    2.98003e+08            195    3.16228e+06    7.48549e+10
     373611        38.1077      2755        834.664      1729        37.6712             40        501.187    1.18637e+07             30    3.16228e+06    7.48549e+10
     199626         80.195      1463        22.4471     24206        2.79076             30         125892    2.98003e+09            160         158489    3.75163e+09
    5115072        137.041     37715              0     32528        184.445            240        501.187    1.18637e+07            210           1000    2.36712e+07
     217763        96.8061      1596        47.1915     26201              0             30         630957    1.49355e+10            170    3.16228e+06    7.48549e+10
    1194870        51.4188      8797        2772.69     41458        6.17885             75        199.526    4.72302e+06            260          10000    2.36712e+08
     795292        96.5439      5852        17.4427     35796              0             55         158489    3.75163e+09            225    2.51189e+06    5.94594e+10
    5156440        148.023     38019        3.36699     35416        1.67225            240        19952.6    4.72302e+08            225        25118.9    5.94594e+08
    1011887        84.4708      7448        19.7056     39805              0             65        25118.9    5.94594e+08            250        31622.8    7.48549e+08
     689171        105.425      5073        19.0697     26201              0             50         501187    1.18637e+10            170    3.16228e+06    7.48549e+10
    6454154        86.5738     47595          1.132     24206        4.25686            295        12589.2    2.98003e+08            160         158489    3.75163e+09
    2402057        29.7413     17708        68.9768     23275        3.59178            125        1584.89    3.75163e+07            155        79432.8    1.88027e+09
    2890592        32.1051     21318        12.0018      6080        8.62231            145        6309.57    1.49355e+08             55    2.51189e+06    5.94594e+10
     642110        15.3681      4731        33.9082     13034         3.6743             50        7943.28    1.88027e+08             95    1.58489e+06    3.75163e+10
    3689537        108.541     27208              0     13395         61.483            180        398.107    9.42367e+06            100        3162.28    7.48549e+07
    2483263        113.696     18297        5.63951     48925              0            125    1.99526e+06    4.72302e+10            300    3.16228e+06    7.48549e+10
    2503524        57.6391     18449        860.819     42332        5.58181            130        316.228    7.48549e+06            265          10000    2.36712e+08
      73031        63.8895       532         50.525     17157        2.93109             25        63095.7    1.49355e+09            120        79432.8    1.88027e+09
     241985        57.0972      1767        13320.4     45923         3.0538             35        125.892    2.98003e+06            285        31622.8    7.48549e+08
    1559471        33.1976     11495        522.095     18829        5.62511             90        501.187    1.18637e+07            130        31622.8    7.48549e+08
       5436         263.58        38              0      5396        970.885             25        158.489    3.75163e+06             55        630.957    1.49355e+07
    3961610        51.4182     29203        7.27194     43662         1.2839            190        7943.28    1.88027e+08            270    2.51189e+06    5.94594e+10
    3887827        104.224     28671        3.79954     12217              0            185         501187    1.18637e+10             90    3.16228e+06    7.48549e+10
    5339435        18.7131     39368        2067.87     37297        2.45953            250        158.489    3.75163e+06            235         125892    2.98003e+09
    3471641        79.2813     25593        45.4164     33611        3.65852            170        1995.26    4.72302e+07            215        12589.2    2.98003e+08
    1747304         99.897     12882        8.39327     14744              0             95         251189    5.94594e+09            105          1e+06    2.36712e+10
    5803727         116.48     42788        2.42248     48925              0            265    2.51189e+06    5.94594e+10            300    3.16228e+06    7.48549e+10
    1629862        96.6263     12008       0.345769     34770        3.17038             90         251189    5.94594e+09            220         398107    9.42367e+09
    4226433        88.0195     31160        2.37885     34067        1.45731            200         100000    2.36712e+09            215    3.16228e+06    7.48549e+10
    5937209         5.3103     43776        832.063     39995        2.08963            275        251.189    5.94594e+06            250         316228    7.48549e+09
    3450316        12.9592     25441        791.386     19988        3.66364            170        316.228    7.48549e+06            135          1e+06    2.36712e+10
    3805080        198.191     28063        1409.77      6232              0            185        316.228    7.48549e+06             60        398.107    9.42367e+06
    1697583        5.25389     12502        50.1352     48925        1.31385             95        2511.89    5.94594e+07            300    3.16228e+06    7.48549e+10
    4119013        91.1124     30362        3.95443     48735              0            195         251189    5.94594e+09            300         316228    7.48549e+09
    5345690        3.11605     39425        568.102      9310        8.69432            250        316.228    7.48549e+06             75         100000    2.36712e+09
     403557        11.6343      2964        51.1825     32319        1.79266             40        6309.57    1.49355e+08            205    3.16228e+06    7.48549e+10
    4508545        17.3095     33250        2309.86     10355        6.96759            215        158.489    3.75163e+06             80         794328    1.88027e+10
    1924405        6.44767     14193        112.436      2527        23.4241            105        1258.92    2.98003e+07             35    1.25892e+06    2.98003e+10
      80118        89.4705       589        72.0474      4978              0             25         125892    2.98003e+09             50         158489    3.75163e+09
    6164464         189.25     45467        5473.82      1824              0            285        125.892    2.98003e+06             35        251.189    5.94594e+06
    4206125        136.886     31008        6.88323     39767              0            200        15848.9    3.75163e+08            250        19952.6    4.72302e+08
