# WARMARRI   WARMARRX   WARMARRY   WARMARRZ
#
         1       4.10        195    53.5888
     10592       6.10        220    28.6064
      3976       3.80        225    59.0395
         7       4.50        125    35.1886
      4865       4.00         70    47.8966
      8852       6.40         75    11.2645
        14       6.40        105    17.5193
        15       3.90         95    50.3059
        17       3.40        280    90.5112
        18       3.30        200    104.719
      4340       5.90        290    12.5433
      2621       6.50         65    3.35974
      5106       6.50        300    2.05805
     12014       5.60         40    3.53838
     13175       6.50        245    4.64583
     13688       6.50        120    2.36155
      7102       3.30        270    93.1855
      3140       6.50         40    3.60664
        32       3.00        105    182.932
        33       4.10        265    46.0989
      1694       4.40        220    43.7181
        36       5.70        140    6.35192
     13911       3.80        185    55.1141
        40       5.90         70    2.84141
        42       5.40        255    9.83421
      8276       5.90        155    8.06661
       462       6.50        265    2.87477
        49       5.00        275    29.7981
        51       6.20        175     5.6952
     10921       4.60         85    11.2483
      8389       6.50        110    2.16378
        68       5.50        210    9.45703
        69       4.50        230    45.7539
     13932       6.50         35    3.39048
        71       3.40        125    112.535
      9421       5.60        285    14.5624
     10777       6.50        150    6.30699
      4415       6.50        185     3.4281
     10898       5.40         85    5.13705
      4402       6.50         55      3.106
      3653       5.60        225    5.04946
     10369       6.50         95    2.43431
      5501       6.50         85    3.07691
      1020       4.60        200    35.9156
      6535       4.40         80    24.8284
        90       3.90         80    57.3285
        91       5.00        245    21.2113
        92       4.70        255    35.8409
       623       6.50        155    5.07829
      5003       6.00         55    9.80412
        97       4.60         90    19.6016
      7693       6.50        235    2.88425
       102       5.60         45    11.3821
      7230       5.10        225    15.6223
      6560       6.50        295    5.02389
     11722       6.50         70    2.66611
       114       3.90        145    59.0917
      2528       5.50        245    7.89542
       116       6.50        275    3.20817
      1126       5.80        130    8.28037
      8126       5.60         80    11.5532
       126       6.20        285    33.4002
      6316       6.50        280    2.84556
      6182       5.90        275    2.86108
       134       5.30        170    3.31799
      2410       3.90        120    55.3757
       140       3.70        130    77.6488
     10445       6.50        105    3.97319
     11710       6.50        290    2.44395
       672       3.40        255    89.7606
      9942       5.10        205      25.88
       147       5.40        235    6.06486
     11489       5.40        140    7.68734
     14151       5.50        240    5.60336
     10396       5.60        245    4.21878
       156       3.20        290    99.2158
       158       3.40         70        150
      8169       5.10         75    2.66013
     12497       5.40         25    4.85204
     10352       6.50        215     2.0751
      7054       5.50        255    22.7389
      1201       6.50         80    2.46373
       175       4.70         95     30.507
       176       6.20        140    2.48207
     14586       3.20        240    106.928
       790       6.50        130    5.18576
       184       5.30         75     9.5102
      4295       6.10        235    10.7014
       189       4.80        205    33.2646
      5055       5.80         30     8.9519
     11002       5.60        250    3.76978
     12981       4.70         85    15.4164
     13371       5.30        290    12.5535
      7985       6.50        210    2.79538
     14655       6.50         25    4.98994
       199       3.30        220    101.795
      1726       5.30        165    52.3254
      7799       6.30         35    8.12998
       204       6.50        140    2.29297
       205       6.00        235    22.3696
      7862       5.70        290    46.4778
       212       4.40        125    37.7514
      8437       5.30         45    4.75667
     10752       4.70         45    5.71624
      1862       5.60         95    5.02055
