# WARMARRI   WARMARRX   WARMARRY   WARMARRZ
#
         1       4.10        195    53.5888
         3       6.10        220     42.493
         6       3.80        225    79.7334
         7       4.50        125    35.1886
        12       4.00         70    53.3259
        13       6.40         75    13.8815
        14       6.40        105    17.5193
        15       3.90         95    50.3059
        17       3.40        280    90.5112
        18       3.30        200    104.719
        21       5.90        290    28.9642
        22       6.50         65    11.2241
        23       6.50        300    83.8783
        24       5.60         40    14.9536
        25       6.50        245    27.7751
        28       6.50        120    76.4319
        30       3.30        270    93.5001
        31       6.50         40    88.0635
        32       3.00        105    182.932
        33       4.10        265    46.0989
        35       4.40        220    147.262
        36       5.70        140    6.35192
        38       3.80        185    66.3665
        40       5.90         70    2.84141
        42       5.40        255    9.83421
        44       5.90        155    54.4094
        48       6.50        265    23.9895
        49       5.00        275    29.7981
        51       6.20        175     5.6952
        58       4.60         85    20.3512
        64       6.50        110    7.65725
        68       5.50        210    9.45703
        69       4.50        230    45.7539
        70       6.50         35    77.7449
        71       3.40        125    112.535
        72       5.60        285    93.9139
        73       6.50        150    11.9725
        74       6.50        185    88.8253
        75       5.40         85    20.8904
        77       6.50        110    18.4627
        78       6.50         55    100.763
        80       5.60        225    96.2564
        81       6.50         40     90.296
        83       6.50        110    77.6364
        84       6.50         95    76.2915
        86       6.50         85    19.9436
        87       4.60        200    85.1662
        88       4.40         80    66.4166
        90       3.90         80    57.3285
        91       5.00        245    21.2113
        92       4.70        255    35.8409
        94       6.50        155    13.0838
        96       6.00         55     33.774
        97       4.60         90    19.6016
        99       6.50        235    79.4587
       102       5.60         45    11.3821
       104       5.10        225    62.0675
       107       6.50        295    52.5683
       112       6.50         70    81.6478
       114       3.90        145    59.0917
       115       5.50        245    73.4131
       116       6.50        275    3.20817
       123       5.80        130    20.2999
       125       5.60         80     32.372
       126       6.20        285    33.4002
       127       6.50        280     85.669
       130       5.90        275    12.0943
       134       5.30        170    3.31799
       135       3.90        120    55.9639
       137       6.50        155    86.5326
       138       6.50        150    23.1958
       140       3.70        130    77.6488
       141       6.50        105    17.3861
       144       6.50        290    11.4627
       145       3.40        255    96.0014
       146       5.10        205    26.1586
       147       5.40        235    6.06486
       150       5.40        140    64.6184
       152       5.50        240    92.1623
       153       6.50        300    87.8755
       155       5.60        245    14.6491
       156       3.20        290    99.2158
       158       3.40         70        150
       159       5.10         75    21.5506
       162       5.40         25    45.8219
       165       6.50        215    89.6596
       169       5.50        255    89.8402
       171       6.50        185    9.33874
       174       6.50         80     89.511
       175       4.70         95     30.507
       176       6.20        140    2.48207
       180       3.20        240    108.254
       181       6.50        130    65.3909
       184       5.30         75     9.5102
       186       6.10        235     86.163
       189       4.80        205    33.2646
       190       5.80         30    96.1177
       191       5.60        250    6.71548
       192       4.70         85     75.447
       194       5.30        290    94.1849
       197       6.50        210    66.7907
       198       6.50         25    72.5226
       199       3.30        220    101.795
       200       5.30        165    88.2061
       202       6.50         65    28.7777
       203       6.30         35    99.7131
       204       6.50        140    2.29297
       205       6.00        235    22.3696
       206       5.70        290    90.6676
       210       6.50        110    77.7958
       212       4.40        125    37.7514
       213       5.30         45    82.6958
       217       4.70         45    6.26043
       218       6.50        150    85.7955
       219       5.60         95    91.5395
       220       6.50        240    3.77201
       221       6.50         30    95.8518
       224       3.70         30    159.966
       226       3.50         60    141.318
       227       4.20         45    21.3937
       229       6.00        215    76.1907
       231       6.50         65    58.5813
       232       6.50         85    37.5778
       236       6.50        240    20.9463
       238       4.40        295    50.9001
       241       3.90        295    76.7817
       246       6.50        265    7.81048
       247       6.50        145     68.442
       251       4.30        105    102.042
       255       6.50         85    28.1087
       256       5.80         30    53.9617
       258       6.50        115    68.4927
       261       6.10        245    10.6825
       262       6.30        175    71.1746
       263       5.70        270    3.86125
       264       5.40         95    85.1032
       267       6.50        140    3.37342
       268       6.50        225    30.8953
       271       4.10        200     53.706
       273       4.50         55    12.2292
       275       5.80         55    8.29944
       276       6.50        125    48.1117
       277       5.70         85    71.1912
       279       6.50        235    89.4894
       280       6.50        270    86.7993
       281       6.20        300    25.1271
       284       6.50         95    87.0349
       286       6.50         95    57.0173
       287       5.70        125    22.9589
       288       5.90         90    66.9345
       289       5.30        200    7.37378
       290       6.50        160    31.3205
       291       3.90        280    52.9814
       294       6.50         30    48.2773
       297       5.10        240    80.8974
       302       4.80        235    30.3423
       304       6.50         95    26.6568
       305       6.30        135    83.3419
       306       3.00        260    125.567
       307       4.50        215    55.3115
       308       4.80        275    33.6898
       309       6.50        135    73.0007
       312       5.00        100    8.07246
       313       6.10         95    14.3693
       314       5.20         30    40.8863
       317       6.00         40    98.5982
       318       6.50        215    58.2131
       319       4.00        130    81.0132
       322       4.70         45    31.8769
       323       4.70         25    54.8481
       326       3.50         95    110.478
       329       3.80         45    82.7589
       331       5.00        235    24.4026
       336       4.40         70    18.7735
       337       6.50        210    89.8421
       338       5.50        245    73.8529
       339       5.90        205    9.03977
       340       6.50        195     18.118
       342       5.40        195    88.2793
       347       6.50         30    79.8881
       350       3.40        215    94.0035
       351       5.10         25    78.4926
       357       4.50        155    34.7343
       358       3.50        280    80.2447
       360       4.80        115    54.3009
       362       6.50        245    28.8389
       363       4.60        205    40.4934
       364       6.50         45    94.8925
       366       5.50        160     6.2001
       368       6.20        250    51.6882
       370       4.20        100    62.1146
       372       5.50        160    4.67862
       374       6.50         60    8.84522
       375       4.50         90    42.2244
       376       3.60        150    81.1505
       377       5.60        115    64.1946
       378       6.50        195    89.5351
       380       5.60        145    53.5474
       381       6.50        105    53.5418
       383       4.80         90    78.3791
       384       5.10        115     5.5315
