# j    f                        df                       MW_CO_Flux   MW_CO_Flux_Error   Galactic_centre_CO_Flux   Galactic_centre_CO_Flux_Error
  1    0.004337596834181701     0.0026025581005090204    0.5          0.3                 1.6                      0.5
  2    0.009976663283276508     0.0008675359376762183    2.3          0.2                 6.4                      0.3
  3    0.010989138425517641     0.0008675635599092875    3.8          0.3                11.8                      0.5
  4    0.007374618980604067     0.0006507016747591824    3.4          0.3                17.7                      0.6
  5    0.00503238137420524      0.0010411823532838428    2.9          0.6                16.5                      1.0
# 6    0.0007230939528049995    0.001446187905609999     0.5          1.0                11.5                      1.6
# 7    0.00037190767784631975   0.0012396922594877324    0.3          1.0                10.0                      1.5
# 8    0.00195270187221801      0.00086786749876356      1.8          0.8                10.8                      1.4
# 
# f = MW_CO_Flux / freq_GHz
# MW_CO_Flux units are in [nW m-2 sr-1]
# MW CO means Inner Galaxy
